@relation 'custom dataset(bfyU6IKBW)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-engine volume' numeric
@attribute 'unfiltered-# of doors' numeric
@attribute unfiltered-drive-diesel {true,false}
@attribute unfiltered-drive-gasoline {true,false}
@attribute unfiltered-drive-lpg {true,false}
@attribute unfiltered-drive-? {true,false}
@attribute buy {true,false}

@data
1,3,true,false,false,false,true
0.4,5,false,true,false,false,false
0.2,5,false,false,true,false,true
0.8,3,false,true,false,false,true
0.4,5,true,false,false,false,false
0,4,false,false,true,false,false
0.8,?,true,false,false,false,true
0.4,5,false,true,false,false,false
0.2,5,false,false,false,true,false
0.8,3,false,true,false,false,true
?,5,true,false,false,false,true
0,5,false,false,true,false,?
