@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1'

@attribute 'filtered-0-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
1.021997,5.1,1.4,0.2,Iris-setosa
-0.129876,4.9,1.4,0.2,Iris-setosa
0.330873,4.7,1.3,0.2,Iris-setosa
0.100499,4.6,1.5,0.2,Iris-setosa
1.252371,5,1.4,0.2,Iris-setosa
1.943494,5.4,1.7,0.4,Iris-setosa
0.791622,4.6,1.4,0.3,Iris-setosa
0.791622,5,1.5,0.2,Iris-setosa
-0.36025,4.4,1.4,0.2,Iris-setosa
0.100499,4.9,1.5,0.1,Iris-setosa
1.482746,5.4,1.5,0.2,Iris-setosa
0.791622,4.8,1.6,0.2,Iris-setosa
-0.129876,4.8,1.4,0.1,Iris-setosa
-0.129876,4.3,1.1,0.1,Iris-setosa
2.173869,5.8,1.2,0.2,Iris-setosa
3.095367,5.7,1.5,0.4,Iris-setosa
1.943494,5.4,1.3,0.4,Iris-setosa
1.021997,5.1,1.4,0.3,Iris-setosa
1.71312,5.7,1.7,0.3,Iris-setosa
1.71312,5.1,1.5,0.3,Iris-setosa
0.791622,5.4,1.7,0.2,Iris-setosa
1.482746,5.1,1.5,0.4,Iris-setosa
1.252371,4.6,1,0.2,Iris-setosa
0.561248,5.1,1.7,0.5,Iris-setosa
0.791622,4.8,1.9,0.2,Iris-setosa
-0.129876,5,1.6,0.2,Iris-setosa
0.791622,5,1.6,0.4,Iris-setosa
1.021997,5.2,1.5,0.2,Iris-setosa
0.791622,5.2,1.4,0.2,Iris-setosa
0.330873,4.7,1.6,0.2,Iris-setosa
0.100499,4.8,1.6,0.2,Iris-setosa
0.791622,5.4,1.5,0.4,Iris-setosa
2.404243,5.2,1.5,0.1,Iris-setosa
2.634618,5.5,1.4,0.2,Iris-setosa
0.100499,4.9,1.5,0.1,Iris-setosa
