@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-sepal width in cm' {'\'(-inf--1.880721]\'','\'(-1.880721--1.327823]\'','\'(-1.327823--0.774924]\'','\'(-0.774924--0.222025]\'','\'(-0.222025-0.330873]\'','\'(0.330873-0.883772]\'','\'(0.883772-1.436671]\'','\'(1.436671-1.989569]\'','\'(1.989569-2.542468]\'','\'(2.542468-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.883772-1.436671]\'',5.1,1.4,0.2,Iris-setosa
'\'(-0.222025-0.330873]\'',4.9,1.4,0.2,Iris-setosa
'\'(0.330873-0.883772]\'',4.7,1.3,0.2,Iris-setosa
'\'(-0.222025-0.330873]\'',4.6,1.5,0.2,Iris-setosa
'\'(0.883772-1.436671]\'',5,1.4,0.2,Iris-setosa
'\'(1.436671-1.989569]\'',5.4,1.7,0.4,Iris-setosa
'\'(0.330873-0.883772]\'',4.6,1.4,0.3,Iris-setosa
'\'(0.330873-0.883772]\'',5,1.5,0.2,Iris-setosa
'\'(-0.774924--0.222025]\'',4.4,1.4,0.2,Iris-setosa
'\'(-0.222025-0.330873]\'',4.9,1.5,0.1,Iris-setosa
'\'(1.436671-1.989569]\'',5.4,1.5,0.2,Iris-setosa
'\'(0.330873-0.883772]\'',4.8,1.6,0.2,Iris-setosa
'\'(-0.222025-0.330873]\'',4.8,1.4,0.1,Iris-setosa
'\'(-0.222025-0.330873]\'',4.3,1.1,0.1,Iris-setosa
'\'(1.989569-2.542468]\'',5.8,1.2,0.2,Iris-setosa
'\'(2.542468-inf)\'',5.7,1.5,0.4,Iris-setosa
'\'(1.436671-1.989569]\'',5.4,1.3,0.4,Iris-setosa
'\'(0.883772-1.436671]\'',5.1,1.4,0.3,Iris-setosa
'\'(1.436671-1.989569]\'',5.7,1.7,0.3,Iris-setosa
'\'(1.436671-1.989569]\'',5.1,1.5,0.3,Iris-setosa
'\'(0.330873-0.883772]\'',5.4,1.7,0.2,Iris-setosa
'\'(1.436671-1.989569]\'',5.1,1.5,0.4,Iris-setosa
'\'(0.883772-1.436671]\'',4.6,1,0.2,Iris-setosa
'\'(0.330873-0.883772]\'',5.1,1.7,0.5,Iris-setosa
'\'(0.330873-0.883772]\'',4.8,1.9,0.2,Iris-setosa
'\'(-0.222025-0.330873]\'',5,1.6,0.2,Iris-setosa
'\'(0.330873-0.883772]\'',5,1.6,0.4,Iris-setosa
'\'(0.883772-1.436671]\'',5.2,1.5,0.2,Iris-setosa
