@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-sepal length in cm' {'\'(-inf--1.408516]\'','\'(-1.408516--0.975856]\'','\'(-0.975856--0.543196]\'','\'(-0.543196--0.110536]\'','\'(-0.110536-0.322124]\'','\'(0.322124-0.754784]\'','\'(0.754784-1.187444]\'','\'(1.187444-1.620105]\'','\'(1.620105-2.052765]\'','\'(2.052765-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-0.975856--0.543196]\'',-1.336794,3.5,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.336794,3,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.39347,3.2,0.2,Iris-setosa
'\'(-inf--1.408516]\'',-1.280118,3.1,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.336794,3.6,0.2,Iris-setosa
'\'(-0.543196--0.110536]\'',-1.166767,3.9,0.4,Iris-setosa
'\'(-inf--1.408516]\'',-1.336794,3.4,0.3,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.280118,3.4,0.2,Iris-setosa
'\'(-inf--1.408516]\'',-1.336794,2.9,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.280118,3.1,0.1,Iris-setosa
'\'(-0.543196--0.110536]\'',-1.280118,3.7,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.223442,3.4,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.336794,3,0.1,Iris-setosa
'\'(-inf--1.408516]\'',-1.506822,3,0.1,Iris-setosa
'\'(-0.110536-0.322124]\'',-1.450146,4,0.2,Iris-setosa
'\'(-0.543196--0.110536]\'',-1.280118,4.4,0.4,Iris-setosa
'\'(-0.543196--0.110536]\'',-1.39347,3.9,0.4,Iris-setosa
'\'(-0.975856--0.543196]\'',-1.336794,3.5,0.3,Iris-setosa
'\'(-0.543196--0.110536]\'',-1.166767,3.8,0.3,Iris-setosa
'\'(-0.975856--0.543196]\'',-1.280118,3.8,0.3,Iris-setosa
'\'(-0.543196--0.110536]\'',-1.166767,3.4,0.2,Iris-setosa
'\'(-0.975856--0.543196]\'',-1.280118,3.7,0.4,Iris-setosa
'\'(-inf--1.408516]\'',-1.563497,3.6,0.2,Iris-setosa
'\'(-0.975856--0.543196]\'',-1.166767,3.3,0.5,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.053415,3.4,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.223442,3,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.223442,3.4,0.4,Iris-setosa
'\'(-0.975856--0.543196]\'',-1.280118,3.5,0.2,Iris-setosa
'\'(-0.975856--0.543196]\'',-1.336794,3.4,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.223442,3.2,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.223442,3.1,0.2,Iris-setosa
'\'(-0.543196--0.110536]\'',-1.280118,3.4,0.4,Iris-setosa
'\'(-0.975856--0.543196]\'',-1.280118,4.1,0.1,Iris-setosa
'\'(-0.543196--0.110536]\'',-1.336794,4.2,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.280118,3.1,0.1,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.450146,3.2,0.2,Iris-setosa
'\'(-0.543196--0.110536]\'',-1.39347,3.5,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.280118,3.1,0.1,Iris-setosa
'\'(-inf--1.408516]\'',-1.39347,3,0.2,Iris-setosa
'\'(-0.975856--0.543196]\'',-1.280118,3.4,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'',-1.39347,3.5,0.3,Iris-setosa
'\'(-inf--1.408516]\'',-1.39347,2.3,0.3,Iris-setosa
