@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.2-0.3]\'','\'(1.35-1.45]\'',3.5,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.35-1.45]\'',3,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.35]\'',3.2,0.2,Iris-setosa
'\'(-inf-0.1]\'','\'(1.45-1.55]\'',3.1,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.35-1.45]\'',3.6,0.2,Iris-setosa
'\'(0.3-0.4]\'','\'(1.55-3.4]\'',3.9,0.4,Iris-setosa
'\'(-inf-0.1]\'','\'(1.35-1.45]\'',3.4,0.3,Iris-setosa
'\'(0.1-0.2]\'','\'(1.45-1.55]\'',3.4,0.2,Iris-setosa
'\'(-inf-0.1]\'','\'(1.35-1.45]\'',2.9,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.45-1.55]\'',3.1,0.1,Iris-setosa
'\'(0.3-0.4]\'','\'(1.45-1.55]\'',3.7,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.55-3.4]\'',3.4,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.35-1.45]\'',3,0.1,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-1.35]\'',3,0.1,Iris-setosa
'\'(0.4-0.5]\'','\'(-inf-1.35]\'',4,0.2,Iris-setosa
'\'(0.3-0.4]\'','\'(1.45-1.55]\'',4.4,0.4,Iris-setosa
'\'(0.3-0.4]\'','\'(-inf-1.35]\'',3.9,0.4,Iris-setosa
'\'(0.2-0.3]\'','\'(1.35-1.45]\'',3.5,0.3,Iris-setosa
'\'(0.3-0.4]\'','\'(1.55-3.4]\'',3.8,0.3,Iris-setosa
'\'(0.2-0.3]\'','\'(1.45-1.55]\'',3.8,0.3,Iris-setosa
'\'(0.3-0.4]\'','\'(1.55-3.4]\'',3.4,0.2,Iris-setosa
'\'(0.2-0.3]\'','\'(1.45-1.55]\'',3.7,0.4,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-1.35]\'',3.6,0.2,Iris-setosa
'\'(0.2-0.3]\'','\'(1.55-3.4]\'',3.3,0.5,Iris-setosa
'\'(0.1-0.2]\'','\'(1.55-3.4]\'',3.4,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.55-3.4]\'',3,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.55-3.4]\'',3.4,0.4,Iris-setosa
'\'(0.2-0.3]\'','\'(1.45-1.55]\'',3.5,0.2,Iris-setosa
'\'(0.2-0.3]\'','\'(1.35-1.45]\'',3.4,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.55-3.4]\'',3.2,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.55-3.4]\'',3.1,0.2,Iris-setosa
'\'(0.3-0.4]\'','\'(1.45-1.55]\'',3.4,0.4,Iris-setosa
'\'(0.2-0.3]\'','\'(1.45-1.55]\'',4.1,0.1,Iris-setosa
'\'(0.3-0.4]\'','\'(1.35-1.45]\'',4.2,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.45-1.55]\'',3.1,0.1,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.35]\'',3.2,0.2,Iris-setosa
'\'(0.3-0.4]\'','\'(-inf-1.35]\'',3.5,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.45-1.55]\'',3.1,0.1,Iris-setosa
