@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-0.152778]\'','\'(0.152778-0.208333]\'','\'(0.208333-0.291667]\'','\'(0.291667-0.347222]\'','\'(0.347222-0.402778]\'','\'(0.402778-0.486111]\'','\'(0.486111-0.569444]\'','\'(0.569444-0.652778]\'','\'(0.652778-0.736111]\'','\'(0.736111-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.208333-0.291667]\'',0.067797,3.5,0.2,Iris-setosa
'\'(0.152778-0.208333]\'',0.067797,3,0.2,Iris-setosa
'\'(-inf-0.152778]\'',0.050847,3.2,0.2,Iris-setosa
'\'(-inf-0.152778]\'',0.084746,3.1,0.2,Iris-setosa
'\'(0.152778-0.208333]\'',0.067797,3.6,0.2,Iris-setosa
'\'(0.291667-0.347222]\'',0.118644,3.9,0.4,Iris-setosa
'\'(-inf-0.152778]\'',0.067797,3.4,0.3,Iris-setosa
'\'(0.152778-0.208333]\'',0.084746,3.4,0.2,Iris-setosa
'\'(-inf-0.152778]\'',0.067797,2.9,0.2,Iris-setosa
'\'(0.152778-0.208333]\'',0.084746,3.1,0.1,Iris-setosa
'\'(0.291667-0.347222]\'',0.084746,3.7,0.2,Iris-setosa
'\'(-inf-0.152778]\'',0.101695,3.4,0.2,Iris-setosa
'\'(-inf-0.152778]\'',0.067797,3,0.1,Iris-setosa
'\'(-inf-0.152778]\'',0.016949,3,0.1,Iris-setosa
'\'(0.402778-0.486111]\'',0.033898,4,0.2,Iris-setosa
'\'(0.347222-0.402778]\'',0.084746,4.4,0.4,Iris-setosa
'\'(0.291667-0.347222]\'',0.050847,3.9,0.4,Iris-setosa
'\'(0.208333-0.291667]\'',0.067797,3.5,0.3,Iris-setosa
'\'(0.347222-0.402778]\'',0.118644,3.8,0.3,Iris-setosa
'\'(0.208333-0.291667]\'',0.084746,3.8,0.3,Iris-setosa
'\'(0.291667-0.347222]\'',0.118644,3.4,0.2,Iris-setosa
'\'(0.208333-0.291667]\'',0.084746,3.7,0.4,Iris-setosa
'\'(-inf-0.152778]\'',0,3.6,0.2,Iris-setosa
'\'(0.208333-0.291667]\'',0.118644,3.3,0.5,Iris-setosa
'\'(-inf-0.152778]\'',0.152542,3.4,0.2,Iris-setosa
'\'(0.152778-0.208333]\'',0.101695,3,0.2,Iris-setosa
'\'(0.152778-0.208333]\'',0.101695,3.4,0.4,Iris-setosa
'\'(0.208333-0.291667]\'',0.084746,3.5,0.2,Iris-setosa
'\'(0.208333-0.291667]\'',0.067797,3.4,0.2,Iris-setosa
'\'(-inf-0.152778]\'',0.101695,3.2,0.2,Iris-setosa
'\'(-inf-0.152778]\'',0.101695,3.1,0.2,Iris-setosa
'\'(0.291667-0.347222]\'',0.084746,3.4,0.4,Iris-setosa
'\'(0.208333-0.291667]\'',0.084746,4.1,0.1,Iris-setosa
'\'(0.291667-0.347222]\'',0.067797,4.2,0.2,Iris-setosa
'\'(0.152778-0.208333]\'',0.084746,3.1,0.1,Iris-setosa
'\'(0.152778-0.208333]\'',0.033898,3.2,0.2,Iris-setosa
'\'(0.291667-0.347222]\'',0.050847,3.5,0.2,Iris-setosa
'\'(0.152778-0.208333]\'',0.084746,3.1,0.1,Iris-setosa
'\'(-inf-0.152778]\'',0.050847,3,0.2,Iris-setosa
'\'(0.208333-0.291667]\'',0.084746,3.4,0.2,Iris-setosa
'\'(0.152778-0.208333]\'',0.050847,3.5,0.3,Iris-setosa
'\'(-inf-0.152778]\'',0.050847,2.3,0.3,Iris-setosa
'\'(-inf-0.152778]\'',0.050847,3.2,0.2,Iris-setosa
'\'(0.152778-0.208333]\'',0.101695,3.5,0.6,Iris-setosa
'\'(0.208333-0.291667]\'',0.152542,3.8,0.4,Iris-setosa
'\'(-inf-0.152778]\'',0.067797,3,0.3,Iris-setosa
'\'(0.208333-0.291667]\'',0.101695,3.8,0.2,Iris-setosa
'\'(-inf-0.152778]\'',0.067797,3.2,0.2,Iris-setosa
'\'(0.208333-0.291667]\'',0.084746,3.7,0.2,Iris-setosa
'\'(0.152778-0.208333]\'',0.067797,3.3,0.2,Iris-setosa
'\'(0.736111-inf)\'',0.627119,3.2,1.4,Iris-versicolor
'\'(0.569444-0.652778]\'',0.59322,3.2,1.5,Iris-versicolor
'\'(0.652778-0.736111]\'',0.661017,3.1,1.5,Iris-versicolor
'\'(0.291667-0.347222]\'',0.508475,2.3,1.3,Iris-versicolor
'\'(0.569444-0.652778]\'',0.610169,2.8,1.5,Iris-versicolor
'\'(0.347222-0.402778]\'',0.59322,2.8,1.3,Iris-versicolor
'\'(0.486111-0.569444]\'',0.627119,3.3,1.6,Iris-versicolor
'\'(0.152778-0.208333]\'',0.389831,2.4,1,Iris-versicolor
