@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-petal width in cm' numeric
@attribute 'unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.301767,5.1,3.5,1.4,Iris-setosa
-1.301767,4.9,3,1.4,Iris-setosa
-1.301767,4.7,3.2,1.3,Iris-setosa
-1.301767,4.6,3.1,1.5,Iris-setosa
-1.301767,5,3.6,1.4,Iris-setosa
-1.039831,5.4,3.9,1.7,Iris-setosa
-1.170799,4.6,3.4,1.4,Iris-setosa
-1.301767,5,3.4,1.5,Iris-setosa
-1.301767,4.4,2.9,1.4,Iris-setosa
-1.432734,4.9,3.1,1.5,Iris-setosa
-1.301767,5.4,3.7,1.5,Iris-setosa
-1.301767,4.8,3.4,1.6,Iris-setosa
-1.432734,4.8,3,1.4,Iris-setosa
-1.432734,4.3,3,1.1,Iris-setosa
-1.301767,5.8,4,1.2,Iris-setosa
-1.039831,5.7,4.4,1.5,Iris-setosa
-1.039831,5.4,3.9,1.3,Iris-setosa
-1.170799,5.1,3.5,1.4,Iris-setosa
-1.170799,5.7,3.8,1.7,Iris-setosa
-1.170799,5.1,3.8,1.5,Iris-setosa
-1.301767,5.4,3.4,1.7,Iris-setosa
-1.039831,5.1,3.7,1.5,Iris-setosa
-1.301767,4.6,3.6,1,Iris-setosa
-0.908863,5.1,3.3,1.7,Iris-setosa
-1.301767,4.8,3.4,1.9,Iris-setosa
-1.301767,5,3,1.6,Iris-setosa
-1.039831,5,3.4,1.6,Iris-setosa
-1.301767,5.2,3.5,1.5,Iris-setosa
-1.301767,5.2,3.4,1.4,Iris-setosa
-1.301767,4.7,3.2,1.6,Iris-setosa
-1.301767,4.8,3.1,1.6,Iris-setosa
-1.039831,5.4,3.4,1.5,Iris-setosa
-1.432734,5.2,4.1,1.5,Iris-setosa
-1.301767,5.5,4.2,1.4,Iris-setosa
