@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.301767,'\'(1.35-1.45]\'',5.1,3.5,Iris-setosa
-1.301767,'\'(1.35-1.45]\'',4.9,3,Iris-setosa
-1.301767,'\'(-inf-1.35]\'',4.7,3.2,Iris-setosa
-1.301767,'\'(1.45-1.55]\'',4.6,3.1,Iris-setosa
-1.301767,'\'(1.35-1.45]\'',5,3.6,Iris-setosa
-1.039831,'\'(1.55-3.4]\'',5.4,3.9,Iris-setosa
-1.170799,'\'(1.35-1.45]\'',4.6,3.4,Iris-setosa
-1.301767,'\'(1.45-1.55]\'',5,3.4,Iris-setosa
-1.301767,'\'(1.35-1.45]\'',4.4,2.9,Iris-setosa
-1.432734,'\'(1.45-1.55]\'',4.9,3.1,Iris-setosa
-1.301767,'\'(1.45-1.55]\'',5.4,3.7,Iris-setosa
-1.301767,'\'(1.55-3.4]\'',4.8,3.4,Iris-setosa
-1.432734,'\'(1.35-1.45]\'',4.8,3,Iris-setosa
-1.432734,'\'(-inf-1.35]\'',4.3,3,Iris-setosa
-1.301767,'\'(-inf-1.35]\'',5.8,4,Iris-setosa
-1.039831,'\'(1.45-1.55]\'',5.7,4.4,Iris-setosa
-1.039831,'\'(-inf-1.35]\'',5.4,3.9,Iris-setosa
-1.170799,'\'(1.35-1.45]\'',5.1,3.5,Iris-setosa
-1.170799,'\'(1.55-3.4]\'',5.7,3.8,Iris-setosa
-1.170799,'\'(1.45-1.55]\'',5.1,3.8,Iris-setosa
-1.301767,'\'(1.55-3.4]\'',5.4,3.4,Iris-setosa
-1.039831,'\'(1.45-1.55]\'',5.1,3.7,Iris-setosa
-1.301767,'\'(-inf-1.35]\'',4.6,3.6,Iris-setosa
-0.908863,'\'(1.55-3.4]\'',5.1,3.3,Iris-setosa
-1.301767,'\'(1.55-3.4]\'',4.8,3.4,Iris-setosa
-1.301767,'\'(1.55-3.4]\'',5,3,Iris-setosa
-1.039831,'\'(1.55-3.4]\'',5,3.4,Iris-setosa
-1.301767,'\'(1.45-1.55]\'',5.2,3.5,Iris-setosa
-1.301767,'\'(1.35-1.45]\'',5.2,3.4,Iris-setosa
-1.301767,'\'(1.55-3.4]\'',4.7,3.2,Iris-setosa
-1.301767,'\'(1.55-3.4]\'',4.8,3.1,Iris-setosa
-1.039831,'\'(1.45-1.55]\'',5.4,3.4,Iris-setosa
-1.432734,'\'(1.45-1.55]\'',5.2,4.1,Iris-setosa
-1.301767,'\'(1.35-1.45]\'',5.5,4.2,Iris-setosa
-1.432734,'\'(1.45-1.55]\'',4.9,3.1,Iris-setosa
-1.301767,'\'(-inf-1.35]\'',5,3.2,Iris-setosa
-1.301767,'\'(-inf-1.35]\'',5.5,3.5,Iris-setosa
-1.432734,'\'(1.45-1.55]\'',4.9,3.1,Iris-setosa
-1.301767,'\'(-inf-1.35]\'',4.4,3,Iris-setosa
-1.301767,'\'(1.45-1.55]\'',5.1,3.4,Iris-setosa
-1.170799,'\'(-inf-1.35]\'',5,3.5,Iris-setosa
-1.170799,'\'(-inf-1.35]\'',4.5,2.3,Iris-setosa
-1.301767,'\'(-inf-1.35]\'',4.4,3.2,Iris-setosa
-0.777896,'\'(1.55-3.4]\'',5,3.5,Iris-setosa
-1.039831,'\'(1.55-3.4]\'',5.1,3.8,Iris-setosa
-1.170799,'\'(1.35-1.45]\'',4.8,3,Iris-setosa
-1.301767,'\'(1.55-3.4]\'',5.1,3.8,Iris-setosa
-1.301767,'\'(1.35-1.45]\'',4.6,3.2,Iris-setosa
-1.301767,'\'(1.45-1.55]\'',5.3,3.7,Iris-setosa
-1.301767,'\'(1.35-1.45]\'',5,3.3,Iris-setosa
0.269846,'\'(4.55-4.95]\'',7,3.2,Iris-versicolor
0.400814,'\'(4.15-4.55]\'',6.4,3.2,Iris-versicolor
0.400814,'\'(4.55-4.95]\'',6.9,3.1,Iris-versicolor
0.138879,'\'(3.4-4.15]\'',5.5,2.3,Iris-versicolor
0.400814,'\'(4.55-4.95]\'',6.5,2.8,Iris-versicolor
0.138879,'\'(4.15-4.55]\'',5.7,2.8,Iris-versicolor
