@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.301767,1.021997,5.1,1.4,Iris-setosa
-1.301767,-0.129876,4.9,1.4,Iris-setosa
-1.301767,0.330873,4.7,1.3,Iris-setosa
-1.301767,0.100499,4.6,1.5,Iris-setosa
-1.301767,1.252371,5,1.4,Iris-setosa
-1.039831,1.943494,5.4,1.7,Iris-setosa
-1.170799,0.791622,4.6,1.4,Iris-setosa
-1.301767,0.791622,5,1.5,Iris-setosa
-1.301767,-0.36025,4.4,1.4,Iris-setosa
-1.432734,0.100499,4.9,1.5,Iris-setosa
-1.301767,1.482746,5.4,1.5,Iris-setosa
-1.301767,0.791622,4.8,1.6,Iris-setosa
-1.432734,-0.129876,4.8,1.4,Iris-setosa
-1.432734,-0.129876,4.3,1.1,Iris-setosa
-1.301767,2.173869,5.8,1.2,Iris-setosa
-1.039831,3.095367,5.7,1.5,Iris-setosa
-1.039831,1.943494,5.4,1.3,Iris-setosa
-1.170799,1.021997,5.1,1.4,Iris-setosa
-1.170799,1.71312,5.7,1.7,Iris-setosa
-1.170799,1.71312,5.1,1.5,Iris-setosa
-1.301767,0.791622,5.4,1.7,Iris-setosa
-1.039831,1.482746,5.1,1.5,Iris-setosa
-1.301767,1.252371,4.6,1,Iris-setosa
-0.908863,0.561248,5.1,1.7,Iris-setosa
-1.301767,0.791622,4.8,1.9,Iris-setosa
-1.301767,-0.129876,5,1.6,Iris-setosa
-1.039831,0.791622,5,1.6,Iris-setosa
-1.301767,1.021997,5.2,1.5,Iris-setosa
-1.301767,0.791622,5.2,1.4,Iris-setosa
-1.301767,0.330873,4.7,1.6,Iris-setosa
-1.301767,0.100499,4.8,1.6,Iris-setosa
-1.039831,0.791622,5.4,1.5,Iris-setosa
-1.432734,2.404243,5.2,1.5,Iris-setosa
-1.301767,2.634618,5.5,1.4,Iris-setosa
-1.432734,0.100499,4.9,1.5,Iris-setosa
-1.301767,0.330873,5,1.2,Iris-setosa
-1.301767,1.021997,5.5,1.3,Iris-setosa
-1.432734,0.100499,4.9,1.5,Iris-setosa
-1.301767,-0.129876,4.4,1.3,Iris-setosa
-1.301767,0.791622,5.1,1.5,Iris-setosa
-1.170799,1.021997,5,1.3,Iris-setosa
-1.170799,-1.742497,4.5,1.3,Iris-setosa
-1.301767,0.330873,4.4,1.3,Iris-setosa
-0.777896,1.021997,5,1.6,Iris-setosa
-1.039831,1.71312,5.1,1.9,Iris-setosa
-1.170799,-0.129876,4.8,1.4,Iris-setosa
-1.301767,1.71312,5.1,1.6,Iris-setosa
-1.301767,0.330873,4.6,1.4,Iris-setosa
-1.301767,1.482746,5.3,1.5,Iris-setosa
-1.301767,0.561248,5,1.4,Iris-setosa
0.269846,0.330873,7,4.7,Iris-versicolor
0.400814,0.330873,6.4,4.5,Iris-versicolor
0.400814,0.100499,6.9,4.9,Iris-versicolor
0.138879,-1.742497,5.5,4,Iris-versicolor
0.400814,-0.590624,6.5,4.6,Iris-versicolor
0.138879,-0.590624,5.7,4.5,Iris-versicolor
0.531782,0.561248,6.3,4.7,Iris-versicolor
-0.254025,-1.512122,4.9,3.3,Iris-versicolor
0.138879,-0.36025,6.6,4.6,Iris-versicolor
0.269846,-0.820999,5.2,3.9,Iris-versicolor
