@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.45]\'','\'(0.45-1.15]\'','\'(1.15-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.15-0.25]\'',1.021997,5.1,1.4,Iris-setosa
'\'(0.15-0.25]\'',-0.129876,4.9,1.4,Iris-setosa
'\'(0.15-0.25]\'',0.330873,4.7,1.3,Iris-setosa
'\'(0.15-0.25]\'',0.100499,4.6,1.5,Iris-setosa
'\'(0.15-0.25]\'',1.252371,5,1.4,Iris-setosa
'\'(0.25-0.45]\'',1.943494,5.4,1.7,Iris-setosa
'\'(0.25-0.45]\'',0.791622,4.6,1.4,Iris-setosa
'\'(0.15-0.25]\'',0.791622,5,1.5,Iris-setosa
'\'(0.15-0.25]\'',-0.36025,4.4,1.4,Iris-setosa
'\'(-inf-0.15]\'',0.100499,4.9,1.5,Iris-setosa
'\'(0.15-0.25]\'',1.482746,5.4,1.5,Iris-setosa
'\'(0.15-0.25]\'',0.791622,4.8,1.6,Iris-setosa
'\'(-inf-0.15]\'',-0.129876,4.8,1.4,Iris-setosa
'\'(-inf-0.15]\'',-0.129876,4.3,1.1,Iris-setosa
'\'(0.15-0.25]\'',2.173869,5.8,1.2,Iris-setosa
'\'(0.25-0.45]\'',3.095367,5.7,1.5,Iris-setosa
