@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.301767,'\'(3.44-3.68]\'',5.1,1.4,Iris-setosa
-1.301767,'\'(2.96-3.2]\'',4.9,1.4,Iris-setosa
-1.301767,'\'(2.96-3.2]\'',4.7,1.3,Iris-setosa
-1.301767,'\'(2.96-3.2]\'',4.6,1.5,Iris-setosa
-1.301767,'\'(3.44-3.68]\'',5,1.4,Iris-setosa
-1.039831,'\'(3.68-3.92]\'',5.4,1.7,Iris-setosa
-1.170799,'\'(3.2-3.44]\'',4.6,1.4,Iris-setosa
-1.301767,'\'(3.2-3.44]\'',5,1.5,Iris-setosa
-1.301767,'\'(2.72-2.96]\'',4.4,1.4,Iris-setosa
-1.432734,'\'(2.96-3.2]\'',4.9,1.5,Iris-setosa
-1.301767,'\'(3.68-3.92]\'',5.4,1.5,Iris-setosa
-1.301767,'\'(3.2-3.44]\'',4.8,1.6,Iris-setosa
-1.432734,'\'(2.96-3.2]\'',4.8,1.4,Iris-setosa
-1.432734,'\'(2.96-3.2]\'',4.3,1.1,Iris-setosa
-1.301767,'\'(3.92-4.16]\'',5.8,1.2,Iris-setosa
-1.039831,'\'(4.16-inf)\'',5.7,1.5,Iris-setosa
-1.039831,'\'(3.68-3.92]\'',5.4,1.3,Iris-setosa
-1.170799,'\'(3.44-3.68]\'',5.1,1.4,Iris-setosa
-1.170799,'\'(3.68-3.92]\'',5.7,1.7,Iris-setosa
-1.170799,'\'(3.68-3.92]\'',5.1,1.5,Iris-setosa
-1.301767,'\'(3.2-3.44]\'',5.4,1.7,Iris-setosa
-1.039831,'\'(3.68-3.92]\'',5.1,1.5,Iris-setosa
-1.301767,'\'(3.44-3.68]\'',4.6,1,Iris-setosa
-0.908863,'\'(3.2-3.44]\'',5.1,1.7,Iris-setosa
-1.301767,'\'(3.2-3.44]\'',4.8,1.9,Iris-setosa
-1.301767,'\'(2.96-3.2]\'',5,1.6,Iris-setosa
-1.039831,'\'(3.2-3.44]\'',5,1.6,Iris-setosa
-1.301767,'\'(3.44-3.68]\'',5.2,1.5,Iris-setosa
-1.301767,'\'(3.2-3.44]\'',5.2,1.4,Iris-setosa
-1.301767,'\'(2.96-3.2]\'',4.7,1.6,Iris-setosa
-1.301767,'\'(2.96-3.2]\'',4.8,1.6,Iris-setosa
-1.039831,'\'(3.2-3.44]\'',5.4,1.5,Iris-setosa
-1.432734,'\'(3.92-4.16]\'',5.2,1.5,Iris-setosa
-1.301767,'\'(4.16-inf)\'',5.5,1.4,Iris-setosa
-1.432734,'\'(2.96-3.2]\'',4.9,1.5,Iris-setosa
-1.301767,'\'(2.96-3.2]\'',5,1.2,Iris-setosa
-1.301767,'\'(3.44-3.68]\'',5.5,1.3,Iris-setosa
-1.432734,'\'(2.96-3.2]\'',4.9,1.5,Iris-setosa
-1.301767,'\'(2.96-3.2]\'',4.4,1.3,Iris-setosa
-1.301767,'\'(3.2-3.44]\'',5.1,1.5,Iris-setosa
-1.170799,'\'(3.44-3.68]\'',5,1.3,Iris-setosa
-1.170799,'\'(2.24-2.48]\'',4.5,1.3,Iris-setosa
-1.301767,'\'(2.96-3.2]\'',4.4,1.3,Iris-setosa
-0.777896,'\'(3.44-3.68]\'',5,1.6,Iris-setosa
-1.039831,'\'(3.68-3.92]\'',5.1,1.9,Iris-setosa
-1.170799,'\'(2.96-3.2]\'',4.8,1.4,Iris-setosa
-1.301767,'\'(3.68-3.92]\'',5.1,1.6,Iris-setosa
-1.301767,'\'(2.96-3.2]\'',4.6,1.4,Iris-setosa
-1.301767,'\'(3.68-3.92]\'',5.3,1.5,Iris-setosa
-1.301767,'\'(3.2-3.44]\'',5,1.4,Iris-setosa
0.269846,'\'(2.96-3.2]\'',7,4.7,Iris-versicolor
0.400814,'\'(2.96-3.2]\'',6.4,4.5,Iris-versicolor
0.400814,'\'(2.96-3.2]\'',6.9,4.9,Iris-versicolor
0.138879,'\'(2.24-2.48]\'',5.5,4,Iris-versicolor
0.400814,'\'(2.72-2.96]\'',6.5,4.6,Iris-versicolor
0.138879,'\'(2.72-2.96]\'',5.7,4.5,Iris-versicolor
0.531782,'\'(3.2-3.44]\'',6.3,4.7,Iris-versicolor
-0.254025,'\'(2.24-2.48]\'',4.9,3.3,Iris-versicolor
0.138879,'\'(2.72-2.96]\'',6.6,4.6,Iris-versicolor
0.269846,'\'(2.48-2.72]\'',5.2,3.9,Iris-versicolor
-0.254025,'\'(-inf-2.24]\'',5,3.5,Iris-versicolor
0.400814,'\'(2.96-3.2]\'',5.9,4.2,Iris-versicolor
