@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.301767,-0.87971,0.067797,3.5,Iris-setosa
-1.301767,-1.120076,0.067797,3,Iris-setosa
-1.301767,-1.360443,0.050847,3.2,Iris-setosa
-1.301767,-1.480626,0.084746,3.1,Iris-setosa
-1.301767,-0.999893,0.067797,3.6,Iris-setosa
-1.039831,-0.519159,0.118644,3.9,Iris-setosa
-1.170799,-1.480626,0.067797,3.4,Iris-setosa
-1.301767,-0.999893,0.084746,3.4,Iris-setosa
-1.301767,-1.720993,0.067797,2.9,Iris-setosa
-1.432734,-1.120076,0.084746,3.1,Iris-setosa
-1.301767,-0.519159,0.084746,3.7,Iris-setosa
-1.301767,-1.24026,0.101695,3.4,Iris-setosa
-1.432734,-1.24026,0.067797,3,Iris-setosa
-1.432734,-1.841177,0.016949,3,Iris-setosa
-1.301767,-0.038426,0.033898,4,Iris-setosa
-1.039831,-0.158609,0.084746,4.4,Iris-setosa
-1.039831,-0.519159,0.050847,3.9,Iris-setosa
-1.170799,-0.87971,0.067797,3.5,Iris-setosa
-1.170799,-0.158609,0.118644,3.8,Iris-setosa
-1.170799,-0.87971,0.084746,3.8,Iris-setosa
-1.301767,-0.519159,0.118644,3.4,Iris-setosa
-1.039831,-0.87971,0.084746,3.7,Iris-setosa
-1.301767,-1.480626,0,3.6,Iris-setosa
-0.908863,-0.87971,0.118644,3.3,Iris-setosa
-1.301767,-1.24026,0.152542,3.4,Iris-setosa
-1.301767,-0.999893,0.101695,3,Iris-setosa
-1.039831,-0.999893,0.101695,3.4,Iris-setosa
-1.301767,-0.759526,0.084746,3.5,Iris-setosa
-1.301767,-0.759526,0.067797,3.4,Iris-setosa
-1.301767,-1.360443,0.101695,3.2,Iris-setosa
-1.301767,-1.24026,0.101695,3.1,Iris-setosa
-1.039831,-0.519159,0.084746,3.4,Iris-setosa
-1.432734,-0.759526,0.084746,4.1,Iris-setosa
-1.301767,-0.398976,0.067797,4.2,Iris-setosa
-1.432734,-1.120076,0.084746,3.1,Iris-setosa
-1.301767,-0.999893,0.033898,3.2,Iris-setosa
-1.301767,-0.398976,0.050847,3.5,Iris-setosa
-1.432734,-1.120076,0.084746,3.1,Iris-setosa
-1.301767,-1.720993,0.050847,3,Iris-setosa
-1.301767,-0.87971,0.084746,3.4,Iris-setosa
-1.170799,-0.999893,0.050847,3.5,Iris-setosa
-1.170799,-1.60081,0.050847,2.3,Iris-setosa
-1.301767,-1.720993,0.050847,3.2,Iris-setosa
-0.777896,-0.999893,0.101695,3.5,Iris-setosa
-1.039831,-0.87971,0.152542,3.8,Iris-setosa
-1.170799,-1.24026,0.067797,3,Iris-setosa
-1.301767,-0.87971,0.101695,3.8,Iris-setosa
-1.301767,-1.480626,0.067797,3.2,Iris-setosa
-1.301767,-0.639343,0.084746,3.7,Iris-setosa
-1.301767,-0.999893,0.067797,3.3,Iris-setosa
0.269846,1.403775,0.627119,3.2,Iris-versicolor
0.400814,0.682674,0.59322,3.2,Iris-versicolor
0.400814,1.283591,0.661017,3.1,Iris-versicolor
0.138879,-0.398976,0.508475,2.3,Iris-versicolor
0.400814,0.802858,0.610169,2.8,Iris-versicolor
0.138879,-0.158609,0.59322,2.8,Iris-versicolor
0.531782,0.562491,0.627119,3.3,Iris-versicolor
-0.254025,-1.120076,0.389831,2.4,Iris-versicolor
0.138879,0.923041,0.610169,2.9,Iris-versicolor
0.269846,-0.759526,0.491525,2.7,Iris-versicolor
-0.254025,-0.999893,0.423729,2,Iris-versicolor
0.400814,0.081757,0.542373,3,Iris-versicolor
-0.254025,0.201941,0.508475,2.2,Iris-versicolor
0.269846,0.322124,0.627119,2.9,Iris-versicolor
0.138879,-0.278793,0.440678,2.9,Iris-versicolor
0.269846,1.043224,0.576271,3.1,Iris-versicolor
0.400814,-0.278793,0.59322,3,Iris-versicolor
-0.254025,-0.038426,0.525424,2.7,Iris-versicolor
0.400814,0.442308,0.59322,2.2,Iris-versicolor
-0.123057,-0.278793,0.491525,2.5,Iris-versicolor
0.793717,0.081757,0.644068,3.2,Iris-versicolor
0.138879,0.322124,0.508475,2.8,Iris-versicolor
0.400814,0.562491,0.661017,2.5,Iris-versicolor
0.007911,0.322124,0.627119,2.8,Iris-versicolor
0.138879,0.682674,0.559322,2.9,Iris-versicolor
0.269846,0.923041,0.576271,3,Iris-versicolor
0.269846,1.163408,0.644068,2.8,Iris-versicolor
0.662749,1.043224,0.677966,3,Iris-versicolor
0.400814,0.201941,0.59322,2.9,Iris-versicolor
-0.254025,-0.158609,0.423729,2.6,Iris-versicolor
-0.123057,-0.398976,0.474576,2.4,Iris-versicolor
-0.254025,-0.398976,0.457627,2.4,Iris-versicolor
0.007911,-0.038426,0.491525,2.7,Iris-versicolor
0.531782,0.201941,0.694915,2.7,Iris-versicolor
0.400814,-0.519159,0.59322,3,Iris-versicolor
0.531782,0.201941,0.59322,3.4,Iris-versicolor
0.400814,1.043224,0.627119,3.1,Iris-versicolor
0.138879,0.562491,0.576271,2.3,Iris-versicolor
0.138879,-0.278793,0.525424,3,Iris-versicolor
0.138879,-0.398976,0.508475,2.5,Iris-versicolor
0.007911,-0.398976,0.576271,2.6,Iris-versicolor
0.269846,0.322124,0.610169,3,Iris-versicolor
0.007911,-0.038426,0.508475,2.6,Iris-versicolor
-0.254025,-0.999893,0.389831,2.3,Iris-versicolor
0.138879,-0.278793,0.542373,2.7,Iris-versicolor
0.007911,-0.158609,0.542373,3,Iris-versicolor
0.138879,-0.158609,0.542373,2.9,Iris-versicolor
0.138879,0.442308,0.559322,2.9,Iris-versicolor
-0.123057,-0.87971,0.338983,2.5,Iris-versicolor
0.138879,-0.158609,0.525424,2.8,Iris-versicolor
1.710491,0.562491,0.847458,3.3,Iris-virginica
0.924685,-0.038426,0.694915,2.7,Iris-virginica
1.18662,1.523958,0.830508,3,Iris-virginica
0.793717,0.562491,0.779661,2.9,Iris-virginica
1.317588,0.802858,0.813559,3,Iris-virginica
1.18662,2.124875,0.949153,3,Iris-virginica
0.662749,-1.120076,0.59322,2.5,Iris-virginica
0.793717,1.764325,0.898305,2.9,Iris-virginica
0.793717,1.043224,0.813559,2.5,Iris-virginica
1.710491,1.644141,0.864407,3.6,Iris-virginica
1.055653,0.802858,0.694915,3.2,Iris-virginica
0.924685,0.682674,0.728814,2.7,Iris-virginica
1.18662,1.163408,0.762712,3,Iris-virginica
1.055653,-0.158609,0.677966,2.5,Iris-virginica
1.579524,-0.038426,0.694915,2.8,Iris-virginica
1.448556,0.682674,0.728814,3.2,Iris-virginica
0.793717,0.802858,0.762712,3,Iris-virginica
1.317588,2.245058,0.966102,3.8,Iris-virginica
1.448556,2.245058,1,2.6,Iris-virginica
0.400814,0.201941,0.677966,2.2,Iris-virginica
1.448556,1.283591,0.79661,3.2,Iris-virginica
1.055653,-0.278793,0.661017,2.8,Iris-virginica
1.055653,2.245058,0.966102,2.8,Iris-virginica
0.793717,0.562491,0.661017,2.7,Iris-virginica
1.18662,1.043224,0.79661,3.3,Iris-virginica
0.793717,1.644141,0.847458,3.2,Iris-virginica
0.793717,0.442308,0.644068,2.8,Iris-virginica
0.793717,0.322124,0.661017,3,Iris-virginica
1.18662,0.682674,0.779661,2.8,Iris-virginica
0.531782,1.644141,0.813559,3,Iris-virginica
0.924685,1.884508,0.864407,2.8,Iris-virginica
1.055653,2.485425,0.915254,3.8,Iris-virginica
1.317588,0.682674,0.779661,2.8,Iris-virginica
0.400814,0.562491,0.694915,2.8,Iris-virginica
0.269846,0.322124,0.779661,2.6,Iris-virginica
1.448556,2.245058,0.864407,3,Iris-virginica
1.579524,0.562491,0.779661,3.4,Iris-virginica
0.793717,0.682674,0.762712,3.1,Iris-virginica
0.793717,0.201941,0.644068,3,Iris-virginica
1.18662,1.283591,0.745763,3.1,Iris-virginica
1.579524,1.043224,0.779661,3.1,Iris-virginica
1.448556,1.283591,0.694915,3.1,Iris-virginica
?,-0.038426,0.694915,?,Iris-virginica
1.448556,1.163408,0.830508,3.2,Iris-virginica
