@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.45]\'','\'(0.45-1.15]\'','\'(1.15-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.15-0.25]\'',0.222222,'\'(1.35-1.45]\'',3.5,Iris-setosa
'\'(0.15-0.25]\'',0.166667,'\'(1.35-1.45]\'',3,Iris-setosa
'\'(0.15-0.25]\'',0.111111,'\'(-inf-1.35]\'',3.2,Iris-setosa
'\'(0.15-0.25]\'',0.083333,'\'(1.45-1.55]\'',3.1,Iris-setosa
'\'(0.15-0.25]\'',0.194444,'\'(1.35-1.45]\'',3.6,Iris-setosa
'\'(0.25-0.45]\'',0.305556,'\'(1.55-3.4]\'',3.9,Iris-setosa
'\'(0.25-0.45]\'',0.083333,'\'(1.35-1.45]\'',3.4,Iris-setosa
'\'(0.15-0.25]\'',0.194444,'\'(1.45-1.55]\'',3.4,Iris-setosa
'\'(0.15-0.25]\'',0.027778,'\'(1.35-1.45]\'',2.9,Iris-setosa
'\'(-inf-0.15]\'',0.166667,'\'(1.45-1.55]\'',3.1,Iris-setosa
'\'(0.15-0.25]\'',0.305556,'\'(1.45-1.55]\'',3.7,Iris-setosa
'\'(0.15-0.25]\'',0.138889,'\'(1.55-3.4]\'',3.4,Iris-setosa
'\'(-inf-0.15]\'',0.138889,'\'(1.35-1.45]\'',3,Iris-setosa
'\'(-inf-0.15]\'',0,'\'(-inf-1.35]\'',3,Iris-setosa
'\'(0.15-0.25]\'',0.416667,'\'(-inf-1.35]\'',4,Iris-setosa
'\'(0.25-0.45]\'',0.388889,'\'(1.45-1.55]\'',4.4,Iris-setosa
'\'(0.25-0.45]\'',0.305556,'\'(-inf-1.35]\'',3.9,Iris-setosa
'\'(0.25-0.45]\'',0.222222,'\'(1.35-1.45]\'',3.5,Iris-setosa
'\'(0.25-0.45]\'',0.388889,'\'(1.55-3.4]\'',3.8,Iris-setosa
'\'(0.25-0.45]\'',0.222222,'\'(1.45-1.55]\'',3.8,Iris-setosa
'\'(0.15-0.25]\'',0.305556,'\'(1.55-3.4]\'',3.4,Iris-setosa
'\'(0.25-0.45]\'',0.222222,'\'(1.45-1.55]\'',3.7,Iris-setosa
'\'(0.15-0.25]\'',0.083333,'\'(-inf-1.35]\'',3.6,Iris-setosa
'\'(0.45-1.15]\'',0.222222,'\'(1.55-3.4]\'',3.3,Iris-setosa
'\'(0.15-0.25]\'',0.138889,'\'(1.55-3.4]\'',3.4,Iris-setosa
'\'(0.15-0.25]\'',0.194444,'\'(1.55-3.4]\'',3,Iris-setosa
'\'(0.25-0.45]\'',0.194444,'\'(1.55-3.4]\'',3.4,Iris-setosa
'\'(0.15-0.25]\'',0.25,'\'(1.45-1.55]\'',3.5,Iris-setosa
'\'(0.15-0.25]\'',0.25,'\'(1.35-1.45]\'',3.4,Iris-setosa
'\'(0.15-0.25]\'',0.111111,'\'(1.55-3.4]\'',3.2,Iris-setosa
'\'(0.15-0.25]\'',0.138889,'\'(1.55-3.4]\'',3.1,Iris-setosa
'\'(0.25-0.45]\'',0.305556,'\'(1.45-1.55]\'',3.4,Iris-setosa
'\'(-inf-0.15]\'',0.25,'\'(1.45-1.55]\'',4.1,Iris-setosa
'\'(0.15-0.25]\'',0.333333,'\'(1.35-1.45]\'',4.2,Iris-setosa
'\'(-inf-0.15]\'',0.166667,'\'(1.45-1.55]\'',3.1,Iris-setosa
'\'(0.15-0.25]\'',0.194444,'\'(-inf-1.35]\'',3.2,Iris-setosa
'\'(0.15-0.25]\'',0.333333,'\'(-inf-1.35]\'',3.5,Iris-setosa
'\'(-inf-0.15]\'',0.166667,'\'(1.45-1.55]\'',3.1,Iris-setosa
'\'(0.15-0.25]\'',0.027778,'\'(-inf-1.35]\'',3,Iris-setosa
