@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.301767,'\'(5.02-5.38]\'',0.067797,3.5,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',0.067797,3,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',0.050847,3.2,Iris-setosa
-1.301767,'\'(-inf-4.66]\'',0.084746,3.1,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',0.067797,3.6,Iris-setosa
-1.039831,'\'(5.38-5.74]\'',0.118644,3.9,Iris-setosa
-1.170799,'\'(-inf-4.66]\'',0.067797,3.4,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',0.084746,3.4,Iris-setosa
-1.301767,'\'(-inf-4.66]\'',0.067797,2.9,Iris-setosa
-1.432734,'\'(4.66-5.02]\'',0.084746,3.1,Iris-setosa
-1.301767,'\'(5.38-5.74]\'',0.084746,3.7,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',0.101695,3.4,Iris-setosa
-1.432734,'\'(4.66-5.02]\'',0.067797,3,Iris-setosa
-1.432734,'\'(-inf-4.66]\'',0.016949,3,Iris-setosa
-1.301767,'\'(5.74-6.1]\'',0.033898,4,Iris-setosa
-1.039831,'\'(5.38-5.74]\'',0.084746,4.4,Iris-setosa
-1.039831,'\'(5.38-5.74]\'',0.050847,3.9,Iris-setosa
-1.170799,'\'(5.02-5.38]\'',0.067797,3.5,Iris-setosa
-1.170799,'\'(5.38-5.74]\'',0.118644,3.8,Iris-setosa
-1.170799,'\'(5.02-5.38]\'',0.084746,3.8,Iris-setosa
-1.301767,'\'(5.38-5.74]\'',0.118644,3.4,Iris-setosa
-1.039831,'\'(5.02-5.38]\'',0.084746,3.7,Iris-setosa
-1.301767,'\'(-inf-4.66]\'',0,3.6,Iris-setosa
-0.908863,'\'(5.02-5.38]\'',0.118644,3.3,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',0.152542,3.4,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',0.101695,3,Iris-setosa
-1.039831,'\'(4.66-5.02]\'',0.101695,3.4,Iris-setosa
-1.301767,'\'(5.02-5.38]\'',0.084746,3.5,Iris-setosa
-1.301767,'\'(5.02-5.38]\'',0.067797,3.4,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',0.101695,3.2,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',0.101695,3.1,Iris-setosa
-1.039831,'\'(5.38-5.74]\'',0.084746,3.4,Iris-setosa
-1.432734,'\'(5.02-5.38]\'',0.084746,4.1,Iris-setosa
-1.301767,'\'(5.38-5.74]\'',0.067797,4.2,Iris-setosa
-1.432734,'\'(4.66-5.02]\'',0.084746,3.1,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',0.033898,3.2,Iris-setosa
-1.301767,'\'(5.38-5.74]\'',0.050847,3.5,Iris-setosa
-1.432734,'\'(4.66-5.02]\'',0.084746,3.1,Iris-setosa
-1.301767,'\'(-inf-4.66]\'',0.050847,3,Iris-setosa
-1.301767,'\'(5.02-5.38]\'',0.084746,3.4,Iris-setosa
-1.170799,'\'(4.66-5.02]\'',0.050847,3.5,Iris-setosa
-1.170799,'\'(-inf-4.66]\'',0.050847,2.3,Iris-setosa
-1.301767,'\'(-inf-4.66]\'',0.050847,3.2,Iris-setosa
-0.777896,'\'(4.66-5.02]\'',0.101695,3.5,Iris-setosa
-1.039831,'\'(5.02-5.38]\'',0.152542,3.8,Iris-setosa
-1.170799,'\'(4.66-5.02]\'',0.067797,3,Iris-setosa
-1.301767,'\'(5.02-5.38]\'',0.101695,3.8,Iris-setosa
-1.301767,'\'(-inf-4.66]\'',0.067797,3.2,Iris-setosa
-1.301767,'\'(5.02-5.38]\'',0.084746,3.7,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',0.067797,3.3,Iris-setosa
0.269846,'\'(6.82-7.18]\'',0.627119,3.2,Iris-versicolor
0.400814,'\'(6.1-6.46]\'',0.59322,3.2,Iris-versicolor
0.400814,'\'(6.82-7.18]\'',0.661017,3.1,Iris-versicolor
0.138879,'\'(5.38-5.74]\'',0.508475,2.3,Iris-versicolor
0.400814,'\'(6.46-6.82]\'',0.610169,2.8,Iris-versicolor
0.138879,'\'(5.38-5.74]\'',0.59322,2.8,Iris-versicolor
0.531782,'\'(6.1-6.46]\'',0.627119,3.3,Iris-versicolor
-0.254025,'\'(4.66-5.02]\'',0.389831,2.4,Iris-versicolor
0.138879,'\'(6.46-6.82]\'',0.610169,2.9,Iris-versicolor
0.269846,'\'(5.02-5.38]\'',0.491525,2.7,Iris-versicolor
-0.254025,'\'(4.66-5.02]\'',0.423729,2,Iris-versicolor
0.400814,'\'(5.74-6.1]\'',0.542373,3,Iris-versicolor
-0.254025,'\'(5.74-6.1]\'',0.508475,2.2,Iris-versicolor
0.269846,'\'(5.74-6.1]\'',0.627119,2.9,Iris-versicolor
0.138879,'\'(5.38-5.74]\'',0.440678,2.9,Iris-versicolor
0.269846,'\'(6.46-6.82]\'',0.576271,3.1,Iris-versicolor
0.400814,'\'(5.38-5.74]\'',0.59322,3,Iris-versicolor
-0.254025,'\'(5.74-6.1]\'',0.525424,2.7,Iris-versicolor
0.400814,'\'(6.1-6.46]\'',0.59322,2.2,Iris-versicolor
-0.123057,'\'(5.38-5.74]\'',0.491525,2.5,Iris-versicolor
0.793717,'\'(5.74-6.1]\'',0.644068,3.2,Iris-versicolor
0.138879,'\'(5.74-6.1]\'',0.508475,2.8,Iris-versicolor
0.400814,'\'(6.1-6.46]\'',0.661017,2.5,Iris-versicolor
0.007911,'\'(5.74-6.1]\'',0.627119,2.8,Iris-versicolor
0.138879,'\'(6.1-6.46]\'',0.559322,2.9,Iris-versicolor
0.269846,'\'(6.46-6.82]\'',0.576271,3,Iris-versicolor
0.269846,'\'(6.46-6.82]\'',0.644068,2.8,Iris-versicolor
0.662749,'\'(6.46-6.82]\'',0.677966,3,Iris-versicolor
0.400814,'\'(5.74-6.1]\'',0.59322,2.9,Iris-versicolor
-0.254025,'\'(5.38-5.74]\'',0.423729,2.6,Iris-versicolor
-0.123057,'\'(5.38-5.74]\'',0.474576,2.4,Iris-versicolor
-0.254025,'\'(5.38-5.74]\'',0.457627,2.4,Iris-versicolor
0.007911,'\'(5.74-6.1]\'',0.491525,2.7,Iris-versicolor
0.531782,'\'(5.74-6.1]\'',0.694915,2.7,Iris-versicolor
0.400814,'\'(5.38-5.74]\'',0.59322,3,Iris-versicolor
0.531782,'\'(5.74-6.1]\'',0.59322,3.4,Iris-versicolor
0.400814,'\'(6.46-6.82]\'',0.627119,3.1,Iris-versicolor
0.138879,'\'(6.1-6.46]\'',0.576271,2.3,Iris-versicolor
0.138879,'\'(5.38-5.74]\'',0.525424,3,Iris-versicolor
