@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.45]\'','\'(0.45-1.15]\'','\'(1.15-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.15-0.25]\'','\'(5.02-5.38]\'',0.067797,3.5,Iris-setosa
'\'(0.15-0.25]\'','\'(4.66-5.02]\'',0.067797,3,Iris-setosa
'\'(0.15-0.25]\'','\'(4.66-5.02]\'',0.050847,3.2,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-4.66]\'',0.084746,3.1,Iris-setosa
'\'(0.15-0.25]\'','\'(4.66-5.02]\'',0.067797,3.6,Iris-setosa
'\'(0.25-0.45]\'','\'(5.38-5.74]\'',0.118644,3.9,Iris-setosa
'\'(0.25-0.45]\'','\'(-inf-4.66]\'',0.067797,3.4,Iris-setosa
'\'(0.15-0.25]\'','\'(4.66-5.02]\'',0.084746,3.4,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-4.66]\'',0.067797,2.9,Iris-setosa
'\'(-inf-0.15]\'','\'(4.66-5.02]\'',0.084746,3.1,Iris-setosa
'\'(0.15-0.25]\'','\'(5.38-5.74]\'',0.084746,3.7,Iris-setosa
'\'(0.15-0.25]\'','\'(4.66-5.02]\'',0.101695,3.4,Iris-setosa
'\'(-inf-0.15]\'','\'(4.66-5.02]\'',0.067797,3,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf-4.66]\'',0.016949,3,Iris-setosa
'\'(0.15-0.25]\'','\'(5.74-6.1]\'',0.033898,4,Iris-setosa
