@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.45]\'','\'(0.45-1.15]\'','\'(1.15-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.15-0.25]\'','\'(5.05-5.35]\'',0.067797,3.5,Iris-setosa
'\'(0.15-0.25]\'','\'(4.85-5.05]\'',0.067797,3,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-4.85]\'',0.050847,3.2,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-4.85]\'',0.084746,3.1,Iris-setosa
'\'(0.15-0.25]\'','\'(4.85-5.05]\'',0.067797,3.6,Iris-setosa
'\'(0.25-0.45]\'','\'(5.35-5.55]\'',0.118644,3.9,Iris-setosa
'\'(0.25-0.45]\'','\'(-inf-4.85]\'',0.067797,3.4,Iris-setosa
'\'(0.15-0.25]\'','\'(4.85-5.05]\'',0.084746,3.4,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-4.85]\'',0.067797,2.9,Iris-setosa
'\'(-inf-0.15]\'','\'(4.85-5.05]\'',0.084746,3.1,Iris-setosa
'\'(0.15-0.25]\'','\'(5.35-5.55]\'',0.084746,3.7,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-4.85]\'',0.101695,3.4,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf-4.85]\'',0.067797,3,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf-4.85]\'',0.016949,3,Iris-setosa
'\'(0.15-0.25]\'','\'(5.75-6.05]\'',0.033898,4,Iris-setosa
'\'(0.25-0.45]\'','\'(5.55-5.75]\'',0.084746,4.4,Iris-setosa
'\'(0.25-0.45]\'','\'(5.35-5.55]\'',0.050847,3.9,Iris-setosa
'\'(0.25-0.45]\'','\'(5.05-5.35]\'',0.067797,3.5,Iris-setosa
'\'(0.25-0.45]\'','\'(5.55-5.75]\'',0.118644,3.8,Iris-setosa
'\'(0.25-0.45]\'','\'(5.05-5.35]\'',0.084746,3.8,Iris-setosa
'\'(0.15-0.25]\'','\'(5.35-5.55]\'',0.118644,3.4,Iris-setosa
'\'(0.25-0.45]\'','\'(5.05-5.35]\'',0.084746,3.7,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-4.85]\'',0,3.6,Iris-setosa
'\'(0.45-1.15]\'','\'(5.05-5.35]\'',0.118644,3.3,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-4.85]\'',0.152542,3.4,Iris-setosa
'\'(0.15-0.25]\'','\'(4.85-5.05]\'',0.101695,3,Iris-setosa
'\'(0.25-0.45]\'','\'(4.85-5.05]\'',0.101695,3.4,Iris-setosa
'\'(0.15-0.25]\'','\'(5.05-5.35]\'',0.084746,3.5,Iris-setosa
'\'(0.15-0.25]\'','\'(5.05-5.35]\'',0.067797,3.4,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-4.85]\'',0.101695,3.2,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-4.85]\'',0.101695,3.1,Iris-setosa
'\'(0.25-0.45]\'','\'(5.35-5.55]\'',0.084746,3.4,Iris-setosa
'\'(-inf-0.15]\'','\'(5.05-5.35]\'',0.084746,4.1,Iris-setosa
'\'(0.15-0.25]\'','\'(5.35-5.55]\'',0.067797,4.2,Iris-setosa
'\'(-inf-0.15]\'','\'(4.85-5.05]\'',0.084746,3.1,Iris-setosa
'\'(0.15-0.25]\'','\'(4.85-5.05]\'',0.033898,3.2,Iris-setosa
'\'(0.15-0.25]\'','\'(5.35-5.55]\'',0.050847,3.5,Iris-setosa
'\'(-inf-0.15]\'','\'(4.85-5.05]\'',0.084746,3.1,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-4.85]\'',0.050847,3,Iris-setosa
'\'(0.15-0.25]\'','\'(5.05-5.35]\'',0.084746,3.4,Iris-setosa
'\'(0.25-0.45]\'','\'(4.85-5.05]\'',0.050847,3.5,Iris-setosa
'\'(0.25-0.45]\'','\'(-inf-4.85]\'',0.050847,2.3,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-4.85]\'',0.050847,3.2,Iris-setosa
'\'(0.45-1.15]\'','\'(4.85-5.05]\'',0.101695,3.5,Iris-setosa
'\'(0.25-0.45]\'','\'(5.05-5.35]\'',0.152542,3.8,Iris-setosa
