@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,'\'(5.02-5.38]\'',-1.336794,3.5,Iris-setosa
0.041667,'\'(4.66-5.02]\'',-1.336794,3,Iris-setosa
0.041667,'\'(4.66-5.02]\'',-1.39347,3.2,Iris-setosa
0.041667,'\'(-inf-4.66]\'',-1.280118,3.1,Iris-setosa
0.041667,'\'(4.66-5.02]\'',-1.336794,3.6,Iris-setosa
0.125,'\'(5.38-5.74]\'',-1.166767,3.9,Iris-setosa
0.083333,'\'(-inf-4.66]\'',-1.336794,3.4,Iris-setosa
0.041667,'\'(4.66-5.02]\'',-1.280118,3.4,Iris-setosa
0.041667,'\'(-inf-4.66]\'',-1.336794,2.9,Iris-setosa
0,'\'(4.66-5.02]\'',-1.280118,3.1,Iris-setosa
0.041667,'\'(5.38-5.74]\'',-1.280118,3.7,Iris-setosa
0.041667,'\'(4.66-5.02]\'',-1.223442,3.4,Iris-setosa
0,'\'(4.66-5.02]\'',-1.336794,3,Iris-setosa
0,'\'(-inf-4.66]\'',-1.506822,3,Iris-setosa
0.041667,'\'(5.74-6.1]\'',-1.450146,4,Iris-setosa
0.125,'\'(5.38-5.74]\'',-1.280118,4.4,Iris-setosa
0.125,'\'(5.38-5.74]\'',-1.39347,3.9,Iris-setosa
0.083333,'\'(5.02-5.38]\'',-1.336794,3.5,Iris-setosa
0.083333,'\'(5.38-5.74]\'',-1.166767,3.8,Iris-setosa
0.083333,'\'(5.02-5.38]\'',-1.280118,3.8,Iris-setosa
0.041667,'\'(5.38-5.74]\'',-1.166767,3.4,Iris-setosa
0.125,'\'(5.02-5.38]\'',-1.280118,3.7,Iris-setosa
0.041667,'\'(-inf-4.66]\'',-1.563497,3.6,Iris-setosa
0.166667,'\'(5.02-5.38]\'',-1.166767,3.3,Iris-setosa
0.041667,'\'(4.66-5.02]\'',-1.053415,3.4,Iris-setosa
0.041667,'\'(4.66-5.02]\'',-1.223442,3,Iris-setosa
0.125,'\'(4.66-5.02]\'',-1.223442,3.4,Iris-setosa
0.041667,'\'(5.02-5.38]\'',-1.280118,3.5,Iris-setosa
0.041667,'\'(5.02-5.38]\'',-1.336794,3.4,Iris-setosa
0.041667,'\'(4.66-5.02]\'',-1.223442,3.2,Iris-setosa
0.041667,'\'(4.66-5.02]\'',-1.223442,3.1,Iris-setosa
0.125,'\'(5.38-5.74]\'',-1.280118,3.4,Iris-setosa
0,'\'(5.02-5.38]\'',-1.280118,4.1,Iris-setosa
0.041667,'\'(5.38-5.74]\'',-1.336794,4.2,Iris-setosa
0,'\'(4.66-5.02]\'',-1.280118,3.1,Iris-setosa
0.041667,'\'(4.66-5.02]\'',-1.450146,3.2,Iris-setosa
0.041667,'\'(5.38-5.74]\'',-1.39347,3.5,Iris-setosa
0,'\'(4.66-5.02]\'',-1.280118,3.1,Iris-setosa
0.041667,'\'(-inf-4.66]\'',-1.39347,3,Iris-setosa
0.041667,'\'(5.02-5.38]\'',-1.280118,3.4,Iris-setosa
0.083333,'\'(4.66-5.02]\'',-1.39347,3.5,Iris-setosa
0.083333,'\'(-inf-4.66]\'',-1.39347,2.3,Iris-setosa
