@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.301767,'\'(5.02-5.38]\'',-1.336794,3.5,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',-1.336794,3,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',-1.39347,3.2,Iris-setosa
-1.301767,'\'(-inf-4.66]\'',-1.280118,3.1,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',-1.336794,3.6,Iris-setosa
-1.039831,'\'(5.38-5.74]\'',-1.166767,3.9,Iris-setosa
-1.170799,'\'(-inf-4.66]\'',-1.336794,3.4,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',-1.280118,3.4,Iris-setosa
-1.301767,'\'(-inf-4.66]\'',-1.336794,2.9,Iris-setosa
-1.432734,'\'(4.66-5.02]\'',-1.280118,3.1,Iris-setosa
-1.301767,'\'(5.38-5.74]\'',-1.280118,3.7,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',-1.223442,3.4,Iris-setosa
-1.432734,'\'(4.66-5.02]\'',-1.336794,3,Iris-setosa
-1.432734,'\'(-inf-4.66]\'',-1.506822,3,Iris-setosa
-1.301767,'\'(5.74-6.1]\'',-1.450146,4,Iris-setosa
-1.039831,'\'(5.38-5.74]\'',-1.280118,4.4,Iris-setosa
-1.039831,'\'(5.38-5.74]\'',-1.39347,3.9,Iris-setosa
-1.170799,'\'(5.02-5.38]\'',-1.336794,3.5,Iris-setosa
-1.170799,'\'(5.38-5.74]\'',-1.166767,3.8,Iris-setosa
-1.170799,'\'(5.02-5.38]\'',-1.280118,3.8,Iris-setosa
-1.301767,'\'(5.38-5.74]\'',-1.166767,3.4,Iris-setosa
-1.039831,'\'(5.02-5.38]\'',-1.280118,3.7,Iris-setosa
-1.301767,'\'(-inf-4.66]\'',-1.563497,3.6,Iris-setosa
-0.908863,'\'(5.02-5.38]\'',-1.166767,3.3,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',-1.053415,3.4,Iris-setosa
