@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.301767,'\'(5.05-5.35]\'',0.067797,3.5,Iris-setosa
-1.301767,'\'(4.85-5.05]\'',0.067797,3,Iris-setosa
-1.301767,'\'(-inf-4.85]\'',0.050847,3.2,Iris-setosa
-1.301767,'\'(-inf-4.85]\'',0.084746,3.1,Iris-setosa
-1.301767,'\'(4.85-5.05]\'',0.067797,3.6,Iris-setosa
-1.039831,'\'(5.35-5.55]\'',0.118644,3.9,Iris-setosa
-1.170799,'\'(-inf-4.85]\'',0.067797,3.4,Iris-setosa
-1.301767,'\'(4.85-5.05]\'',0.084746,3.4,Iris-setosa
-1.301767,'\'(-inf-4.85]\'',0.067797,2.9,Iris-setosa
-1.432734,'\'(4.85-5.05]\'',0.084746,3.1,Iris-setosa
-1.301767,'\'(5.35-5.55]\'',0.084746,3.7,Iris-setosa
-1.301767,'\'(-inf-4.85]\'',0.101695,3.4,Iris-setosa
-1.432734,'\'(-inf-4.85]\'',0.067797,3,Iris-setosa
-1.432734,'\'(-inf-4.85]\'',0.016949,3,Iris-setosa
-1.301767,'\'(5.75-6.05]\'',0.033898,4,Iris-setosa
-1.039831,'\'(5.55-5.75]\'',0.084746,4.4,Iris-setosa
-1.039831,'\'(5.35-5.55]\'',0.050847,3.9,Iris-setosa
-1.170799,'\'(5.05-5.35]\'',0.067797,3.5,Iris-setosa
-1.170799,'\'(5.55-5.75]\'',0.118644,3.8,Iris-setosa
-1.170799,'\'(5.05-5.35]\'',0.084746,3.8,Iris-setosa
-1.301767,'\'(5.35-5.55]\'',0.118644,3.4,Iris-setosa
-1.039831,'\'(5.05-5.35]\'',0.084746,3.7,Iris-setosa
-1.301767,'\'(-inf-4.85]\'',0,3.6,Iris-setosa
-0.908863,'\'(5.05-5.35]\'',0.118644,3.3,Iris-setosa
-1.301767,'\'(-inf-4.85]\'',0.152542,3.4,Iris-setosa
-1.301767,'\'(4.85-5.05]\'',0.101695,3,Iris-setosa
-1.039831,'\'(4.85-5.05]\'',0.101695,3.4,Iris-setosa
-1.301767,'\'(5.05-5.35]\'',0.084746,3.5,Iris-setosa
-1.301767,'\'(5.05-5.35]\'',0.067797,3.4,Iris-setosa
-1.301767,'\'(-inf-4.85]\'',0.101695,3.2,Iris-setosa
-1.301767,'\'(-inf-4.85]\'',0.101695,3.1,Iris-setosa
-1.039831,'\'(5.35-5.55]\'',0.084746,3.4,Iris-setosa
-1.432734,'\'(5.05-5.35]\'',0.084746,4.1,Iris-setosa
-1.301767,'\'(5.35-5.55]\'',0.067797,4.2,Iris-setosa
-1.432734,'\'(4.85-5.05]\'',0.084746,3.1,Iris-setosa
-1.301767,'\'(4.85-5.05]\'',0.033898,3.2,Iris-setosa
-1.301767,'\'(5.35-5.55]\'',0.050847,3.5,Iris-setosa
-1.432734,'\'(4.85-5.05]\'',0.084746,3.1,Iris-setosa
-1.301767,'\'(-inf-4.85]\'',0.050847,3,Iris-setosa
-1.301767,'\'(5.05-5.35]\'',0.084746,3.4,Iris-setosa
-1.170799,'\'(4.85-5.05]\'',0.050847,3.5,Iris-setosa
-1.170799,'\'(-inf-4.85]\'',0.050847,2.3,Iris-setosa
-1.301767,'\'(-inf-4.85]\'',0.050847,3.2,Iris-setosa
-0.777896,'\'(4.85-5.05]\'',0.101695,3.5,Iris-setosa
-1.039831,'\'(5.05-5.35]\'',0.152542,3.8,Iris-setosa
-1.170799,'\'(-inf-4.85]\'',0.067797,3,Iris-setosa
-1.301767,'\'(5.05-5.35]\'',0.101695,3.8,Iris-setosa
-1.301767,'\'(-inf-4.85]\'',0.067797,3.2,Iris-setosa
-1.301767,'\'(5.05-5.35]\'',0.084746,3.7,Iris-setosa
-1.301767,'\'(4.85-5.05]\'',0.067797,3.3,Iris-setosa
0.269846,'\'(6.95-inf)\'',0.627119,3.2,Iris-versicolor
0.400814,'\'(6.35-6.65]\'',0.59322,3.2,Iris-versicolor
0.400814,'\'(6.65-6.95]\'',0.661017,3.1,Iris-versicolor
0.138879,'\'(5.35-5.55]\'',0.508475,2.3,Iris-versicolor
0.400814,'\'(6.35-6.65]\'',0.610169,2.8,Iris-versicolor
0.138879,'\'(5.55-5.75]\'',0.59322,2.8,Iris-versicolor
0.531782,'\'(6.05-6.35]\'',0.627119,3.3,Iris-versicolor
-0.254025,'\'(4.85-5.05]\'',0.389831,2.4,Iris-versicolor
0.138879,'\'(6.35-6.65]\'',0.610169,2.9,Iris-versicolor
0.269846,'\'(5.05-5.35]\'',0.491525,2.7,Iris-versicolor
-0.254025,'\'(4.85-5.05]\'',0.423729,2,Iris-versicolor
0.400814,'\'(5.75-6.05]\'',0.542373,3,Iris-versicolor
-0.254025,'\'(5.75-6.05]\'',0.508475,2.2,Iris-versicolor
0.269846,'\'(6.05-6.35]\'',0.627119,2.9,Iris-versicolor
0.138879,'\'(5.55-5.75]\'',0.440678,2.9,Iris-versicolor
0.269846,'\'(6.65-6.95]\'',0.576271,3.1,Iris-versicolor
0.400814,'\'(5.55-5.75]\'',0.59322,3,Iris-versicolor
-0.254025,'\'(5.75-6.05]\'',0.525424,2.7,Iris-versicolor
0.400814,'\'(6.05-6.35]\'',0.59322,2.2,Iris-versicolor
-0.123057,'\'(5.55-5.75]\'',0.491525,2.5,Iris-versicolor
0.793717,'\'(5.75-6.05]\'',0.644068,3.2,Iris-versicolor
0.138879,'\'(6.05-6.35]\'',0.508475,2.8,Iris-versicolor
