@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.34]\'',0.222222,'\'(-inf-1.59]\'',3.5,Iris-setosa
'\'(-inf-0.34]\'',0.166667,'\'(-inf-1.59]\'',3,Iris-setosa
'\'(-inf-0.34]\'',0.111111,'\'(-inf-1.59]\'',3.2,Iris-setosa
'\'(-inf-0.34]\'',0.083333,'\'(-inf-1.59]\'',3.1,Iris-setosa
'\'(-inf-0.34]\'',0.194444,'\'(-inf-1.59]\'',3.6,Iris-setosa
'\'(0.34-0.58]\'',0.305556,'\'(1.59-2.18]\'',3.9,Iris-setosa
'\'(-inf-0.34]\'',0.083333,'\'(-inf-1.59]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',0.194444,'\'(-inf-1.59]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',0.027778,'\'(-inf-1.59]\'',2.9,Iris-setosa
'\'(-inf-0.34]\'',0.166667,'\'(-inf-1.59]\'',3.1,Iris-setosa
'\'(-inf-0.34]\'',0.305556,'\'(-inf-1.59]\'',3.7,Iris-setosa
'\'(-inf-0.34]\'',0.138889,'\'(1.59-2.18]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',0.138889,'\'(-inf-1.59]\'',3,Iris-setosa
'\'(-inf-0.34]\'',0,'\'(-inf-1.59]\'',3,Iris-setosa
'\'(-inf-0.34]\'',0.416667,'\'(-inf-1.59]\'',4,Iris-setosa
'\'(0.34-0.58]\'',0.388889,'\'(-inf-1.59]\'',4.4,Iris-setosa
'\'(0.34-0.58]\'',0.305556,'\'(-inf-1.59]\'',3.9,Iris-setosa
'\'(-inf-0.34]\'',0.222222,'\'(-inf-1.59]\'',3.5,Iris-setosa
'\'(-inf-0.34]\'',0.388889,'\'(1.59-2.18]\'',3.8,Iris-setosa
'\'(-inf-0.34]\'',0.222222,'\'(-inf-1.59]\'',3.8,Iris-setosa
'\'(-inf-0.34]\'',0.305556,'\'(1.59-2.18]\'',3.4,Iris-setosa
'\'(0.34-0.58]\'',0.222222,'\'(-inf-1.59]\'',3.7,Iris-setosa
'\'(-inf-0.34]\'',0.083333,'\'(-inf-1.59]\'',3.6,Iris-setosa
'\'(0.34-0.58]\'',0.222222,'\'(1.59-2.18]\'',3.3,Iris-setosa
'\'(-inf-0.34]\'',0.138889,'\'(1.59-2.18]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',0.194444,'\'(1.59-2.18]\'',3,Iris-setosa
'\'(0.34-0.58]\'',0.194444,'\'(1.59-2.18]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',0.25,'\'(-inf-1.59]\'',3.5,Iris-setosa
'\'(-inf-0.34]\'',0.25,'\'(-inf-1.59]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',0.111111,'\'(1.59-2.18]\'',3.2,Iris-setosa
'\'(-inf-0.34]\'',0.138889,'\'(1.59-2.18]\'',3.1,Iris-setosa
