@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2'

@attribute 'filtered-0-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.87971,'\'(1.35-1.45]\'',3.5,0.2,Iris-setosa
-1.120076,'\'(1.35-1.45]\'',3,0.2,Iris-setosa
-1.360443,'\'(-inf-1.35]\'',3.2,0.2,Iris-setosa
-1.480626,'\'(1.45-1.55]\'',3.1,0.2,Iris-setosa
-0.999893,'\'(1.35-1.45]\'',3.6,0.2,Iris-setosa
-0.519159,'\'(1.55-3.4]\'',3.9,0.4,Iris-setosa
-1.480626,'\'(1.35-1.45]\'',3.4,0.3,Iris-setosa
-0.999893,'\'(1.45-1.55]\'',3.4,0.2,Iris-setosa
-1.720993,'\'(1.35-1.45]\'',2.9,0.2,Iris-setosa
-1.120076,'\'(1.45-1.55]\'',3.1,0.1,Iris-setosa
-0.519159,'\'(1.45-1.55]\'',3.7,0.2,Iris-setosa
-1.24026,'\'(1.55-3.4]\'',3.4,0.2,Iris-setosa
-1.24026,'\'(1.35-1.45]\'',3,0.1,Iris-setosa
-1.841177,'\'(-inf-1.35]\'',3,0.1,Iris-setosa
-0.038426,'\'(-inf-1.35]\'',4,0.2,Iris-setosa
-0.158609,'\'(1.45-1.55]\'',4.4,0.4,Iris-setosa
-0.519159,'\'(-inf-1.35]\'',3.9,0.4,Iris-setosa
-0.87971,'\'(1.35-1.45]\'',3.5,0.3,Iris-setosa
-0.158609,'\'(1.55-3.4]\'',3.8,0.3,Iris-setosa
-0.87971,'\'(1.45-1.55]\'',3.8,0.3,Iris-setosa
-0.519159,'\'(1.55-3.4]\'',3.4,0.2,Iris-setosa
-0.87971,'\'(1.45-1.55]\'',3.7,0.4,Iris-setosa
-1.480626,'\'(-inf-1.35]\'',3.6,0.2,Iris-setosa
-0.87971,'\'(1.55-3.4]\'',3.3,0.5,Iris-setosa
-1.24026,'\'(1.55-3.4]\'',3.4,0.2,Iris-setosa
-0.999893,'\'(1.55-3.4]\'',3,0.2,Iris-setosa
-0.999893,'\'(1.55-3.4]\'',3.4,0.4,Iris-setosa
-0.759526,'\'(1.45-1.55]\'',3.5,0.2,Iris-setosa
-0.759526,'\'(1.35-1.45]\'',3.4,0.2,Iris-setosa
-1.360443,'\'(1.55-3.4]\'',3.2,0.2,Iris-setosa
-1.24026,'\'(1.55-3.4]\'',3.1,0.2,Iris-setosa
-0.519159,'\'(1.45-1.55]\'',3.4,0.4,Iris-setosa
-0.759526,'\'(1.45-1.55]\'',4.1,0.1,Iris-setosa
-0.398976,'\'(1.35-1.45]\'',4.2,0.2,Iris-setosa
-1.120076,'\'(1.45-1.55]\'',3.1,0.1,Iris-setosa
-0.999893,'\'(-inf-1.35]\'',3.2,0.2,Iris-setosa
-0.398976,'\'(-inf-1.35]\'',3.5,0.2,Iris-setosa
-1.120076,'\'(1.45-1.55]\'',3.1,0.1,Iris-setosa
-1.720993,'\'(-inf-1.35]\'',3,0.2,Iris-setosa
-0.87971,'\'(1.45-1.55]\'',3.4,0.2,Iris-setosa
-0.999893,'\'(-inf-1.35]\'',3.5,0.3,Iris-setosa
-1.60081,'\'(-inf-1.35]\'',2.3,0.3,Iris-setosa
-1.720993,'\'(-inf-1.35]\'',3.2,0.2,Iris-setosa
-0.999893,'\'(1.55-3.4]\'',3.5,0.6,Iris-setosa
-0.87971,'\'(1.55-3.4]\'',3.8,0.4,Iris-setosa
-1.24026,'\'(1.35-1.45]\'',3,0.3,Iris-setosa
-0.87971,'\'(1.55-3.4]\'',3.8,0.2,Iris-setosa
-1.480626,'\'(1.35-1.45]\'',3.2,0.2,Iris-setosa
-0.639343,'\'(1.45-1.55]\'',3.7,0.2,Iris-setosa
-0.999893,'\'(1.35-1.45]\'',3.3,0.2,Iris-setosa
1.403775,'\'(4.55-4.95]\'',3.2,1.4,Iris-versicolor
0.682674,'\'(4.15-4.55]\'',3.2,1.5,Iris-versicolor
1.283591,'\'(4.55-4.95]\'',3.1,1.5,Iris-versicolor
-0.398976,'\'(3.4-4.15]\'',2.3,1.3,Iris-versicolor
0.802858,'\'(4.55-4.95]\'',2.8,1.5,Iris-versicolor
-0.158609,'\'(4.15-4.55]\'',2.8,1.3,Iris-versicolor
0.562491,'\'(4.55-4.95]\'',3.3,1.6,Iris-versicolor
-1.120076,'\'(1.55-3.4]\'',2.4,1,Iris-versicolor
0.923041,'\'(4.55-4.95]\'',2.9,1.3,Iris-versicolor
-0.759526,'\'(3.4-4.15]\'',2.7,1.4,Iris-versicolor
-0.999893,'\'(3.4-4.15]\'',2,1,Iris-versicolor
0.081757,'\'(4.15-4.55]\'',3,1.5,Iris-versicolor
0.201941,'\'(3.4-4.15]\'',2.2,1,Iris-versicolor
0.322124,'\'(4.55-4.95]\'',2.9,1.4,Iris-versicolor
-0.278793,'\'(3.4-4.15]\'',2.9,1.3,Iris-versicolor
1.043224,'\'(4.15-4.55]\'',3.1,1.4,Iris-versicolor
-0.278793,'\'(4.15-4.55]\'',3,1.5,Iris-versicolor
-0.038426,'\'(3.4-4.15]\'',2.7,1,Iris-versicolor
