@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,'\'(5.05-5.35]\'',-1.336794,3.5,Iris-setosa
0.041667,'\'(4.85-5.05]\'',-1.336794,3,Iris-setosa
0.041667,'\'(-inf-4.85]\'',-1.39347,3.2,Iris-setosa
0.041667,'\'(-inf-4.85]\'',-1.280118,3.1,Iris-setosa
0.041667,'\'(4.85-5.05]\'',-1.336794,3.6,Iris-setosa
0.125,'\'(5.35-5.55]\'',-1.166767,3.9,Iris-setosa
0.083333,'\'(-inf-4.85]\'',-1.336794,3.4,Iris-setosa
0.041667,'\'(4.85-5.05]\'',-1.280118,3.4,Iris-setosa
0.041667,'\'(-inf-4.85]\'',-1.336794,2.9,Iris-setosa
0,'\'(4.85-5.05]\'',-1.280118,3.1,Iris-setosa
0.041667,'\'(5.35-5.55]\'',-1.280118,3.7,Iris-setosa
0.041667,'\'(-inf-4.85]\'',-1.223442,3.4,Iris-setosa
0,'\'(-inf-4.85]\'',-1.336794,3,Iris-setosa
0,'\'(-inf-4.85]\'',-1.506822,3,Iris-setosa
0.041667,'\'(5.75-6.05]\'',-1.450146,4,Iris-setosa
0.125,'\'(5.55-5.75]\'',-1.280118,4.4,Iris-setosa
0.125,'\'(5.35-5.55]\'',-1.39347,3.9,Iris-setosa
