@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,'\'(5.02-5.38]\'','\'(1.35-1.45]\'',3.5,Iris-setosa
0.041667,'\'(4.66-5.02]\'','\'(1.35-1.45]\'',3,Iris-setosa
0.041667,'\'(4.66-5.02]\'','\'(-inf-1.35]\'',3.2,Iris-setosa
0.041667,'\'(-inf-4.66]\'','\'(1.45-1.55]\'',3.1,Iris-setosa
0.041667,'\'(4.66-5.02]\'','\'(1.35-1.45]\'',3.6,Iris-setosa
0.125,'\'(5.38-5.74]\'','\'(1.55-3.4]\'',3.9,Iris-setosa
0.083333,'\'(-inf-4.66]\'','\'(1.35-1.45]\'',3.4,Iris-setosa
0.041667,'\'(4.66-5.02]\'','\'(1.45-1.55]\'',3.4,Iris-setosa
0.041667,'\'(-inf-4.66]\'','\'(1.35-1.45]\'',2.9,Iris-setosa
0,'\'(4.66-5.02]\'','\'(1.45-1.55]\'',3.1,Iris-setosa
0.041667,'\'(5.38-5.74]\'','\'(1.45-1.55]\'',3.7,Iris-setosa
0.041667,'\'(4.66-5.02]\'','\'(1.55-3.4]\'',3.4,Iris-setosa
0,'\'(4.66-5.02]\'','\'(1.35-1.45]\'',3,Iris-setosa
0,'\'(-inf-4.66]\'','\'(-inf-1.35]\'',3,Iris-setosa
0.041667,'\'(5.74-6.1]\'','\'(-inf-1.35]\'',4,Iris-setosa
0.125,'\'(5.38-5.74]\'','\'(1.45-1.55]\'',4.4,Iris-setosa
0.125,'\'(5.38-5.74]\'','\'(-inf-1.35]\'',3.9,Iris-setosa
0.083333,'\'(5.02-5.38]\'','\'(1.35-1.45]\'',3.5,Iris-setosa
0.083333,'\'(5.38-5.74]\'','\'(1.55-3.4]\'',3.8,Iris-setosa
0.083333,'\'(5.02-5.38]\'','\'(1.45-1.55]\'',3.8,Iris-setosa
0.041667,'\'(5.38-5.74]\'','\'(1.55-3.4]\'',3.4,Iris-setosa
0.125,'\'(5.02-5.38]\'','\'(1.45-1.55]\'',3.7,Iris-setosa
0.041667,'\'(-inf-4.66]\'','\'(-inf-1.35]\'',3.6,Iris-setosa
0.166667,'\'(5.02-5.38]\'','\'(1.55-3.4]\'',3.3,Iris-setosa
0.041667,'\'(4.66-5.02]\'','\'(1.55-3.4]\'',3.4,Iris-setosa
0.041667,'\'(4.66-5.02]\'','\'(1.55-3.4]\'',3,Iris-setosa
0.125,'\'(4.66-5.02]\'','\'(1.55-3.4]\'',3.4,Iris-setosa
0.041667,'\'(5.02-5.38]\'','\'(1.45-1.55]\'',3.5,Iris-setosa
0.041667,'\'(5.02-5.38]\'','\'(1.35-1.45]\'',3.4,Iris-setosa
0.041667,'\'(4.66-5.02]\'','\'(1.55-3.4]\'',3.2,Iris-setosa
0.041667,'\'(4.66-5.02]\'','\'(1.55-3.4]\'',3.1,Iris-setosa
0.125,'\'(5.38-5.74]\'','\'(1.45-1.55]\'',3.4,Iris-setosa
0,'\'(5.02-5.38]\'','\'(1.45-1.55]\'',4.1,Iris-setosa
0.041667,'\'(5.38-5.74]\'','\'(1.35-1.45]\'',4.2,Iris-setosa
0,'\'(4.66-5.02]\'','\'(1.45-1.55]\'',3.1,Iris-setosa
