@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.301767,'\'(5.02-5.38]\'',3.5,1.4,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',3,1.4,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',3.2,1.3,Iris-setosa
-1.301767,'\'(-inf-4.66]\'',3.1,1.5,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',3.6,1.4,Iris-setosa
-1.039831,'\'(5.38-5.74]\'',3.9,1.7,Iris-setosa
-1.170799,'\'(-inf-4.66]\'',3.4,1.4,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',3.4,1.5,Iris-setosa
-1.301767,'\'(-inf-4.66]\'',2.9,1.4,Iris-setosa
-1.432734,'\'(4.66-5.02]\'',3.1,1.5,Iris-setosa
-1.301767,'\'(5.38-5.74]\'',3.7,1.5,Iris-setosa
-1.301767,'\'(4.66-5.02]\'',3.4,1.6,Iris-setosa
-1.432734,'\'(4.66-5.02]\'',3,1.4,Iris-setosa
-1.432734,'\'(-inf-4.66]\'',3,1.1,Iris-setosa
-1.301767,'\'(5.74-6.1]\'',4,1.2,Iris-setosa
-1.039831,'\'(5.38-5.74]\'',4.4,1.5,Iris-setosa
-1.039831,'\'(5.38-5.74]\'',3.9,1.3,Iris-setosa
-1.170799,'\'(5.02-5.38]\'',3.5,1.4,Iris-setosa
-1.170799,'\'(5.38-5.74]\'',3.8,1.7,Iris-setosa
