@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.301767,-0.87971,3.5,1.4,Iris-setosa
-1.301767,-1.120076,3,1.4,Iris-setosa
-1.301767,-1.360443,3.2,1.3,Iris-setosa
-1.301767,-1.480626,3.1,1.5,Iris-setosa
-1.301767,-0.999893,3.6,1.4,Iris-setosa
-1.039831,-0.519159,3.9,1.7,Iris-setosa
-1.170799,-1.480626,3.4,1.4,Iris-setosa
-1.301767,-0.999893,3.4,1.5,Iris-setosa
-1.301767,-1.720993,2.9,1.4,Iris-setosa
-1.432734,-1.120076,3.1,1.5,Iris-setosa
-1.301767,-0.519159,3.7,1.5,Iris-setosa
-1.301767,-1.24026,3.4,1.6,Iris-setosa
-1.432734,-1.24026,3,1.4,Iris-setosa
-1.432734,-1.841177,3,1.1,Iris-setosa
-1.301767,-0.038426,4,1.2,Iris-setosa
-1.039831,-0.158609,4.4,1.5,Iris-setosa
-1.039831,-0.519159,3.9,1.3,Iris-setosa
-1.170799,-0.87971,3.5,1.4,Iris-setosa
-1.170799,-0.158609,3.8,1.7,Iris-setosa
-1.170799,-0.87971,3.8,1.5,Iris-setosa
-1.301767,-0.519159,3.4,1.7,Iris-setosa
-1.039831,-0.87971,3.7,1.5,Iris-setosa
-1.301767,-1.480626,3.6,1,Iris-setosa
-0.908863,-0.87971,3.3,1.7,Iris-setosa
-1.301767,-1.24026,3.4,1.9,Iris-setosa
-1.301767,-0.999893,3,1.6,Iris-setosa
-1.039831,-0.999893,3.4,1.6,Iris-setosa
-1.301767,-0.759526,3.5,1.5,Iris-setosa
-1.301767,-0.759526,3.4,1.4,Iris-setosa
-1.301767,-1.360443,3.2,1.6,Iris-setosa
-1.301767,-1.24026,3.1,1.6,Iris-setosa
-1.039831,-0.519159,3.4,1.5,Iris-setosa
-1.432734,-0.759526,4.1,1.5,Iris-setosa
-1.301767,-0.398976,4.2,1.4,Iris-setosa
-1.432734,-1.120076,3.1,1.5,Iris-setosa
-1.301767,-0.999893,3.2,1.2,Iris-setosa
-1.301767,-0.398976,3.5,1.3,Iris-setosa
