@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,'\'(-inf-0.1]\'',1.028611,5.1,Iris-setosa
0.041667,'\'(-inf-0.1]\'',-0.12454,4.9,Iris-setosa
0.041667,'\'(-inf-0.1]\'',0.33672,4.7,Iris-setosa
0.041667,'\'(-inf-0.1]\'',0.10609,4.6,Iris-setosa
0.041667,'\'(-inf-0.1]\'',1.259242,5,Iris-setosa
0.125,'\'(0.1-0.2]\'',1.951133,5.4,Iris-setosa
0.083333,'\'(-inf-0.1]\'',0.797981,4.6,Iris-setosa
0.041667,'\'(-inf-0.1]\'',0.797981,5,Iris-setosa
0.041667,'\'(-inf-0.1]\'',-0.355171,4.4,Iris-setosa
0,'\'(-inf-0.1]\'',0.10609,4.9,Iris-setosa
0.041667,'\'(-inf-0.1]\'',1.489872,5.4,Iris-setosa
0.041667,'\'(0.1-0.2]\'',0.797981,4.8,Iris-setosa
0,'\'(-inf-0.1]\'',-0.12454,4.8,Iris-setosa
0,'\'(-inf-0.1]\'',-0.12454,4.3,Iris-setosa
0.041667,'\'(-inf-0.1]\'',2.181763,5.8,Iris-setosa
0.125,'\'(-inf-0.1]\'',3.104284,5.7,Iris-setosa
0.125,'\'(-inf-0.1]\'',1.951133,5.4,Iris-setosa
0.083333,'\'(-inf-0.1]\'',1.028611,5.1,Iris-setosa
0.083333,'\'(0.1-0.2]\'',1.720502,5.7,Iris-setosa
0.083333,'\'(-inf-0.1]\'',1.720502,5.1,Iris-setosa
0.041667,'\'(0.1-0.2]\'',0.797981,5.4,Iris-setosa
0.125,'\'(-inf-0.1]\'',1.489872,5.1,Iris-setosa
0.041667,'\'(-inf-0.1]\'',1.259242,4.6,Iris-setosa
0.166667,'\'(0.1-0.2]\'',0.567351,5.1,Iris-setosa
0.041667,'\'(0.1-0.2]\'',0.797981,4.8,Iris-setosa
0.041667,'\'(0.1-0.2]\'',-0.12454,5,Iris-setosa
0.125,'\'(0.1-0.2]\'',0.797981,5,Iris-setosa
0.041667,'\'(-inf-0.1]\'',1.028611,5.2,Iris-setosa
0.041667,'\'(-inf-0.1]\'',0.797981,5.2,Iris-setosa
0.041667,'\'(0.1-0.2]\'',0.33672,4.7,Iris-setosa
0.041667,'\'(0.1-0.2]\'',0.10609,4.8,Iris-setosa
0.125,'\'(-inf-0.1]\'',0.797981,5.4,Iris-setosa
0,'\'(-inf-0.1]\'',2.412393,5.2,Iris-setosa
0.041667,'\'(-inf-0.1]\'',2.643024,5.5,Iris-setosa
0,'\'(-inf-0.1]\'',0.10609,4.9,Iris-setosa
0.041667,'\'(-inf-0.1]\'',0.33672,5,Iris-setosa
0.041667,'\'(-inf-0.1]\'',1.028611,5.5,Iris-setosa
0,'\'(-inf-0.1]\'',0.10609,4.9,Iris-setosa
0.041667,'\'(-inf-0.1]\'',-0.12454,4.4,Iris-setosa
0.041667,'\'(-inf-0.1]\'',0.797981,5.1,Iris-setosa
0.083333,'\'(-inf-0.1]\'',1.028611,5,Iris-setosa
0.083333,'\'(-inf-0.1]\'',-1.738953,4.5,Iris-setosa
0.041667,'\'(-inf-0.1]\'',0.33672,4.4,Iris-setosa
0.208333,'\'(0.1-0.2]\'',1.028611,5,Iris-setosa
0.125,'\'(0.1-0.2]\'',1.720502,5.1,Iris-setosa
0.083333,'\'(-inf-0.1]\'',-0.12454,4.8,Iris-setosa
0.041667,'\'(0.1-0.2]\'',1.720502,5.1,Iris-setosa
0.041667,'\'(-inf-0.1]\'',0.33672,4.6,Iris-setosa
0.041667,'\'(-inf-0.1]\'',1.489872,5.3,Iris-setosa
0.041667,'\'(-inf-0.1]\'',0.567351,5,Iris-setosa
0.541667,'\'(0.6-0.7]\'',0.33672,7,Iris-versicolor
0.583333,'\'(0.5-0.6]\'',0.33672,6.4,Iris-versicolor
0.583333,'\'(0.6-0.7]\'',0.10609,6.9,Iris-versicolor
0.5,'\'(0.5-0.6]\'',-1.738953,5.5,Iris-versicolor
0.583333,'\'(0.6-0.7]\'',-0.585801,6.5,Iris-versicolor
0.5,'\'(0.5-0.6]\'',-0.585801,5.7,Iris-versicolor
0.625,'\'(0.6-0.7]\'',0.567351,6.3,Iris-versicolor
0.375,'\'(0.3-0.4]\'',-1.508322,4.9,Iris-versicolor
0.5,'\'(0.6-0.7]\'',-0.355171,6.6,Iris-versicolor
0.541667,'\'(0.4-0.5]\'',-0.816431,5.2,Iris-versicolor
0.375,'\'(0.4-0.5]\'',-2.430844,5,Iris-versicolor
0.583333,'\'(0.5-0.6]\'',-0.12454,5.9,Iris-versicolor
0.375,'\'(0.5-0.6]\'',-1.969583,6,Iris-versicolor
0.541667,'\'(0.6-0.7]\'',-0.355171,6.1,Iris-versicolor
0.5,'\'(0.4-0.5]\'',-0.355171,5.6,Iris-versicolor
0.541667,'\'(0.5-0.6]\'',0.10609,6.7,Iris-versicolor
0.583333,'\'(0.5-0.6]\'',-0.12454,5.6,Iris-versicolor
0.375,'\'(0.5-0.6]\'',-0.816431,5.8,Iris-versicolor
0.583333,'\'(0.5-0.6]\'',-1.969583,6.2,Iris-versicolor
0.416667,'\'(0.4-0.5]\'',-1.277692,5.6,Iris-versicolor
0.708333,'\'(0.6-0.7]\'',0.33672,5.9,Iris-versicolor
0.5,'\'(0.5-0.6]\'',-0.585801,6.1,Iris-versicolor
0.583333,'\'(0.6-0.7]\'',-1.277692,6.3,Iris-versicolor
0.458333,'\'(0.6-0.7]\'',-0.585801,6.1,Iris-versicolor
0.5,'\'(0.5-0.6]\'',-0.355171,6.4,Iris-versicolor
0.541667,'\'(0.5-0.6]\'',-0.12454,6.6,Iris-versicolor
0.541667,'\'(0.6-0.7]\'',-0.585801,6.8,Iris-versicolor
0.666667,'\'(0.6-0.7]\'',-0.12454,6.7,Iris-versicolor
0.583333,'\'(0.5-0.6]\'',-0.355171,6,Iris-versicolor
0.375,'\'(0.4-0.5]\'',-1.047062,5.7,Iris-versicolor
0.416667,'\'(0.4-0.5]\'',-1.508322,5.5,Iris-versicolor
0.375,'\'(0.4-0.5]\'',-1.508322,5.5,Iris-versicolor
0.458333,'\'(0.4-0.5]\'',-0.816431,5.8,Iris-versicolor
0.625,'\'(0.6-0.7]\'',-0.816431,6,Iris-versicolor
0.583333,'\'(0.5-0.6]\'',-0.12454,5.4,Iris-versicolor
0.625,'\'(0.5-0.6]\'',0.797981,6,Iris-versicolor
0.583333,'\'(0.6-0.7]\'',0.10609,6.7,Iris-versicolor
0.5,'\'(0.5-0.6]\'',-1.738953,6.3,Iris-versicolor
0.5,'\'(0.5-0.6]\'',-0.12454,5.6,Iris-versicolor
0.5,'\'(0.5-0.6]\'',-1.277692,5.5,Iris-versicolor
0.458333,'\'(0.5-0.6]\'',-1.047062,5.5,Iris-versicolor
0.541667,'\'(0.6-0.7]\'',-0.12454,6.1,Iris-versicolor
0.458333,'\'(0.5-0.6]\'',-1.047062,5.8,Iris-versicolor
0.375,'\'(0.3-0.4]\'',-1.738953,5,Iris-versicolor
0.5,'\'(0.5-0.6]\'',-0.816431,5.6,Iris-versicolor
0.458333,'\'(0.5-0.6]\'',-0.12454,5.7,Iris-versicolor
0.5,'\'(0.5-0.6]\'',-0.355171,5.7,Iris-versicolor
0.5,'\'(0.5-0.6]\'',-0.355171,6.2,Iris-versicolor
0.416667,'\'(0.3-0.4]\'',-1.277692,5.1,Iris-versicolor
0.5,'\'(0.5-0.6]\'',-0.585801,5.7,Iris-versicolor
1,'\'(0.8-0.9]\'',0.567351,6.3,Iris-virginica
0.75,'\'(0.6-0.7]\'',-0.816431,5.8,Iris-virginica
0.833333,'\'(0.8-0.9]\'',-0.12454,7.1,Iris-virginica
0.708333,'\'(0.7-0.8]\'',-0.355171,6.3,Iris-virginica
0.875,'\'(0.8-0.9]\'',-0.12454,6.5,Iris-virginica
