@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,-1.336794,1.028611,5.1,Iris-setosa
0.041667,-1.336794,-0.12454,4.9,Iris-setosa
0.041667,-1.39347,0.33672,4.7,Iris-setosa
0.041667,-1.280118,0.10609,4.6,Iris-setosa
0.041667,-1.336794,1.259242,5,Iris-setosa
0.125,-1.166767,1.951133,5.4,Iris-setosa
0.083333,-1.336794,0.797981,4.6,Iris-setosa
0.041667,-1.280118,0.797981,5,Iris-setosa
0.041667,-1.336794,-0.355171,4.4,Iris-setosa
0,-1.280118,0.10609,4.9,Iris-setosa
0.041667,-1.280118,1.489872,5.4,Iris-setosa
0.041667,-1.223442,0.797981,4.8,Iris-setosa
0,-1.336794,-0.12454,4.8,Iris-setosa
0,-1.506822,-0.12454,4.3,Iris-setosa
0.041667,-1.450146,2.181763,5.8,Iris-setosa
0.125,-1.280118,3.104284,5.7,Iris-setosa
0.125,-1.39347,1.951133,5.4,Iris-setosa
0.083333,-1.336794,1.028611,5.1,Iris-setosa
0.083333,-1.166767,1.720502,5.7,Iris-setosa
0.083333,-1.280118,1.720502,5.1,Iris-setosa
0.041667,-1.166767,0.797981,5.4,Iris-setosa
0.125,-1.280118,1.489872,5.1,Iris-setosa
0.041667,-1.563497,1.259242,4.6,Iris-setosa
0.166667,-1.166767,0.567351,5.1,Iris-setosa
0.041667,-1.053415,0.797981,4.8,Iris-setosa
0.041667,-1.223442,-0.12454,5,Iris-setosa
0.125,-1.223442,0.797981,5,Iris-setosa
0.041667,-1.280118,1.028611,5.2,Iris-setosa
0.041667,-1.336794,0.797981,5.2,Iris-setosa
0.041667,-1.223442,0.33672,4.7,Iris-setosa
0.041667,-1.223442,0.10609,4.8,Iris-setosa
0.125,-1.280118,0.797981,5.4,Iris-setosa
0,-1.280118,2.412393,5.2,Iris-setosa
0.041667,-1.336794,2.643024,5.5,Iris-setosa
0,-1.280118,0.10609,4.9,Iris-setosa
0.041667,-1.450146,0.33672,5,Iris-setosa
0.041667,-1.39347,1.028611,5.5,Iris-setosa
0,-1.280118,0.10609,4.9,Iris-setosa
0.041667,-1.39347,-0.12454,4.4,Iris-setosa
0.041667,-1.280118,0.797981,5.1,Iris-setosa
0.083333,-1.39347,1.028611,5,Iris-setosa
0.083333,-1.39347,-1.738953,4.5,Iris-setosa
0.041667,-1.39347,0.33672,4.4,Iris-setosa
0.208333,-1.223442,1.028611,5,Iris-setosa
0.125,-1.053415,1.720502,5.1,Iris-setosa
0.083333,-1.336794,-0.12454,4.8,Iris-setosa
0.041667,-1.223442,1.720502,5.1,Iris-setosa
0.041667,-1.336794,0.33672,4.6,Iris-setosa
0.041667,-1.280118,1.489872,5.3,Iris-setosa
0.041667,-1.336794,0.567351,5,Iris-setosa
0.541667,0.533509,0.33672,7,Iris-versicolor
0.583333,0.420157,0.33672,6.4,Iris-versicolor
0.583333,0.64686,0.10609,6.9,Iris-versicolor
0.5,0.136778,-1.738953,5.5,Iris-versicolor
0.583333,0.476833,-0.585801,6.5,Iris-versicolor
0.5,0.420157,-0.585801,5.7,Iris-versicolor
