@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf--1.22911]\'','\'(-1.22911--0.894723]\'','\'(-0.894723--0.560335]\'','\'(-0.560335--0.225948]\'','\'(-0.225948-0.10844]\'','\'(0.10844-0.442827]\'','\'(0.442827-0.777215]\'','\'(0.777215-1.111602]\'','\'(1.111602-1.445989]\'','\'(1.445989-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',1.028611,5.1,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',-0.12454,4.9,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',0.33672,4.7,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',0.10609,4.6,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',1.259242,5,Iris-setosa
'\'(0.25-0.55]\'','\'(-1.22911--0.894723]\'',1.951133,5.4,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf--1.22911]\'',0.797981,4.6,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',0.797981,5,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',-0.355171,4.4,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf--1.22911]\'',0.10609,4.9,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',1.489872,5.4,Iris-setosa
'\'(0.15-0.25]\'','\'(-1.22911--0.894723]\'',0.797981,4.8,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf--1.22911]\'',-0.12454,4.8,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf--1.22911]\'',-0.12454,4.3,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',2.181763,5.8,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf--1.22911]\'',3.104284,5.7,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf--1.22911]\'',1.951133,5.4,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf--1.22911]\'',1.028611,5.1,Iris-setosa
'\'(0.25-0.55]\'','\'(-1.22911--0.894723]\'',1.720502,5.7,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf--1.22911]\'',1.720502,5.1,Iris-setosa
'\'(0.15-0.25]\'','\'(-1.22911--0.894723]\'',0.797981,5.4,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf--1.22911]\'',1.489872,5.1,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',1.259242,4.6,Iris-setosa
'\'(0.25-0.55]\'','\'(-1.22911--0.894723]\'',0.567351,5.1,Iris-setosa
'\'(0.15-0.25]\'','\'(-1.22911--0.894723]\'',0.797981,4.8,Iris-setosa
'\'(0.15-0.25]\'','\'(-1.22911--0.894723]\'',-0.12454,5,Iris-setosa
'\'(0.25-0.55]\'','\'(-1.22911--0.894723]\'',0.797981,5,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',1.028611,5.2,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',0.797981,5.2,Iris-setosa
'\'(0.15-0.25]\'','\'(-1.22911--0.894723]\'',0.33672,4.7,Iris-setosa
'\'(0.15-0.25]\'','\'(-1.22911--0.894723]\'',0.10609,4.8,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf--1.22911]\'',0.797981,5.4,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf--1.22911]\'',2.412393,5.2,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',2.643024,5.5,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf--1.22911]\'',0.10609,4.9,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',0.33672,5,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',1.028611,5.5,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf--1.22911]\'',0.10609,4.9,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',-0.12454,4.4,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',0.797981,5.1,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf--1.22911]\'',1.028611,5,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf--1.22911]\'',-1.738953,4.5,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf--1.22911]\'',0.33672,4.4,Iris-setosa
'\'(0.55-1.25]\'','\'(-1.22911--0.894723]\'',1.028611,5,Iris-setosa
'\'(0.25-0.55]\'','\'(-1.22911--0.894723]\'',1.720502,5.1,Iris-setosa
