@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.15-0.25]\'',-1.336794,'\'(3.45-3.75]\'',5.1,Iris-setosa
'\'(0.15-0.25]\'',-1.336794,'\'(2.95-3.05]\'',4.9,Iris-setosa
'\'(0.15-0.25]\'',-1.39347,'\'(3.15-3.25]\'',4.7,Iris-setosa
'\'(0.15-0.25]\'',-1.280118,'\'(3.05-3.15]\'',4.6,Iris-setosa
'\'(0.15-0.25]\'',-1.336794,'\'(3.45-3.75]\'',5,Iris-setosa
'\'(0.25-0.55]\'',-1.166767,'\'(3.75-inf)\'',5.4,Iris-setosa
'\'(0.25-0.55]\'',-1.336794,'\'(3.25-3.45]\'',4.6,Iris-setosa
'\'(0.15-0.25]\'',-1.280118,'\'(3.25-3.45]\'',5,Iris-setosa
'\'(0.15-0.25]\'',-1.336794,'\'(2.85-2.95]\'',4.4,Iris-setosa
'\'(-inf-0.15]\'',-1.280118,'\'(3.05-3.15]\'',4.9,Iris-setosa
'\'(0.15-0.25]\'',-1.280118,'\'(3.45-3.75]\'',5.4,Iris-setosa
'\'(0.15-0.25]\'',-1.223442,'\'(3.25-3.45]\'',4.8,Iris-setosa
'\'(-inf-0.15]\'',-1.336794,'\'(2.95-3.05]\'',4.8,Iris-setosa
'\'(-inf-0.15]\'',-1.506822,'\'(2.95-3.05]\'',4.3,Iris-setosa
'\'(0.15-0.25]\'',-1.450146,'\'(3.75-inf)\'',5.8,Iris-setosa
'\'(0.25-0.55]\'',-1.280118,'\'(3.75-inf)\'',5.7,Iris-setosa
'\'(0.25-0.55]\'',-1.39347,'\'(3.75-inf)\'',5.4,Iris-setosa
'\'(0.25-0.55]\'',-1.336794,'\'(3.45-3.75]\'',5.1,Iris-setosa
'\'(0.25-0.55]\'',-1.166767,'\'(3.75-inf)\'',5.7,Iris-setosa
'\'(0.25-0.55]\'',-1.280118,'\'(3.75-inf)\'',5.1,Iris-setosa
'\'(0.15-0.25]\'',-1.166767,'\'(3.25-3.45]\'',5.4,Iris-setosa
'\'(0.25-0.55]\'',-1.280118,'\'(3.45-3.75]\'',5.1,Iris-setosa
'\'(0.15-0.25]\'',-1.563497,'\'(3.45-3.75]\'',4.6,Iris-setosa
'\'(0.25-0.55]\'',-1.166767,'\'(3.25-3.45]\'',5.1,Iris-setosa
'\'(0.15-0.25]\'',-1.053415,'\'(3.25-3.45]\'',4.8,Iris-setosa
'\'(0.15-0.25]\'',-1.223442,'\'(2.95-3.05]\'',5,Iris-setosa
'\'(0.25-0.55]\'',-1.223442,'\'(3.25-3.45]\'',5,Iris-setosa
'\'(0.15-0.25]\'',-1.280118,'\'(3.45-3.75]\'',5.2,Iris-setosa
'\'(0.15-0.25]\'',-1.336794,'\'(3.25-3.45]\'',5.2,Iris-setosa
'\'(0.15-0.25]\'',-1.223442,'\'(3.15-3.25]\'',4.7,Iris-setosa
