@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,-1.336794,5.1,3.5,Iris-setosa
0.041667,-1.336794,4.9,3,Iris-setosa
0.041667,-1.39347,4.7,3.2,Iris-setosa
0.041667,-1.280118,4.6,3.1,Iris-setosa
0.041667,-1.336794,5,3.6,Iris-setosa
0.125,-1.166767,5.4,3.9,Iris-setosa
0.083333,-1.336794,4.6,3.4,Iris-setosa
0.041667,-1.280118,5,3.4,Iris-setosa
0.041667,-1.336794,4.4,2.9,Iris-setosa
0,-1.280118,4.9,3.1,Iris-setosa
0.041667,-1.280118,5.4,3.7,Iris-setosa
0.041667,-1.223442,4.8,3.4,Iris-setosa
0,-1.336794,4.8,3,Iris-setosa
0,-1.506822,4.3,3,Iris-setosa
0.041667,-1.450146,5.8,4,Iris-setosa
0.125,-1.280118,5.7,4.4,Iris-setosa
0.125,-1.39347,5.4,3.9,Iris-setosa
0.083333,-1.336794,5.1,3.5,Iris-setosa
0.083333,-1.166767,5.7,3.8,Iris-setosa
0.083333,-1.280118,5.1,3.8,Iris-setosa
0.041667,-1.166767,5.4,3.4,Iris-setosa
0.125,-1.280118,5.1,3.7,Iris-setosa
0.041667,-1.563497,4.6,3.6,Iris-setosa
0.166667,-1.166767,5.1,3.3,Iris-setosa
0.041667,-1.053415,4.8,3.4,Iris-setosa
0.041667,-1.223442,5,3,Iris-setosa
0.125,-1.223442,5,3.4,Iris-setosa
0.041667,-1.280118,5.2,3.5,Iris-setosa
0.041667,-1.336794,5.2,3.4,Iris-setosa
0.041667,-1.223442,4.7,3.2,Iris-setosa
0.041667,-1.223442,4.8,3.1,Iris-setosa
0.125,-1.280118,5.4,3.4,Iris-setosa
0,-1.280118,5.2,4.1,Iris-setosa
0.041667,-1.336794,5.5,4.2,Iris-setosa
0,-1.280118,4.9,3.1,Iris-setosa
0.041667,-1.450146,5,3.2,Iris-setosa
0.041667,-1.39347,5.5,3.5,Iris-setosa
0,-1.280118,4.9,3.1,Iris-setosa
0.041667,-1.39347,4.4,3,Iris-setosa
0.041667,-1.280118,5.1,3.4,Iris-setosa
0.083333,-1.39347,5,3.5,Iris-setosa
0.083333,-1.39347,4.5,2.3,Iris-setosa
0.041667,-1.39347,4.4,3.2,Iris-setosa
