@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-1.59]\'',0.625,5.1,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.416667,4.9,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.5,4.7,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.458333,4.6,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.666667,5,0.2,Iris-setosa
'\'(1.59-2.18]\'',0.791667,5.4,0.4,Iris-setosa
'\'(-inf-1.59]\'',0.583333,4.6,0.3,Iris-setosa
'\'(-inf-1.59]\'',0.583333,5,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.375,4.4,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.458333,4.9,0.1,Iris-setosa
'\'(-inf-1.59]\'',0.708333,5.4,0.2,Iris-setosa
'\'(1.59-2.18]\'',0.583333,4.8,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.416667,4.8,0.1,Iris-setosa
'\'(-inf-1.59]\'',0.416667,4.3,0.1,Iris-setosa
'\'(-inf-1.59]\'',0.833333,5.8,0.2,Iris-setosa
'\'(-inf-1.59]\'',1,5.7,0.4,Iris-setosa
'\'(-inf-1.59]\'',0.791667,5.4,0.4,Iris-setosa
'\'(-inf-1.59]\'',0.625,5.1,0.3,Iris-setosa
'\'(1.59-2.18]\'',0.75,5.7,0.3,Iris-setosa
'\'(-inf-1.59]\'',0.75,5.1,0.3,Iris-setosa
'\'(1.59-2.18]\'',0.583333,5.4,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.708333,5.1,0.4,Iris-setosa
'\'(-inf-1.59]\'',0.666667,4.6,0.2,Iris-setosa
'\'(1.59-2.18]\'',0.541667,5.1,0.5,Iris-setosa
'\'(1.59-2.18]\'',0.583333,4.8,0.2,Iris-setosa
'\'(1.59-2.18]\'',0.416667,5,0.2,Iris-setosa
'\'(1.59-2.18]\'',0.583333,5,0.4,Iris-setosa
