@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.02-5.38]\'',0.041667,1.028611,1.4,Iris-setosa
'\'(4.66-5.02]\'',0.041667,-0.12454,1.4,Iris-setosa
'\'(4.66-5.02]\'',0.041667,0.33672,1.3,Iris-setosa
'\'(-inf-4.66]\'',0.041667,0.10609,1.5,Iris-setosa
'\'(4.66-5.02]\'',0.041667,1.259242,1.4,Iris-setosa
'\'(5.38-5.74]\'',0.125,1.951133,1.7,Iris-setosa
'\'(-inf-4.66]\'',0.083333,0.797981,1.4,Iris-setosa
'\'(4.66-5.02]\'',0.041667,0.797981,1.5,Iris-setosa
'\'(-inf-4.66]\'',0.041667,-0.355171,1.4,Iris-setosa
'\'(4.66-5.02]\'',0,0.10609,1.5,Iris-setosa
'\'(5.38-5.74]\'',0.041667,1.489872,1.5,Iris-setosa
'\'(4.66-5.02]\'',0.041667,0.797981,1.6,Iris-setosa
'\'(4.66-5.02]\'',0,-0.12454,1.4,Iris-setosa
'\'(-inf-4.66]\'',0,-0.12454,1.1,Iris-setosa
'\'(5.74-6.1]\'',0.041667,2.181763,1.2,Iris-setosa
'\'(5.38-5.74]\'',0.125,3.104284,1.5,Iris-setosa
'\'(5.38-5.74]\'',0.125,1.951133,1.3,Iris-setosa
'\'(5.02-5.38]\'',0.083333,1.028611,1.4,Iris-setosa
'\'(5.38-5.74]\'',0.083333,1.720502,1.7,Iris-setosa
'\'(5.02-5.38]\'',0.083333,1.720502,1.5,Iris-setosa
'\'(5.38-5.74]\'',0.041667,0.797981,1.7,Iris-setosa
'\'(5.02-5.38]\'',0.125,1.489872,1.5,Iris-setosa
'\'(-inf-4.66]\'',0.041667,1.259242,1,Iris-setosa
'\'(5.02-5.38]\'',0.166667,0.567351,1.7,Iris-setosa
'\'(4.66-5.02]\'',0.041667,0.797981,1.9,Iris-setosa
'\'(4.66-5.02]\'',0.041667,-0.12454,1.6,Iris-setosa
'\'(4.66-5.02]\'',0.125,0.797981,1.6,Iris-setosa
'\'(5.02-5.38]\'',0.041667,1.028611,1.5,Iris-setosa
'\'(5.02-5.38]\'',0.041667,0.797981,1.4,Iris-setosa
'\'(4.66-5.02]\'',0.041667,0.33672,1.6,Iris-setosa
'\'(4.66-5.02]\'',0.041667,0.10609,1.6,Iris-setosa
'\'(5.38-5.74]\'',0.125,0.797981,1.5,Iris-setosa
'\'(5.02-5.38]\'',0,2.412393,1.5,Iris-setosa
'\'(5.38-5.74]\'',0.041667,2.643024,1.4,Iris-setosa
'\'(4.66-5.02]\'',0,0.10609,1.5,Iris-setosa
'\'(4.66-5.02]\'',0.041667,0.33672,1.2,Iris-setosa
'\'(5.38-5.74]\'',0.041667,1.028611,1.3,Iris-setosa
'\'(4.66-5.02]\'',0,0.10609,1.5,Iris-setosa
'\'(-inf-4.66]\'',0.041667,-0.12454,1.3,Iris-setosa
'\'(5.02-5.38]\'',0.041667,0.797981,1.5,Iris-setosa
'\'(4.66-5.02]\'',0.083333,1.028611,1.3,Iris-setosa
'\'(-inf-4.66]\'',0.083333,-1.738953,1.3,Iris-setosa
'\'(-inf-4.66]\'',0.041667,0.33672,1.3,Iris-setosa
'\'(4.66-5.02]\'',0.208333,1.028611,1.6,Iris-setosa
'\'(5.02-5.38]\'',0.125,1.720502,1.9,Iris-setosa
'\'(4.66-5.02]\'',0.083333,-0.12454,1.4,Iris-setosa
'\'(5.02-5.38]\'',0.041667,1.720502,1.6,Iris-setosa
'\'(-inf-4.66]\'',0.041667,0.33672,1.4,Iris-setosa
'\'(5.02-5.38]\'',0.041667,1.489872,1.5,Iris-setosa
'\'(4.66-5.02]\'',0.041667,0.567351,1.4,Iris-setosa
'\'(6.82-7.18]\'',0.541667,0.33672,4.7,Iris-versicolor
'\'(6.1-6.46]\'',0.583333,0.33672,4.5,Iris-versicolor
'\'(6.82-7.18]\'',0.583333,0.10609,4.9,Iris-versicolor
'\'(5.38-5.74]\'',0.5,-1.738953,4,Iris-versicolor
'\'(6.46-6.82]\'',0.583333,-0.585801,4.6,Iris-versicolor
'\'(5.38-5.74]\'',0.5,-0.585801,4.5,Iris-versicolor
'\'(6.1-6.46]\'',0.625,0.567351,4.7,Iris-versicolor
'\'(4.66-5.02]\'',0.375,-1.508322,3.3,Iris-versicolor
'\'(6.46-6.82]\'',0.5,-0.355171,4.6,Iris-versicolor
'\'(5.02-5.38]\'',0.541667,-0.816431,3.9,Iris-versicolor
'\'(4.66-5.02]\'',0.375,-2.430844,3.5,Iris-versicolor
'\'(5.74-6.1]\'',0.583333,-0.12454,4.2,Iris-versicolor
'\'(5.74-6.1]\'',0.375,-1.969583,4,Iris-versicolor
'\'(5.74-6.1]\'',0.541667,-0.355171,4.7,Iris-versicolor
'\'(5.38-5.74]\'',0.5,-0.355171,3.6,Iris-versicolor
'\'(6.46-6.82]\'',0.541667,0.10609,4.4,Iris-versicolor
'\'(5.38-5.74]\'',0.583333,-0.12454,4.5,Iris-versicolor
'\'(5.74-6.1]\'',0.375,-0.816431,4.1,Iris-versicolor
'\'(6.1-6.46]\'',0.583333,-1.969583,4.5,Iris-versicolor
'\'(5.38-5.74]\'',0.416667,-1.277692,3.9,Iris-versicolor
'\'(5.74-6.1]\'',0.708333,0.33672,4.8,Iris-versicolor
'\'(5.74-6.1]\'',0.5,-0.585801,4,Iris-versicolor
'\'(6.1-6.46]\'',0.583333,-1.277692,4.9,Iris-versicolor
'\'(5.74-6.1]\'',0.458333,-0.585801,4.7,Iris-versicolor
'\'(6.1-6.46]\'',0.5,-0.355171,4.3,Iris-versicolor
'\'(6.46-6.82]\'',0.541667,-0.12454,4.4,Iris-versicolor
'\'(6.46-6.82]\'',0.541667,-0.585801,4.8,Iris-versicolor
'\'(6.46-6.82]\'',0.666667,-0.12454,5,Iris-versicolor
'\'(5.74-6.1]\'',0.583333,-0.355171,4.5,Iris-versicolor
'\'(5.38-5.74]\'',0.375,-1.047062,3.5,Iris-versicolor
'\'(5.38-5.74]\'',0.416667,-1.508322,3.8,Iris-versicolor
'\'(5.38-5.74]\'',0.375,-1.508322,3.7,Iris-versicolor
'\'(5.74-6.1]\'',0.458333,-0.816431,3.9,Iris-versicolor
'\'(5.74-6.1]\'',0.625,-0.816431,5.1,Iris-versicolor
'\'(5.38-5.74]\'',0.583333,-0.12454,4.5,Iris-versicolor
'\'(5.74-6.1]\'',0.625,0.797981,4.5,Iris-versicolor
'\'(6.46-6.82]\'',0.583333,0.10609,4.7,Iris-versicolor
'\'(6.1-6.46]\'',0.5,-1.738953,4.4,Iris-versicolor
'\'(5.38-5.74]\'',0.5,-0.12454,4.1,Iris-versicolor
'\'(5.38-5.74]\'',0.5,-1.277692,4,Iris-versicolor
'\'(5.38-5.74]\'',0.458333,-1.047062,4.4,Iris-versicolor
'\'(5.74-6.1]\'',0.541667,-0.12454,4.6,Iris-versicolor
'\'(5.74-6.1]\'',0.458333,-1.047062,4,Iris-versicolor
'\'(4.66-5.02]\'',0.375,-1.738953,3.3,Iris-versicolor
'\'(5.38-5.74]\'',0.5,-0.816431,4.2,Iris-versicolor
'\'(5.38-5.74]\'',0.458333,-0.12454,4.2,Iris-versicolor
'\'(5.38-5.74]\'',0.5,-0.355171,4.2,Iris-versicolor
'\'(6.1-6.46]\'',0.5,-0.355171,4.3,Iris-versicolor
'\'(5.02-5.38]\'',0.416667,-1.277692,3,Iris-versicolor
'\'(5.38-5.74]\'',0.5,-0.585801,4.1,Iris-versicolor
'\'(6.1-6.46]\'',1,0.567351,6,Iris-virginica
'\'(5.74-6.1]\'',0.75,-0.816431,5.1,Iris-virginica
'\'(6.82-7.18]\'',0.833333,-0.12454,5.9,Iris-virginica
'\'(6.1-6.46]\'',0.708333,-0.355171,5.6,Iris-virginica
'\'(6.46-6.82]\'',0.875,-0.12454,5.8,Iris-virginica
'\'(7.54-inf)\'',0.833333,-0.12454,6.6,Iris-virginica
'\'(4.66-5.02]\'',0.666667,-1.277692,4.5,Iris-virginica
'\'(7.18-7.54]\'',0.708333,-0.355171,6.3,Iris-virginica
'\'(6.46-6.82]\'',0.708333,-1.277692,5.8,Iris-virginica
'\'(7.18-7.54]\'',1,1.259242,6.1,Iris-virginica
'\'(6.46-6.82]\'',0.791667,0.33672,5.1,Iris-virginica
'\'(6.1-6.46]\'',0.75,-0.816431,5.3,Iris-virginica
'\'(6.46-6.82]\'',0.833333,-0.12454,5.5,Iris-virginica
'\'(5.38-5.74]\'',0.791667,-1.277692,5,Iris-virginica
'\'(5.74-6.1]\'',0.958333,-0.585801,5.1,Iris-virginica
'\'(6.1-6.46]\'',0.916667,0.33672,5.3,Iris-virginica
'\'(6.46-6.82]\'',0.708333,-0.12454,5.5,Iris-virginica
'\'(7.54-inf)\'',0.875,1.720502,6.7,Iris-virginica
'\'(7.54-inf)\'',0.916667,-1.047062,6.9,Iris-virginica
'\'(5.74-6.1]\'',0.583333,-1.969583,5,Iris-virginica
'\'(6.82-7.18]\'',0.916667,0.33672,5.7,Iris-virginica
'\'(5.38-5.74]\'',0.791667,-0.585801,4.9,Iris-virginica
'\'(7.54-inf)\'',0.791667,-0.585801,6.7,Iris-virginica
'\'(6.1-6.46]\'',0.708333,-0.816431,4.9,Iris-virginica
'\'(6.46-6.82]\'',0.833333,0.567351,5.7,Iris-virginica
'\'(7.18-7.54]\'',0.708333,0.33672,6,Iris-virginica
'\'(6.1-6.46]\'',0.708333,-0.585801,4.8,Iris-virginica
'\'(5.74-6.1]\'',0.708333,-0.12454,4.9,Iris-virginica
'\'(6.1-6.46]\'',0.833333,-0.585801,5.6,Iris-virginica
'\'(7.18-7.54]\'',0.625,-0.12454,5.8,Iris-virginica
'\'(7.18-7.54]\'',0.75,-0.585801,6.1,Iris-virginica
'\'(7.54-inf)\'',0.791667,1.720502,6.4,Iris-virginica
'\'(6.1-6.46]\'',0.875,-0.585801,5.6,Iris-virginica
'\'(6.1-6.46]\'',0.583333,-0.585801,5.1,Iris-virginica
'\'(5.74-6.1]\'',0.541667,-1.047062,5.6,Iris-virginica
'\'(7.54-inf)\'',0.916667,-0.12454,6.1,Iris-virginica
'\'(6.1-6.46]\'',0.958333,0.797981,5.6,Iris-virginica
'\'(6.1-6.46]\'',0.708333,0.10609,5.5,Iris-virginica
'\'(5.74-6.1]\'',0.708333,-0.12454,4.8,Iris-virginica
