@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,'\'(-inf-0.34]\'',1.028611,1.4,Iris-setosa
0.166667,'\'(-inf-0.34]\'',-0.12454,1.4,Iris-setosa
0.111111,'\'(-inf-0.34]\'',0.33672,1.3,Iris-setosa
0.083333,'\'(-inf-0.34]\'',0.10609,1.5,Iris-setosa
0.194444,'\'(-inf-0.34]\'',1.259242,1.4,Iris-setosa
0.305556,'\'(0.34-0.58]\'',1.951133,1.7,Iris-setosa
0.083333,'\'(-inf-0.34]\'',0.797981,1.4,Iris-setosa
0.194444,'\'(-inf-0.34]\'',0.797981,1.5,Iris-setosa
0.027778,'\'(-inf-0.34]\'',-0.355171,1.4,Iris-setosa
0.166667,'\'(-inf-0.34]\'',0.10609,1.5,Iris-setosa
0.305556,'\'(-inf-0.34]\'',1.489872,1.5,Iris-setosa
0.138889,'\'(-inf-0.34]\'',0.797981,1.6,Iris-setosa
0.138889,'\'(-inf-0.34]\'',-0.12454,1.4,Iris-setosa
0,'\'(-inf-0.34]\'',-0.12454,1.1,Iris-setosa
0.416667,'\'(-inf-0.34]\'',2.181763,1.2,Iris-setosa
0.388889,'\'(0.34-0.58]\'',3.104284,1.5,Iris-setosa
0.305556,'\'(0.34-0.58]\'',1.951133,1.3,Iris-setosa
0.222222,'\'(-inf-0.34]\'',1.028611,1.4,Iris-setosa
0.388889,'\'(-inf-0.34]\'',1.720502,1.7,Iris-setosa
0.222222,'\'(-inf-0.34]\'',1.720502,1.5,Iris-setosa
0.305556,'\'(-inf-0.34]\'',0.797981,1.7,Iris-setosa
0.222222,'\'(0.34-0.58]\'',1.489872,1.5,Iris-setosa
0.083333,'\'(-inf-0.34]\'',1.259242,1,Iris-setosa
0.222222,'\'(0.34-0.58]\'',0.567351,1.7,Iris-setosa
0.138889,'\'(-inf-0.34]\'',0.797981,1.9,Iris-setosa
0.194444,'\'(-inf-0.34]\'',-0.12454,1.6,Iris-setosa
0.194444,'\'(0.34-0.58]\'',0.797981,1.6,Iris-setosa
0.25,'\'(-inf-0.34]\'',1.028611,1.5,Iris-setosa
0.25,'\'(-inf-0.34]\'',0.797981,1.4,Iris-setosa
0.111111,'\'(-inf-0.34]\'',0.33672,1.6,Iris-setosa
0.138889,'\'(-inf-0.34]\'',0.10609,1.6,Iris-setosa
0.305556,'\'(0.34-0.58]\'',0.797981,1.5,Iris-setosa
0.25,'\'(-inf-0.34]\'',2.412393,1.5,Iris-setosa
0.333333,'\'(-inf-0.34]\'',2.643024,1.4,Iris-setosa
0.166667,'\'(-inf-0.34]\'',0.10609,1.5,Iris-setosa
0.194444,'\'(-inf-0.34]\'',0.33672,1.2,Iris-setosa
0.333333,'\'(-inf-0.34]\'',1.028611,1.3,Iris-setosa
0.166667,'\'(-inf-0.34]\'',0.10609,1.5,Iris-setosa
0.027778,'\'(-inf-0.34]\'',-0.12454,1.3,Iris-setosa
0.222222,'\'(-inf-0.34]\'',0.797981,1.5,Iris-setosa
0.194444,'\'(-inf-0.34]\'',1.028611,1.3,Iris-setosa
0.055556,'\'(-inf-0.34]\'',-1.738953,1.3,Iris-setosa
0.027778,'\'(-inf-0.34]\'',0.33672,1.3,Iris-setosa
0.194444,'\'(0.58-0.82]\'',1.028611,1.6,Iris-setosa
0.222222,'\'(0.34-0.58]\'',1.720502,1.9,Iris-setosa
0.138889,'\'(-inf-0.34]\'',-0.12454,1.4,Iris-setosa
0.222222,'\'(-inf-0.34]\'',1.720502,1.6,Iris-setosa
0.083333,'\'(-inf-0.34]\'',0.33672,1.4,Iris-setosa
0.277778,'\'(-inf-0.34]\'',1.489872,1.5,Iris-setosa
0.194444,'\'(-inf-0.34]\'',0.567351,1.4,Iris-setosa
0.75,'\'(1.3-1.54]\'',0.33672,4.7,Iris-versicolor
0.583333,'\'(1.3-1.54]\'',0.33672,4.5,Iris-versicolor
0.722222,'\'(1.3-1.54]\'',0.10609,4.9,Iris-versicolor
0.333333,'\'(1.06-1.3]\'',-1.738953,4,Iris-versicolor
0.611111,'\'(1.3-1.54]\'',-0.585801,4.6,Iris-versicolor
0.388889,'\'(1.06-1.3]\'',-0.585801,4.5,Iris-versicolor
0.555556,'\'(1.54-1.78]\'',0.567351,4.7,Iris-versicolor
0.166667,'\'(0.82-1.06]\'',-1.508322,3.3,Iris-versicolor
0.638889,'\'(1.06-1.3]\'',-0.355171,4.6,Iris-versicolor
0.25,'\'(1.3-1.54]\'',-0.816431,3.9,Iris-versicolor
0.194444,'\'(0.82-1.06]\'',-2.430844,3.5,Iris-versicolor
0.444444,'\'(1.3-1.54]\'',-0.12454,4.2,Iris-versicolor
0.472222,'\'(0.82-1.06]\'',-1.969583,4,Iris-versicolor
0.5,'\'(1.3-1.54]\'',-0.355171,4.7,Iris-versicolor
0.361111,'\'(1.06-1.3]\'',-0.355171,3.6,Iris-versicolor
0.666667,'\'(1.3-1.54]\'',0.10609,4.4,Iris-versicolor
0.361111,'\'(1.3-1.54]\'',-0.12454,4.5,Iris-versicolor
0.416667,'\'(0.82-1.06]\'',-0.816431,4.1,Iris-versicolor
0.527778,'\'(1.3-1.54]\'',-1.969583,4.5,Iris-versicolor
0.361111,'\'(1.06-1.3]\'',-1.277692,3.9,Iris-versicolor
0.444444,'\'(1.78-2.02]\'',0.33672,4.8,Iris-versicolor
0.5,'\'(1.06-1.3]\'',-0.585801,4,Iris-versicolor
0.555556,'\'(1.3-1.54]\'',-1.277692,4.9,Iris-versicolor
0.5,'\'(1.06-1.3]\'',-0.585801,4.7,Iris-versicolor
0.583333,'\'(1.06-1.3]\'',-0.355171,4.3,Iris-versicolor
0.638889,'\'(1.3-1.54]\'',-0.12454,4.4,Iris-versicolor
0.694444,'\'(1.3-1.54]\'',-0.585801,4.8,Iris-versicolor
0.666667,'\'(1.54-1.78]\'',-0.12454,5,Iris-versicolor
0.472222,'\'(1.3-1.54]\'',-0.355171,4.5,Iris-versicolor
0.388889,'\'(0.82-1.06]\'',-1.047062,3.5,Iris-versicolor
0.333333,'\'(1.06-1.3]\'',-1.508322,3.8,Iris-versicolor
0.333333,'\'(0.82-1.06]\'',-1.508322,3.7,Iris-versicolor
0.416667,'\'(1.06-1.3]\'',-0.816431,3.9,Iris-versicolor
0.472222,'\'(1.54-1.78]\'',-0.816431,5.1,Iris-versicolor
0.305556,'\'(1.3-1.54]\'',-0.12454,4.5,Iris-versicolor
0.472222,'\'(1.54-1.78]\'',0.797981,4.5,Iris-versicolor
0.666667,'\'(1.3-1.54]\'',0.10609,4.7,Iris-versicolor
0.555556,'\'(1.06-1.3]\'',-1.738953,4.4,Iris-versicolor
0.361111,'\'(1.06-1.3]\'',-0.12454,4.1,Iris-versicolor
0.333333,'\'(1.06-1.3]\'',-1.277692,4,Iris-versicolor
0.333333,'\'(1.06-1.3]\'',-1.047062,4.4,Iris-versicolor
0.5,'\'(1.3-1.54]\'',-0.12454,4.6,Iris-versicolor
0.416667,'\'(1.06-1.3]\'',-1.047062,4,Iris-versicolor
0.194444,'\'(0.82-1.06]\'',-1.738953,3.3,Iris-versicolor
0.361111,'\'(1.06-1.3]\'',-0.816431,4.2,Iris-versicolor
0.388889,'\'(1.06-1.3]\'',-0.12454,4.2,Iris-versicolor
0.388889,'\'(1.06-1.3]\'',-0.355171,4.2,Iris-versicolor
0.527778,'\'(1.06-1.3]\'',-0.355171,4.3,Iris-versicolor
0.222222,'\'(1.06-1.3]\'',-1.277692,3,Iris-versicolor
0.388889,'\'(1.06-1.3]\'',-0.585801,4.1,Iris-versicolor
0.555556,'\'(2.26-inf)\'',0.567351,6,Iris-virginica
0.416667,'\'(1.78-2.02]\'',-0.816431,5.1,Iris-virginica
0.777778,'\'(2.02-2.26]\'',-0.12454,5.9,Iris-virginica
0.555556,'\'(1.78-2.02]\'',-0.355171,5.6,Iris-virginica
0.611111,'\'(2.02-2.26]\'',-0.12454,5.8,Iris-virginica
0.916667,'\'(2.02-2.26]\'',-0.12454,6.6,Iris-virginica
0.166667,'\'(1.54-1.78]\'',-1.277692,4.5,Iris-virginica
0.833333,'\'(1.78-2.02]\'',-0.355171,6.3,Iris-virginica
0.666667,'\'(1.78-2.02]\'',-1.277692,5.8,Iris-virginica
0.805556,'\'(2.26-inf)\'',1.259242,6.1,Iris-virginica
0.611111,'\'(1.78-2.02]\'',0.33672,5.1,Iris-virginica
0.583333,'\'(1.78-2.02]\'',-0.816431,5.3,Iris-virginica
0.694444,'\'(2.02-2.26]\'',-0.12454,5.5,Iris-virginica
0.388889,'\'(1.78-2.02]\'',-1.277692,5,Iris-virginica
0.416667,'\'(2.26-inf)\'',-0.585801,5.1,Iris-virginica
0.583333,'\'(2.26-inf)\'',0.33672,5.3,Iris-virginica
0.611111,'\'(1.78-2.02]\'',-0.12454,5.5,Iris-virginica
0.944444,'\'(2.02-2.26]\'',1.720502,6.7,Iris-virginica
0.944444,'\'(2.26-inf)\'',-1.047062,6.9,Iris-virginica
0.472222,'\'(1.3-1.54]\'',-1.969583,5,Iris-virginica
0.722222,'\'(2.26-inf)\'',0.33672,5.7,Iris-virginica
0.361111,'\'(1.78-2.02]\'',-0.585801,4.9,Iris-virginica
0.944444,'\'(1.78-2.02]\'',-0.585801,6.7,Iris-virginica
