@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,0.041667,'\'(3.44-3.68]\'',1.4,Iris-setosa
0.166667,0.041667,'\'(2.96-3.2]\'',1.4,Iris-setosa
0.111111,0.041667,'\'(2.96-3.2]\'',1.3,Iris-setosa
0.083333,0.041667,'\'(2.96-3.2]\'',1.5,Iris-setosa
0.194444,0.041667,'\'(3.44-3.68]\'',1.4,Iris-setosa
0.305556,0.125,'\'(3.68-3.92]\'',1.7,Iris-setosa
0.083333,0.083333,'\'(3.2-3.44]\'',1.4,Iris-setosa
0.194444,0.041667,'\'(3.2-3.44]\'',1.5,Iris-setosa
0.027778,0.041667,'\'(2.72-2.96]\'',1.4,Iris-setosa
0.166667,0,'\'(2.96-3.2]\'',1.5,Iris-setosa
0.305556,0.041667,'\'(3.68-3.92]\'',1.5,Iris-setosa
0.138889,0.041667,'\'(3.2-3.44]\'',1.6,Iris-setosa
0.138889,0,'\'(2.96-3.2]\'',1.4,Iris-setosa
0,0,'\'(2.96-3.2]\'',1.1,Iris-setosa
0.416667,0.041667,'\'(3.92-4.16]\'',1.2,Iris-setosa
0.388889,0.125,'\'(4.16-inf)\'',1.5,Iris-setosa
0.305556,0.125,'\'(3.68-3.92]\'',1.3,Iris-setosa
0.222222,0.083333,'\'(3.44-3.68]\'',1.4,Iris-setosa
0.388889,0.083333,'\'(3.68-3.92]\'',1.7,Iris-setosa
0.222222,0.083333,'\'(3.68-3.92]\'',1.5,Iris-setosa
0.305556,0.041667,'\'(3.2-3.44]\'',1.7,Iris-setosa
0.222222,0.125,'\'(3.68-3.92]\'',1.5,Iris-setosa
