@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.02-5.38]\'',-1.308593,'\'(3.44-3.68]\'',1.4,Iris-setosa
'\'(4.66-5.02]\'',-1.308593,'\'(2.96-3.2]\'',1.4,Iris-setosa
'\'(4.66-5.02]\'',-1.308593,'\'(2.96-3.2]\'',1.3,Iris-setosa
'\'(-inf-4.66]\'',-1.308593,'\'(2.96-3.2]\'',1.5,Iris-setosa
'\'(4.66-5.02]\'',-1.308593,'\'(3.44-3.68]\'',1.4,Iris-setosa
'\'(5.38-5.74]\'',-1.046525,'\'(3.68-3.92]\'',1.7,Iris-setosa
'\'(-inf-4.66]\'',-1.177559,'\'(3.2-3.44]\'',1.4,Iris-setosa
'\'(4.66-5.02]\'',-1.308593,'\'(3.2-3.44]\'',1.5,Iris-setosa
'\'(-inf-4.66]\'',-1.308593,'\'(2.72-2.96]\'',1.4,Iris-setosa
'\'(4.66-5.02]\'',-1.439627,'\'(2.96-3.2]\'',1.5,Iris-setosa
'\'(5.38-5.74]\'',-1.308593,'\'(3.68-3.92]\'',1.5,Iris-setosa
'\'(4.66-5.02]\'',-1.308593,'\'(3.2-3.44]\'',1.6,Iris-setosa
'\'(4.66-5.02]\'',-1.439627,'\'(2.96-3.2]\'',1.4,Iris-setosa
'\'(-inf-4.66]\'',-1.439627,'\'(2.96-3.2]\'',1.1,Iris-setosa
'\'(5.74-6.1]\'',-1.308593,'\'(3.92-4.16]\'',1.2,Iris-setosa
'\'(5.38-5.74]\'',-1.046525,'\'(4.16-inf)\'',1.5,Iris-setosa
'\'(5.38-5.74]\'',-1.046525,'\'(3.68-3.92]\'',1.3,Iris-setosa
'\'(5.02-5.38]\'',-1.177559,'\'(3.44-3.68]\'',1.4,Iris-setosa
'\'(5.38-5.74]\'',-1.177559,'\'(3.68-3.92]\'',1.7,Iris-setosa
'\'(5.02-5.38]\'',-1.177559,'\'(3.68-3.92]\'',1.5,Iris-setosa
'\'(5.38-5.74]\'',-1.308593,'\'(3.2-3.44]\'',1.7,Iris-setosa
'\'(5.02-5.38]\'',-1.046525,'\'(3.68-3.92]\'',1.5,Iris-setosa
'\'(-inf-4.66]\'',-1.308593,'\'(3.44-3.68]\'',1,Iris-setosa
'\'(5.02-5.38]\'',-0.915491,'\'(3.2-3.44]\'',1.7,Iris-setosa
'\'(4.66-5.02]\'',-1.308593,'\'(3.2-3.44]\'',1.9,Iris-setosa
'\'(4.66-5.02]\'',-1.308593,'\'(2.96-3.2]\'',1.6,Iris-setosa
'\'(4.66-5.02]\'',-1.046525,'\'(3.2-3.44]\'',1.6,Iris-setosa
'\'(5.02-5.38]\'',-1.308593,'\'(3.44-3.68]\'',1.5,Iris-setosa
'\'(5.02-5.38]\'',-1.308593,'\'(3.2-3.44]\'',1.4,Iris-setosa
'\'(4.66-5.02]\'',-1.308593,'\'(2.96-3.2]\'',1.6,Iris-setosa
'\'(4.66-5.02]\'',-1.308593,'\'(2.96-3.2]\'',1.6,Iris-setosa
'\'(5.38-5.74]\'',-1.046525,'\'(3.2-3.44]\'',1.5,Iris-setosa
'\'(5.02-5.38]\'',-1.439627,'\'(3.92-4.16]\'',1.5,Iris-setosa
'\'(5.38-5.74]\'',-1.308593,'\'(4.16-inf)\'',1.4,Iris-setosa
'\'(4.66-5.02]\'',-1.439627,'\'(2.96-3.2]\'',1.5,Iris-setosa
'\'(4.66-5.02]\'',-1.308593,'\'(2.96-3.2]\'',1.2,Iris-setosa
'\'(5.38-5.74]\'',-1.308593,'\'(3.44-3.68]\'',1.3,Iris-setosa
'\'(4.66-5.02]\'',-1.439627,'\'(2.96-3.2]\'',1.5,Iris-setosa
