@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.897674,'\'(0.15-0.25]\'','\'(3.44-3.68]\'',1.4,Iris-setosa
-1.1392,'\'(0.15-0.25]\'','\'(2.96-3.2]\'',1.4,Iris-setosa
-1.380727,'\'(0.15-0.25]\'','\'(2.96-3.2]\'',1.3,Iris-setosa
-1.50149,'\'(0.15-0.25]\'','\'(2.96-3.2]\'',1.5,Iris-setosa
-1.018437,'\'(0.15-0.25]\'','\'(3.44-3.68]\'',1.4,Iris-setosa
-0.535384,'\'(0.25-0.55]\'','\'(3.68-3.92]\'',1.7,Iris-setosa
-1.50149,'\'(0.25-0.55]\'','\'(3.2-3.44]\'',1.4,Iris-setosa
-1.018437,'\'(0.15-0.25]\'','\'(3.2-3.44]\'',1.5,Iris-setosa
-1.743017,'\'(0.15-0.25]\'','\'(2.72-2.96]\'',1.4,Iris-setosa
-1.1392,'\'(-inf-0.15]\'','\'(2.96-3.2]\'',1.5,Iris-setosa
-0.535384,'\'(0.15-0.25]\'','\'(3.68-3.92]\'',1.5,Iris-setosa
-1.259964,'\'(0.15-0.25]\'','\'(3.2-3.44]\'',1.6,Iris-setosa
-1.259964,'\'(-inf-0.15]\'','\'(2.96-3.2]\'',1.4,Iris-setosa
-1.86378,'\'(-inf-0.15]\'','\'(2.96-3.2]\'',1.1,Iris-setosa
-0.052331,'\'(0.15-0.25]\'','\'(3.92-4.16]\'',1.2,Iris-setosa
-0.173094,'\'(0.25-0.55]\'','\'(4.16-inf)\'',1.5,Iris-setosa
-0.535384,'\'(0.25-0.55]\'','\'(3.68-3.92]\'',1.3,Iris-setosa
-0.897674,'\'(0.25-0.55]\'','\'(3.44-3.68]\'',1.4,Iris-setosa
-0.173094,'\'(0.25-0.55]\'','\'(3.68-3.92]\'',1.7,Iris-setosa
-0.897674,'\'(0.25-0.55]\'','\'(3.68-3.92]\'',1.5,Iris-setosa
-0.535384,'\'(0.15-0.25]\'','\'(3.2-3.44]\'',1.7,Iris-setosa
-0.897674,'\'(0.25-0.55]\'','\'(3.68-3.92]\'',1.5,Iris-setosa
-1.50149,'\'(0.15-0.25]\'','\'(3.44-3.68]\'',1,Iris-setosa
-0.897674,'\'(0.25-0.55]\'','\'(3.2-3.44]\'',1.7,Iris-setosa
-1.259964,'\'(0.15-0.25]\'','\'(3.2-3.44]\'',1.9,Iris-setosa
-1.018437,'\'(0.15-0.25]\'','\'(2.96-3.2]\'',1.6,Iris-setosa
-1.018437,'\'(0.25-0.55]\'','\'(3.2-3.44]\'',1.6,Iris-setosa
-0.776911,'\'(0.15-0.25]\'','\'(3.44-3.68]\'',1.5,Iris-setosa
-0.776911,'\'(0.15-0.25]\'','\'(3.2-3.44]\'',1.4,Iris-setosa
-1.380727,'\'(0.15-0.25]\'','\'(2.96-3.2]\'',1.6,Iris-setosa
-1.259964,'\'(0.15-0.25]\'','\'(2.96-3.2]\'',1.6,Iris-setosa
-0.535384,'\'(0.25-0.55]\'','\'(3.2-3.44]\'',1.5,Iris-setosa
-0.776911,'\'(-inf-0.15]\'','\'(3.92-4.16]\'',1.5,Iris-setosa
-0.414621,'\'(0.15-0.25]\'','\'(4.16-inf)\'',1.4,Iris-setosa
-1.1392,'\'(-inf-0.15]\'','\'(2.96-3.2]\'',1.5,Iris-setosa
-1.018437,'\'(0.15-0.25]\'','\'(2.96-3.2]\'',1.2,Iris-setosa
-0.414621,'\'(0.15-0.25]\'','\'(3.44-3.68]\'',1.3,Iris-setosa
-1.1392,'\'(-inf-0.15]\'','\'(2.96-3.2]\'',1.5,Iris-setosa
-1.743017,'\'(0.15-0.25]\'','\'(2.96-3.2]\'',1.3,Iris-setosa
-0.897674,'\'(0.15-0.25]\'','\'(3.2-3.44]\'',1.5,Iris-setosa
-1.018437,'\'(0.25-0.55]\'','\'(3.44-3.68]\'',1.3,Iris-setosa
-1.622254,'\'(0.25-0.55]\'','\'(2.24-2.48]\'',1.3,Iris-setosa
-1.743017,'\'(0.15-0.25]\'','\'(2.96-3.2]\'',1.3,Iris-setosa
-1.018437,'\'(0.55-1.25]\'','\'(3.44-3.68]\'',1.6,Iris-setosa
-0.897674,'\'(0.25-0.55]\'','\'(3.68-3.92]\'',1.9,Iris-setosa
-1.259964,'\'(0.25-0.55]\'','\'(2.96-3.2]\'',1.4,Iris-setosa
-0.897674,'\'(0.15-0.25]\'','\'(3.68-3.92]\'',1.6,Iris-setosa
-1.50149,'\'(0.15-0.25]\'','\'(2.96-3.2]\'',1.4,Iris-setosa
-0.656147,'\'(0.15-0.25]\'','\'(3.68-3.92]\'',1.5,Iris-setosa
-1.018437,'\'(0.15-0.25]\'','\'(3.2-3.44]\'',1.4,Iris-setosa
1.396829,'\'(1.35-1.55]\'','\'(2.96-3.2]\'',4.7,Iris-versicolor
0.672249,'\'(1.35-1.55]\'','\'(2.96-3.2]\'',4.5,Iris-versicolor
