@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.308593,0.222222,3.5,1.4,Iris-setosa
-1.308593,0.166667,3,1.4,Iris-setosa
-1.308593,0.111111,3.2,1.3,Iris-setosa
-1.308593,0.083333,3.1,1.5,Iris-setosa
-1.308593,0.194444,3.6,1.4,Iris-setosa
-1.046525,0.305556,3.9,1.7,Iris-setosa
-1.177559,0.083333,3.4,1.4,Iris-setosa
-1.308593,0.194444,3.4,1.5,Iris-setosa
-1.308593,0.027778,2.9,1.4,Iris-setosa
-1.439627,0.166667,3.1,1.5,Iris-setosa
-1.308593,0.305556,3.7,1.5,Iris-setosa
-1.308593,0.138889,3.4,1.6,Iris-setosa
-1.439627,0.138889,3,1.4,Iris-setosa
-1.439627,0,3,1.1,Iris-setosa
-1.308593,0.416667,4,1.2,Iris-setosa
-1.046525,0.388889,4.4,1.5,Iris-setosa
-1.046525,0.305556,3.9,1.3,Iris-setosa
-1.177559,0.222222,3.5,1.4,Iris-setosa
-1.177559,0.388889,3.8,1.7,Iris-setosa
-1.177559,0.222222,3.8,1.5,Iris-setosa
-1.308593,0.305556,3.4,1.7,Iris-setosa
-1.046525,0.222222,3.7,1.5,Iris-setosa
-1.308593,0.083333,3.6,1,Iris-setosa
-0.915491,0.222222,3.3,1.7,Iris-setosa
-1.308593,0.138889,3.4,1.9,Iris-setosa
-1.308593,0.194444,3,1.6,Iris-setosa
-1.046525,0.194444,3.4,1.6,Iris-setosa
-1.308593,0.25,3.5,1.5,Iris-setosa
-1.308593,0.25,3.4,1.4,Iris-setosa
-1.308593,0.111111,3.2,1.6,Iris-setosa
-1.308593,0.138889,3.1,1.6,Iris-setosa
-1.046525,0.305556,3.4,1.5,Iris-setosa
-1.439627,0.25,4.1,1.5,Iris-setosa
-1.308593,0.333333,4.2,1.4,Iris-setosa
-1.439627,0.166667,3.1,1.5,Iris-setosa
-1.308593,0.194444,3.2,1.2,Iris-setosa
-1.308593,0.333333,3.5,1.3,Iris-setosa
-1.439627,0.166667,3.1,1.5,Iris-setosa
-1.308593,0.027778,3,1.3,Iris-setosa
-1.308593,0.222222,3.4,1.5,Iris-setosa
-1.177559,0.194444,3.5,1.3,Iris-setosa
-1.177559,0.055556,2.3,1.3,Iris-setosa
-1.308593,0.027778,3.2,1.3,Iris-setosa
-0.784457,0.194444,3.5,1.6,Iris-setosa
-1.046525,0.222222,3.8,1.9,Iris-setosa
-1.177559,0.138889,3,1.4,Iris-setosa
-1.308593,0.222222,3.8,1.6,Iris-setosa
-1.308593,0.083333,3.2,1.4,Iris-setosa
-1.308593,0.277778,3.7,1.5,Iris-setosa
-1.308593,0.194444,3.3,1.4,Iris-setosa
0.263815,0.75,3.2,4.7,Iris-versicolor
0.394849,0.583333,3.2,4.5,Iris-versicolor
0.394849,0.722222,3.1,4.9,Iris-versicolor
