@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-filtered-0-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.067797,0.222222,3.5,0.2,Iris-setosa
0.067797,0.166667,3,0.2,Iris-setosa
0.050847,0.111111,3.2,0.2,Iris-setosa
0.084746,0.083333,3.1,0.2,Iris-setosa
0.067797,0.194444,3.6,0.2,Iris-setosa
0.118644,0.305556,3.9,0.4,Iris-setosa
0.067797,0.083333,3.4,0.3,Iris-setosa
0.084746,0.194444,3.4,0.2,Iris-setosa
0.067797,0.027778,2.9,0.2,Iris-setosa
0.084746,0.166667,3.1,0.1,Iris-setosa
0.084746,0.305556,3.7,0.2,Iris-setosa
0.101695,0.138889,3.4,0.2,Iris-setosa
0.067797,0.138889,3,0.1,Iris-setosa
0.016949,0,3,0.1,Iris-setosa
0.033898,0.416667,4,0.2,Iris-setosa
0.084746,0.388889,4.4,0.4,Iris-setosa
0.050847,0.305556,3.9,0.4,Iris-setosa
0.067797,0.222222,3.5,0.3,Iris-setosa
0.118644,0.388889,3.8,0.3,Iris-setosa
0.084746,0.222222,3.8,0.3,Iris-setosa
0.118644,0.305556,3.4,0.2,Iris-setosa
0.084746,0.222222,3.7,0.4,Iris-setosa
0,0.083333,3.6,0.2,Iris-setosa
0.118644,0.222222,3.3,0.5,Iris-setosa
0.152542,0.138889,3.4,0.2,Iris-setosa
0.101695,0.194444,3,0.2,Iris-setosa
0.101695,0.194444,3.4,0.4,Iris-setosa
0.084746,0.25,3.5,0.2,Iris-setosa
0.067797,0.25,3.4,0.2,Iris-setosa
0.101695,0.111111,3.2,0.2,Iris-setosa
0.101695,0.138889,3.1,0.2,Iris-setosa
0.084746,0.305556,3.4,0.4,Iris-setosa
0.084746,0.25,4.1,0.1,Iris-setosa
0.067797,0.333333,4.2,0.2,Iris-setosa
0.084746,0.166667,3.1,0.1,Iris-setosa
0.033898,0.194444,3.2,0.2,Iris-setosa
0.050847,0.333333,3.5,0.2,Iris-setosa
0.084746,0.166667,3.1,0.1,Iris-setosa
0.050847,0.027778,3,0.2,Iris-setosa
0.084746,0.222222,3.4,0.2,Iris-setosa
