@relation iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3

@attribute 'filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-filtered-0-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.336794,-0.897674,3.5,0.2,Iris-setosa
-1.336794,-1.1392,3,0.2,Iris-setosa
-1.39347,-1.380727,3.2,0.2,Iris-setosa
-1.280118,-1.50149,3.1,0.2,Iris-setosa
-1.336794,-1.018437,3.6,0.2,Iris-setosa
-1.166767,-0.535384,3.9,0.4,Iris-setosa
-1.336794,-1.50149,3.4,0.3,Iris-setosa
-1.280118,-1.018437,3.4,0.2,Iris-setosa
-1.336794,-1.743017,2.9,0.2,Iris-setosa
-1.280118,-1.1392,3.1,0.1,Iris-setosa
-1.280118,-0.535384,3.7,0.2,Iris-setosa
-1.223442,-1.259964,3.4,0.2,Iris-setosa
-1.336794,-1.259964,3,0.1,Iris-setosa
-1.506822,-1.86378,3,0.1,Iris-setosa
-1.450146,-0.052331,4,0.2,Iris-setosa
-1.280118,-0.173094,4.4,0.4,Iris-setosa
-1.39347,-0.535384,3.9,0.4,Iris-setosa
-1.336794,-0.897674,3.5,0.3,Iris-setosa
-1.166767,-0.173094,3.8,0.3,Iris-setosa
-1.280118,-0.897674,3.8,0.3,Iris-setosa
-1.166767,-0.535384,3.4,0.2,Iris-setosa
-1.280118,-0.897674,3.7,0.4,Iris-setosa
-1.563497,-1.50149,3.6,0.2,Iris-setosa
-1.166767,-0.897674,3.3,0.5,Iris-setosa
-1.053415,-1.259964,3.4,0.2,Iris-setosa
-1.223442,-1.018437,3,0.2,Iris-setosa
-1.223442,-1.018437,3.4,0.4,Iris-setosa
-1.280118,-0.776911,3.5,0.2,Iris-setosa
-1.336794,-0.776911,3.4,0.2,Iris-setosa
-1.223442,-1.380727,3.2,0.2,Iris-setosa
-1.223442,-1.259964,3.1,0.2,Iris-setosa
-1.280118,-0.535384,3.4,0.4,Iris-setosa
-1.280118,-0.776911,4.1,0.1,Iris-setosa
-1.336794,-0.414621,4.2,0.2,Iris-setosa
-1.280118,-1.1392,3.1,0.1,Iris-setosa
-1.450146,-1.018437,3.2,0.2,Iris-setosa
-1.39347,-0.414621,3.5,0.2,Iris-setosa
-1.280118,-1.1392,3.1,0.1,Iris-setosa
-1.39347,-1.743017,3,0.2,Iris-setosa
-1.280118,-0.897674,3.4,0.2,Iris-setosa
-1.39347,-1.018437,3.5,0.3,Iris-setosa
-1.39347,-1.622254,2.3,0.3,Iris-setosa
-1.39347,-1.743017,3.2,0.2,Iris-setosa
-1.223442,-1.018437,3.5,0.6,Iris-setosa
-1.053415,-0.897674,3.8,0.4,Iris-setosa
-1.336794,-1.259964,3,0.3,Iris-setosa
-1.223442,-0.897674,3.8,0.2,Iris-setosa
-1.336794,-1.50149,3.2,0.2,Iris-setosa
-1.280118,-0.656147,3.7,0.2,Iris-setosa
-1.336794,-1.018437,3.3,0.2,Iris-setosa
0.533509,1.396829,3.2,1.4,Iris-versicolor
0.420157,0.672249,3.2,1.5,Iris-versicolor
0.64686,1.276066,3.1,1.5,Iris-versicolor
0.136778,-0.414621,2.3,1.3,Iris-versicolor
0.476833,0.793012,2.8,1.5,Iris-versicolor
0.420157,-0.173094,2.8,1.3,Iris-versicolor
0.533509,0.551486,3.3,1.6,Iris-versicolor
-0.259953,-1.1392,2.4,1,Iris-versicolor
0.476833,0.913776,2.9,1.3,Iris-versicolor
0.080102,-0.776911,2.7,1.4,Iris-versicolor
