@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-filtered-0-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.067797,'\'(5.02-5.38]\'',3.5,0.2,Iris-setosa
0.067797,'\'(4.66-5.02]\'',3,0.2,Iris-setosa
0.050847,'\'(4.66-5.02]\'',3.2,0.2,Iris-setosa
0.084746,'\'(-inf-4.66]\'',3.1,0.2,Iris-setosa
0.067797,'\'(4.66-5.02]\'',3.6,0.2,Iris-setosa
0.118644,'\'(5.38-5.74]\'',3.9,0.4,Iris-setosa
0.067797,'\'(-inf-4.66]\'',3.4,0.3,Iris-setosa
0.084746,'\'(4.66-5.02]\'',3.4,0.2,Iris-setosa
0.067797,'\'(-inf-4.66]\'',2.9,0.2,Iris-setosa
0.084746,'\'(4.66-5.02]\'',3.1,0.1,Iris-setosa
0.084746,'\'(5.38-5.74]\'',3.7,0.2,Iris-setosa
0.101695,'\'(4.66-5.02]\'',3.4,0.2,Iris-setosa
0.067797,'\'(4.66-5.02]\'',3,0.1,Iris-setosa
0.016949,'\'(-inf-4.66]\'',3,0.1,Iris-setosa
0.033898,'\'(5.74-6.1]\'',4,0.2,Iris-setosa
0.084746,'\'(5.38-5.74]\'',4.4,0.4,Iris-setosa
0.050847,'\'(5.38-5.74]\'',3.9,0.4,Iris-setosa
0.067797,'\'(5.02-5.38]\'',3.5,0.3,Iris-setosa
0.118644,'\'(5.38-5.74]\'',3.8,0.3,Iris-setosa
0.084746,'\'(5.02-5.38]\'',3.8,0.3,Iris-setosa
0.118644,'\'(5.38-5.74]\'',3.4,0.2,Iris-setosa
0.084746,'\'(5.02-5.38]\'',3.7,0.4,Iris-setosa
0,'\'(-inf-4.66]\'',3.6,0.2,Iris-setosa
0.118644,'\'(5.02-5.38]\'',3.3,0.5,Iris-setosa
0.152542,'\'(4.66-5.02]\'',3.4,0.2,Iris-setosa
0.101695,'\'(4.66-5.02]\'',3,0.2,Iris-setosa
0.101695,'\'(4.66-5.02]\'',3.4,0.4,Iris-setosa
