@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf-0.229167]\'','\'(0.229167-0.3125]\'','\'(0.3125-0.354167]\'','\'(0.354167-0.395833]\'','\'(0.395833-0.4375]\'','\'(0.4375-0.479167]\'','\'(0.479167-0.520833]\'','\'(0.520833-0.604167]\'','\'(0.604167-0.729167]\'','\'(0.729167-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.34]\'','\'(0.604167-0.729167]\'',5.1,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(0.395833-0.4375]\'',4.9,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(0.479167-0.520833]\'',4.7,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(0.4375-0.479167]\'',4.6,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.604167-0.729167]\'',5,1.4,Iris-setosa
'\'(0.34-0.58]\'','\'(0.729167-inf)\'',5.4,1.7,Iris-setosa
'\'(-inf-0.34]\'','\'(0.520833-0.604167]\'',4.6,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(0.520833-0.604167]\'',5,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.354167-0.395833]\'',4.4,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(0.4375-0.479167]\'',4.9,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.604167-0.729167]\'',5.4,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.520833-0.604167]\'',4.8,1.6,Iris-setosa
'\'(-inf-0.34]\'','\'(0.395833-0.4375]\'',4.8,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(0.395833-0.4375]\'',4.3,1.1,Iris-setosa
'\'(-inf-0.34]\'','\'(0.729167-inf)\'',5.8,1.2,Iris-setosa
'\'(0.34-0.58]\'','\'(0.729167-inf)\'',5.7,1.5,Iris-setosa
'\'(0.34-0.58]\'','\'(0.729167-inf)\'',5.4,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(0.604167-0.729167]\'',5.1,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(0.729167-inf)\'',5.7,1.7,Iris-setosa
'\'(-inf-0.34]\'','\'(0.729167-inf)\'',5.1,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.520833-0.604167]\'',5.4,1.7,Iris-setosa
'\'(0.34-0.58]\'','\'(0.604167-0.729167]\'',5.1,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.604167-0.729167]\'',4.6,1,Iris-setosa
'\'(0.34-0.58]\'','\'(0.520833-0.604167]\'',5.1,1.7,Iris-setosa
'\'(-inf-0.34]\'','\'(0.520833-0.604167]\'',4.8,1.9,Iris-setosa
'\'(-inf-0.34]\'','\'(0.395833-0.4375]\'',5,1.6,Iris-setosa
'\'(0.34-0.58]\'','\'(0.520833-0.604167]\'',5,1.6,Iris-setosa
'\'(-inf-0.34]\'','\'(0.604167-0.729167]\'',5.2,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.520833-0.604167]\'',5.2,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(0.479167-0.520833]\'',4.7,1.6,Iris-setosa
'\'(-inf-0.34]\'','\'(0.4375-0.479167]\'',4.8,1.6,Iris-setosa
'\'(0.34-0.58]\'','\'(0.520833-0.604167]\'',5.4,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.729167-inf)\'',5.2,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.729167-inf)\'',5.5,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(0.4375-0.479167]\'',4.9,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.479167-0.520833]\'',5,1.2,Iris-setosa
'\'(-inf-0.34]\'','\'(0.604167-0.729167]\'',5.5,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(0.4375-0.479167]\'',4.9,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.395833-0.4375]\'',4.4,1.3,Iris-setosa
