@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-filtered-0-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.067797,'\'(5.05-5.35]\'',3.5,0.2,Iris-setosa
0.067797,'\'(4.85-5.05]\'',3,0.2,Iris-setosa
0.050847,'\'(-inf-4.85]\'',3.2,0.2,Iris-setosa
0.084746,'\'(-inf-4.85]\'',3.1,0.2,Iris-setosa
0.067797,'\'(4.85-5.05]\'',3.6,0.2,Iris-setosa
0.118644,'\'(5.35-5.55]\'',3.9,0.4,Iris-setosa
0.067797,'\'(-inf-4.85]\'',3.4,0.3,Iris-setosa
0.084746,'\'(4.85-5.05]\'',3.4,0.2,Iris-setosa
0.067797,'\'(-inf-4.85]\'',2.9,0.2,Iris-setosa
0.084746,'\'(4.85-5.05]\'',3.1,0.1,Iris-setosa
0.084746,'\'(5.35-5.55]\'',3.7,0.2,Iris-setosa
0.101695,'\'(-inf-4.85]\'',3.4,0.2,Iris-setosa
0.067797,'\'(-inf-4.85]\'',3,0.1,Iris-setosa
0.016949,'\'(-inf-4.85]\'',3,0.1,Iris-setosa
0.033898,'\'(5.75-6.05]\'',4,0.2,Iris-setosa
0.084746,'\'(5.55-5.75]\'',4.4,0.4,Iris-setosa
0.050847,'\'(5.35-5.55]\'',3.9,0.4,Iris-setosa
0.067797,'\'(5.05-5.35]\'',3.5,0.3,Iris-setosa
0.118644,'\'(5.55-5.75]\'',3.8,0.3,Iris-setosa
0.084746,'\'(5.05-5.35]\'',3.8,0.3,Iris-setosa
0.118644,'\'(5.35-5.55]\'',3.4,0.2,Iris-setosa
0.084746,'\'(5.05-5.35]\'',3.7,0.4,Iris-setosa
0,'\'(-inf-4.85]\'',3.6,0.2,Iris-setosa
0.118644,'\'(5.05-5.35]\'',3.3,0.5,Iris-setosa
0.152542,'\'(-inf-4.85]\'',3.4,0.2,Iris-setosa
0.101695,'\'(4.85-5.05]\'',3,0.2,Iris-setosa
0.101695,'\'(4.85-5.05]\'',3.4,0.4,Iris-setosa
0.084746,'\'(5.05-5.35]\'',3.5,0.2,Iris-setosa
0.067797,'\'(5.05-5.35]\'',3.4,0.2,Iris-setosa
0.101695,'\'(-inf-4.85]\'',3.2,0.2,Iris-setosa
0.101695,'\'(-inf-4.85]\'',3.1,0.2,Iris-setosa
0.084746,'\'(5.35-5.55]\'',3.4,0.4,Iris-setosa
0.084746,'\'(5.05-5.35]\'',4.1,0.1,Iris-setosa
0.067797,'\'(5.35-5.55]\'',4.2,0.2,Iris-setosa
0.084746,'\'(4.85-5.05]\'',3.1,0.1,Iris-setosa
0.033898,'\'(4.85-5.05]\'',3.2,0.2,Iris-setosa
0.050847,'\'(5.35-5.55]\'',3.5,0.2,Iris-setosa
0.084746,'\'(4.85-5.05]\'',3.1,0.1,Iris-setosa
0.050847,'\'(-inf-4.85]\'',3,0.2,Iris-setosa
0.084746,'\'(5.05-5.35]\'',3.4,0.2,Iris-setosa
0.050847,'\'(4.85-5.05]\'',3.5,0.3,Iris-setosa
0.050847,'\'(-inf-4.85]\'',2.3,0.3,Iris-setosa
0.050847,'\'(-inf-4.85]\'',3.2,0.2,Iris-setosa
0.101695,'\'(4.85-5.05]\'',3.5,0.6,Iris-setosa
0.152542,'\'(5.05-5.35]\'',3.8,0.4,Iris-setosa
0.067797,'\'(-inf-4.85]\'',3,0.3,Iris-setosa
0.101695,'\'(5.05-5.35]\'',3.8,0.2,Iris-setosa
0.067797,'\'(-inf-4.85]\'',3.2,0.2,Iris-setosa
0.084746,'\'(5.05-5.35]\'',3.7,0.2,Iris-setosa
0.067797,'\'(4.85-5.05]\'',3.3,0.2,Iris-setosa
0.627119,'\'(6.95-inf)\'',3.2,1.4,Iris-versicolor
0.59322,'\'(6.35-6.65]\'',3.2,1.5,Iris-versicolor
0.661017,'\'(6.65-6.95]\'',3.1,1.5,Iris-versicolor
0.508475,'\'(5.35-5.55]\'',2.3,1.3,Iris-versicolor
0.610169,'\'(6.35-6.65]\'',2.8,1.5,Iris-versicolor
0.59322,'\'(5.55-5.75]\'',2.8,1.3,Iris-versicolor
0.627119,'\'(6.05-6.35]\'',3.3,1.6,Iris-versicolor
0.389831,'\'(4.85-5.05]\'',2.4,1,Iris-versicolor
0.610169,'\'(6.35-6.65]\'',2.9,1.3,Iris-versicolor
0.491525,'\'(5.05-5.35]\'',2.7,1.4,Iris-versicolor
0.423729,'\'(4.85-5.05]\'',2,1,Iris-versicolor
0.542373,'\'(5.75-6.05]\'',3,1.5,Iris-versicolor
0.508475,'\'(5.75-6.05]\'',2.2,1,Iris-versicolor
0.627119,'\'(6.05-6.35]\'',2.9,1.4,Iris-versicolor
0.440678,'\'(5.55-5.75]\'',2.9,1.3,Iris-versicolor
0.576271,'\'(6.65-6.95]\'',3.1,1.4,Iris-versicolor
0.59322,'\'(5.55-5.75]\'',3,1.5,Iris-versicolor
0.525424,'\'(5.75-6.05]\'',2.7,1,Iris-versicolor
0.59322,'\'(6.05-6.35]\'',2.2,1.5,Iris-versicolor
0.491525,'\'(5.55-5.75]\'',2.5,1.1,Iris-versicolor
0.644068,'\'(5.75-6.05]\'',3.2,1.8,Iris-versicolor
0.508475,'\'(6.05-6.35]\'',2.8,1.3,Iris-versicolor
0.661017,'\'(6.05-6.35]\'',2.5,1.5,Iris-versicolor
0.627119,'\'(6.05-6.35]\'',2.8,1.2,Iris-versicolor
0.559322,'\'(6.35-6.65]\'',2.9,1.3,Iris-versicolor
0.576271,'\'(6.35-6.65]\'',3,1.4,Iris-versicolor
0.644068,'\'(6.65-6.95]\'',2.8,1.4,Iris-versicolor
0.677966,'\'(6.65-6.95]\'',3,1.7,Iris-versicolor
0.59322,'\'(5.75-6.05]\'',2.9,1.5,Iris-versicolor
0.423729,'\'(5.55-5.75]\'',2.6,1,Iris-versicolor
