@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3'

@attribute 'filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-filtered-0-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.336794,'\'(5.05-5.35]\'',3.5,0.2,Iris-setosa
-1.336794,'\'(4.85-5.05]\'',3,0.2,Iris-setosa
-1.39347,'\'(-inf-4.85]\'',3.2,0.2,Iris-setosa
-1.280118,'\'(-inf-4.85]\'',3.1,0.2,Iris-setosa
-1.336794,'\'(4.85-5.05]\'',3.6,0.2,Iris-setosa
-1.166767,'\'(5.35-5.55]\'',3.9,0.4,Iris-setosa
-1.336794,'\'(-inf-4.85]\'',3.4,0.3,Iris-setosa
-1.280118,'\'(4.85-5.05]\'',3.4,0.2,Iris-setosa
-1.336794,'\'(-inf-4.85]\'',2.9,0.2,Iris-setosa
-1.280118,'\'(4.85-5.05]\'',3.1,0.1,Iris-setosa
-1.280118,'\'(5.35-5.55]\'',3.7,0.2,Iris-setosa
-1.223442,'\'(-inf-4.85]\'',3.4,0.2,Iris-setosa
-1.336794,'\'(-inf-4.85]\'',3,0.1,Iris-setosa
-1.506822,'\'(-inf-4.85]\'',3,0.1,Iris-setosa
-1.450146,'\'(5.75-6.05]\'',4,0.2,Iris-setosa
-1.280118,'\'(5.55-5.75]\'',4.4,0.4,Iris-setosa
-1.39347,'\'(5.35-5.55]\'',3.9,0.4,Iris-setosa
-1.336794,'\'(5.05-5.35]\'',3.5,0.3,Iris-setosa
-1.166767,'\'(5.55-5.75]\'',3.8,0.3,Iris-setosa
-1.280118,'\'(5.05-5.35]\'',3.8,0.3,Iris-setosa
-1.166767,'\'(5.35-5.55]\'',3.4,0.2,Iris-setosa
-1.280118,'\'(5.05-5.35]\'',3.7,0.4,Iris-setosa
-1.563497,'\'(-inf-4.85]\'',3.6,0.2,Iris-setosa
-1.166767,'\'(5.05-5.35]\'',3.3,0.5,Iris-setosa
-1.053415,'\'(-inf-4.85]\'',3.4,0.2,Iris-setosa
-1.223442,'\'(4.85-5.05]\'',3,0.2,Iris-setosa
-1.223442,'\'(4.85-5.05]\'',3.4,0.4,Iris-setosa
-1.280118,'\'(5.05-5.35]\'',3.5,0.2,Iris-setosa
-1.336794,'\'(5.05-5.35]\'',3.4,0.2,Iris-setosa
-1.223442,'\'(-inf-4.85]\'',3.2,0.2,Iris-setosa
-1.223442,'\'(-inf-4.85]\'',3.1,0.2,Iris-setosa
-1.280118,'\'(5.35-5.55]\'',3.4,0.4,Iris-setosa
-1.280118,'\'(5.05-5.35]\'',4.1,0.1,Iris-setosa
-1.336794,'\'(5.35-5.55]\'',4.2,0.2,Iris-setosa
