@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,1.028611,5.1,1.4,Iris-setosa
0.041667,-0.12454,4.9,1.4,Iris-setosa
0.041667,0.33672,4.7,1.3,Iris-setosa
0.041667,0.10609,4.6,1.5,Iris-setosa
0.041667,1.259242,5,1.4,Iris-setosa
0.125,1.951133,5.4,1.7,Iris-setosa
0.083333,0.797981,4.6,1.4,Iris-setosa
0.041667,0.797981,5,1.5,Iris-setosa
0.041667,-0.355171,4.4,1.4,Iris-setosa
0,0.10609,4.9,1.5,Iris-setosa
0.041667,1.489872,5.4,1.5,Iris-setosa
0.041667,0.797981,4.8,1.6,Iris-setosa
0,-0.12454,4.8,1.4,Iris-setosa
0,-0.12454,4.3,1.1,Iris-setosa
0.041667,2.181763,5.8,1.2,Iris-setosa
0.125,3.104284,5.7,1.5,Iris-setosa
0.125,1.951133,5.4,1.3,Iris-setosa
0.083333,1.028611,5.1,1.4,Iris-setosa
0.083333,1.720502,5.7,1.7,Iris-setosa
0.083333,1.720502,5.1,1.5,Iris-setosa
0.041667,0.797981,5.4,1.7,Iris-setosa
0.125,1.489872,5.1,1.5,Iris-setosa
0.041667,1.259242,4.6,1,Iris-setosa
0.166667,0.567351,5.1,1.7,Iris-setosa
0.041667,0.797981,4.8,1.9,Iris-setosa
0.041667,-0.12454,5,1.6,Iris-setosa
0.125,0.797981,5,1.6,Iris-setosa
0.041667,1.028611,5.2,1.5,Iris-setosa
0.041667,0.797981,5.2,1.4,Iris-setosa
0.041667,0.33672,4.7,1.6,Iris-setosa
0.041667,0.10609,4.8,1.6,Iris-setosa
0.125,0.797981,5.4,1.5,Iris-setosa
0,2.412393,5.2,1.5,Iris-setosa
0.041667,2.643024,5.5,1.4,Iris-setosa
0,0.10609,4.9,1.5,Iris-setosa
0.041667,0.33672,5,1.2,Iris-setosa
0.041667,1.028611,5.5,1.3,Iris-setosa
0,0.10609,4.9,1.5,Iris-setosa
0.041667,-0.12454,4.4,1.3,Iris-setosa
0.041667,0.797981,5.1,1.5,Iris-setosa
0.083333,1.028611,5,1.3,Iris-setosa
0.083333,-1.738953,4.5,1.3,Iris-setosa
0.041667,0.33672,4.4,1.3,Iris-setosa
0.208333,1.028611,5,1.6,Iris-setosa
0.125,1.720502,5.1,1.9,Iris-setosa
0.083333,-0.12454,4.8,1.4,Iris-setosa
0.041667,1.720502,5.1,1.6,Iris-setosa
0.041667,0.33672,4.6,1.4,Iris-setosa
