@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf--1.877331]\'','\'(-1.877331--1.323818]\'','\'(-1.323818--0.770305]\'','\'(-0.770305--0.216793]\'','\'(-0.216793-0.33672]\'','\'(0.33672-0.890233]\'','\'(0.890233-1.443746]\'','\'(1.443746-1.997259]\'','\'(1.997259-2.550771]\'','\'(2.550771-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,'\'(0.890233-1.443746]\'',5.1,1.4,Iris-setosa
0.041667,'\'(-0.216793-0.33672]\'',4.9,1.4,Iris-setosa
0.041667,'\'(-0.216793-0.33672]\'',4.7,1.3,Iris-setosa
0.041667,'\'(-0.216793-0.33672]\'',4.6,1.5,Iris-setosa
0.041667,'\'(0.890233-1.443746]\'',5,1.4,Iris-setosa
0.125,'\'(1.443746-1.997259]\'',5.4,1.7,Iris-setosa
0.083333,'\'(0.33672-0.890233]\'',4.6,1.4,Iris-setosa
0.041667,'\'(0.33672-0.890233]\'',5,1.5,Iris-setosa
0.041667,'\'(-0.770305--0.216793]\'',4.4,1.4,Iris-setosa
0,'\'(-0.216793-0.33672]\'',4.9,1.5,Iris-setosa
0.041667,'\'(1.443746-1.997259]\'',5.4,1.5,Iris-setosa
0.041667,'\'(0.33672-0.890233]\'',4.8,1.6,Iris-setosa
0,'\'(-0.216793-0.33672]\'',4.8,1.4,Iris-setosa
0,'\'(-0.216793-0.33672]\'',4.3,1.1,Iris-setosa
0.041667,'\'(1.997259-2.550771]\'',5.8,1.2,Iris-setosa
0.125,'\'(2.550771-inf)\'',5.7,1.5,Iris-setosa
0.125,'\'(1.443746-1.997259]\'',5.4,1.3,Iris-setosa
0.083333,'\'(0.890233-1.443746]\'',5.1,1.4,Iris-setosa
0.083333,'\'(1.443746-1.997259]\'',5.7,1.7,Iris-setosa
0.083333,'\'(1.443746-1.997259]\'',5.1,1.5,Iris-setosa
0.041667,'\'(0.33672-0.890233]\'',5.4,1.7,Iris-setosa
0.125,'\'(1.443746-1.997259]\'',5.1,1.5,Iris-setosa
0.041667,'\'(0.890233-1.443746]\'',4.6,1,Iris-setosa
0.166667,'\'(0.33672-0.890233]\'',5.1,1.7,Iris-setosa
0.041667,'\'(0.33672-0.890233]\'',4.8,1.9,Iris-setosa
0.041667,'\'(-0.216793-0.33672]\'',5,1.6,Iris-setosa
0.125,'\'(0.33672-0.890233]\'',5,1.6,Iris-setosa
0.041667,'\'(0.890233-1.443746]\'',5.2,1.5,Iris-setosa
0.041667,'\'(0.33672-0.890233]\'',5.2,1.4,Iris-setosa
0.041667,'\'(-0.216793-0.33672]\'',4.7,1.6,Iris-setosa
0.041667,'\'(-0.216793-0.33672]\'',4.8,1.6,Iris-setosa
0.125,'\'(0.33672-0.890233]\'',5.4,1.5,Iris-setosa
0,'\'(1.997259-2.550771]\'',5.2,1.5,Iris-setosa
0.041667,'\'(2.550771-inf)\'',5.5,1.4,Iris-setosa
0,'\'(-0.216793-0.33672]\'',4.9,1.5,Iris-setosa
0.041667,'\'(-0.216793-0.33672]\'',5,1.2,Iris-setosa
0.041667,'\'(0.890233-1.443746]\'',5.5,1.3,Iris-setosa
0,'\'(-0.216793-0.33672]\'',4.9,1.5,Iris-setosa
0.041667,'\'(-0.216793-0.33672]\'',4.4,1.3,Iris-setosa
0.041667,'\'(0.33672-0.890233]\'',5.1,1.5,Iris-setosa
