@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf--1.877331]\'','\'(-1.877331--1.323818]\'','\'(-1.323818--0.770305]\'','\'(-0.770305--0.216793]\'','\'(-0.216793-0.33672]\'','\'(0.33672-0.890233]\'','\'(0.890233-1.443746]\'','\'(1.443746-1.997259]\'','\'(1.997259-2.550771]\'','\'(2.550771-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.15-0.25]\'','\'(0.890233-1.443746]\'',5.1,1.4,Iris-setosa
'\'(0.15-0.25]\'','\'(-0.216793-0.33672]\'',4.9,1.4,Iris-setosa
'\'(0.15-0.25]\'','\'(-0.216793-0.33672]\'',4.7,1.3,Iris-setosa
'\'(0.15-0.25]\'','\'(-0.216793-0.33672]\'',4.6,1.5,Iris-setosa
'\'(0.15-0.25]\'','\'(0.890233-1.443746]\'',5,1.4,Iris-setosa
'\'(0.25-0.55]\'','\'(1.443746-1.997259]\'',5.4,1.7,Iris-setosa
'\'(0.25-0.55]\'','\'(0.33672-0.890233]\'',4.6,1.4,Iris-setosa
'\'(0.15-0.25]\'','\'(0.33672-0.890233]\'',5,1.5,Iris-setosa
'\'(0.15-0.25]\'','\'(-0.770305--0.216793]\'',4.4,1.4,Iris-setosa
'\'(-inf-0.15]\'','\'(-0.216793-0.33672]\'',4.9,1.5,Iris-setosa
'\'(0.15-0.25]\'','\'(1.443746-1.997259]\'',5.4,1.5,Iris-setosa
'\'(0.15-0.25]\'','\'(0.33672-0.890233]\'',4.8,1.6,Iris-setosa
'\'(-inf-0.15]\'','\'(-0.216793-0.33672]\'',4.8,1.4,Iris-setosa
'\'(-inf-0.15]\'','\'(-0.216793-0.33672]\'',4.3,1.1,Iris-setosa
