@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(1.35-1.45]\'','\'(0.6-0.7]\'',5.1,0.2,Iris-setosa
'\'(1.35-1.45]\'','\'(0.4-0.5]\'',4.9,0.2,Iris-setosa
'\'(-inf-1.35]\'','\'(0.4-0.5]\'',4.7,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(0.4-0.5]\'',4.6,0.2,Iris-setosa
'\'(1.35-1.45]\'','\'(0.6-0.7]\'',5,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(0.7-0.8]\'',5.4,0.4,Iris-setosa
'\'(1.35-1.45]\'','\'(0.5-0.6]\'',4.6,0.3,Iris-setosa
'\'(1.45-1.55]\'','\'(0.5-0.6]\'',5,0.2,Iris-setosa
'\'(1.35-1.45]\'','\'(0.3-0.4]\'',4.4,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(0.4-0.5]\'',4.9,0.1,Iris-setosa
'\'(1.45-1.55]\'','\'(0.7-0.8]\'',5.4,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(0.5-0.6]\'',4.8,0.2,Iris-setosa
'\'(1.35-1.45]\'','\'(0.4-0.5]\'',4.8,0.1,Iris-setosa
'\'(-inf-1.35]\'','\'(0.4-0.5]\'',4.3,0.1,Iris-setosa
'\'(-inf-1.35]\'','\'(0.8-0.9]\'',5.8,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(0.9-inf)\'',5.7,0.4,Iris-setosa
'\'(-inf-1.35]\'','\'(0.7-0.8]\'',5.4,0.4,Iris-setosa
'\'(1.35-1.45]\'','\'(0.6-0.7]\'',5.1,0.3,Iris-setosa
'\'(1.55-3.4]\'','\'(0.7-0.8]\'',5.7,0.3,Iris-setosa
'\'(1.45-1.55]\'','\'(0.7-0.8]\'',5.1,0.3,Iris-setosa
'\'(1.55-3.4]\'','\'(0.5-0.6]\'',5.4,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(0.7-0.8]\'',5.1,0.4,Iris-setosa
'\'(-inf-1.35]\'','\'(0.6-0.7]\'',4.6,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(0.5-0.6]\'',5.1,0.5,Iris-setosa
'\'(1.55-3.4]\'','\'(0.5-0.6]\'',4.8,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(0.4-0.5]\'',5,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(0.5-0.6]\'',5,0.4,Iris-setosa
