@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3'

@attribute 'filtered-0-unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf--1.162377]\'','\'(-1.162377--0.701116]\'','\'(-0.701116--0.470486]\'','\'(-0.470486--0.239856]\'','\'(-0.239856--0.009225]\'','\'(-0.009225-0.221405]\'','\'(0.221405-0.452035]\'','\'(0.452035-0.913296]\'','\'(0.913296-1.605187]\'','\'(1.605187-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.336794,'\'(0.913296-1.605187]\'',5.1,0.2,Iris-setosa
-1.336794,'\'(-0.239856--0.009225]\'',4.9,0.2,Iris-setosa
-1.39347,'\'(0.221405-0.452035]\'',4.7,0.2,Iris-setosa
-1.280118,'\'(-0.009225-0.221405]\'',4.6,0.2,Iris-setosa
-1.336794,'\'(0.913296-1.605187]\'',5,0.2,Iris-setosa
-1.166767,'\'(1.605187-inf)\'',5.4,0.4,Iris-setosa
-1.336794,'\'(0.452035-0.913296]\'',4.6,0.3,Iris-setosa
-1.280118,'\'(0.452035-0.913296]\'',5,0.2,Iris-setosa
-1.336794,'\'(-0.470486--0.239856]\'',4.4,0.2,Iris-setosa
-1.280118,'\'(-0.009225-0.221405]\'',4.9,0.1,Iris-setosa
-1.280118,'\'(0.913296-1.605187]\'',5.4,0.2,Iris-setosa
-1.223442,'\'(0.452035-0.913296]\'',4.8,0.2,Iris-setosa
-1.336794,'\'(-0.239856--0.009225]\'',4.8,0.1,Iris-setosa
-1.506822,'\'(-0.239856--0.009225]\'',4.3,0.1,Iris-setosa
-1.450146,'\'(1.605187-inf)\'',5.8,0.2,Iris-setosa
-1.280118,'\'(1.605187-inf)\'',5.7,0.4,Iris-setosa
-1.39347,'\'(1.605187-inf)\'',5.4,0.4,Iris-setosa
-1.336794,'\'(0.913296-1.605187]\'',5.1,0.3,Iris-setosa
-1.166767,'\'(1.605187-inf)\'',5.7,0.3,Iris-setosa
-1.280118,'\'(1.605187-inf)\'',5.1,0.3,Iris-setosa
-1.166767,'\'(0.452035-0.913296]\'',5.4,0.2,Iris-setosa
-1.280118,'\'(0.913296-1.605187]\'',5.1,0.4,Iris-setosa
-1.563497,'\'(0.913296-1.605187]\'',4.6,0.2,Iris-setosa
-1.166767,'\'(0.452035-0.913296]\'',5.1,0.5,Iris-setosa
-1.053415,'\'(0.452035-0.913296]\'',4.8,0.2,Iris-setosa
-1.223442,'\'(-0.239856--0.009225]\'',5,0.2,Iris-setosa
-1.223442,'\'(0.452035-0.913296]\'',5,0.4,Iris-setosa
-1.280118,'\'(0.913296-1.605187]\'',5.2,0.2,Iris-setosa
-1.336794,'\'(0.452035-0.913296]\'',5.2,0.2,Iris-setosa
-1.223442,'\'(0.221405-0.452035]\'',4.7,0.2,Iris-setosa
-1.223442,'\'(-0.009225-0.221405]\'',4.8,0.2,Iris-setosa
-1.280118,'\'(0.452035-0.913296]\'',5.4,0.4,Iris-setosa
-1.280118,'\'(1.605187-inf)\'',5.2,0.1,Iris-setosa
-1.336794,'\'(1.605187-inf)\'',5.5,0.2,Iris-setosa
-1.280118,'\'(-0.009225-0.221405]\'',4.9,0.1,Iris-setosa
-1.450146,'\'(0.221405-0.452035]\'',5,0.2,Iris-setosa
-1.39347,'\'(0.913296-1.605187]\'',5.5,0.2,Iris-setosa
-1.280118,'\'(-0.009225-0.221405]\'',4.9,0.1,Iris-setosa
-1.39347,'\'(-0.239856--0.009225]\'',4.4,0.2,Iris-setosa
-1.280118,'\'(0.452035-0.913296]\'',5.1,0.2,Iris-setosa
-1.39347,'\'(0.913296-1.605187]\'',5,0.3,Iris-setosa
-1.39347,'\'(-inf--1.162377]\'',4.5,0.3,Iris-setosa
-1.39347,'\'(0.221405-0.452035]\'',4.4,0.2,Iris-setosa
-1.223442,'\'(0.913296-1.605187]\'',5,0.6,Iris-setosa
-1.053415,'\'(1.605187-inf)\'',5.1,0.4,Iris-setosa
-1.336794,'\'(-0.239856--0.009225]\'',4.8,0.3,Iris-setosa
-1.223442,'\'(1.605187-inf)\'',5.1,0.2,Iris-setosa
