@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf--1.162377]\'','\'(-1.162377--0.701116]\'','\'(-0.701116--0.470486]\'','\'(-0.470486--0.239856]\'','\'(-0.239856--0.009225]\'','\'(-0.009225-0.221405]\'','\'(0.221405-0.452035]\'','\'(0.452035-0.913296]\'','\'(0.913296-1.605187]\'','\'(1.605187-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-1.59]\'','\'(0.913296-1.605187]\'',5.1,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(-0.239856--0.009225]\'',4.9,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(0.221405-0.452035]\'',4.7,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(-0.009225-0.221405]\'',4.6,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(0.913296-1.605187]\'',5,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(1.605187-inf)\'',5.4,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(0.452035-0.913296]\'',4.6,0.3,Iris-setosa
'\'(-inf-1.59]\'','\'(0.452035-0.913296]\'',5,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(-0.470486--0.239856]\'',4.4,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(-0.009225-0.221405]\'',4.9,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(0.913296-1.605187]\'',5.4,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(0.452035-0.913296]\'',4.8,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(-0.239856--0.009225]\'',4.8,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(-0.239856--0.009225]\'',4.3,0.1,Iris-setosa
