@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf--1.162377]\'','\'(-1.162377--0.701116]\'','\'(-0.701116--0.470486]\'','\'(-0.470486--0.239856]\'','\'(-0.239856--0.009225]\'','\'(-0.009225-0.221405]\'','\'(0.221405-0.452035]\'','\'(0.452035-0.913296]\'','\'(0.913296-1.605187]\'','\'(1.605187-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(1.35-1.45]\'','\'(0.913296-1.605187]\'',5.1,0.2,Iris-setosa
'\'(1.35-1.45]\'','\'(-0.239856--0.009225]\'',4.9,0.2,Iris-setosa
'\'(-inf-1.35]\'','\'(0.221405-0.452035]\'',4.7,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(-0.009225-0.221405]\'',4.6,0.2,Iris-setosa
'\'(1.35-1.45]\'','\'(0.913296-1.605187]\'',5,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(1.605187-inf)\'',5.4,0.4,Iris-setosa
'\'(1.35-1.45]\'','\'(0.452035-0.913296]\'',4.6,0.3,Iris-setosa
'\'(1.45-1.55]\'','\'(0.452035-0.913296]\'',5,0.2,Iris-setosa
'\'(1.35-1.45]\'','\'(-0.470486--0.239856]\'',4.4,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(-0.009225-0.221405]\'',4.9,0.1,Iris-setosa
'\'(1.45-1.55]\'','\'(0.913296-1.605187]\'',5.4,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(0.452035-0.913296]\'',4.8,0.2,Iris-setosa
'\'(1.35-1.45]\'','\'(-0.239856--0.009225]\'',4.8,0.1,Iris-setosa
'\'(-inf-1.35]\'','\'(-0.239856--0.009225]\'',4.3,0.1,Iris-setosa
'\'(-inf-1.35]\'','\'(1.605187-inf)\'',5.8,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(1.605187-inf)\'',5.7,0.4,Iris-setosa
'\'(-inf-1.35]\'','\'(1.605187-inf)\'',5.4,0.4,Iris-setosa
'\'(1.35-1.45]\'','\'(0.913296-1.605187]\'',5.1,0.3,Iris-setosa
'\'(1.55-3.4]\'','\'(1.605187-inf)\'',5.7,0.3,Iris-setosa
'\'(1.45-1.55]\'','\'(1.605187-inf)\'',5.1,0.3,Iris-setosa
'\'(1.55-3.4]\'','\'(0.452035-0.913296]\'',5.4,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(0.913296-1.605187]\'',5.1,0.4,Iris-setosa
'\'(-inf-1.35]\'','\'(0.913296-1.605187]\'',4.6,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(0.452035-0.913296]\'',5.1,0.5,Iris-setosa
'\'(1.55-3.4]\'','\'(0.452035-0.913296]\'',4.8,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(-0.239856--0.009225]\'',5,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(0.452035-0.913296]\'',5,0.4,Iris-setosa
'\'(1.45-1.55]\'','\'(0.913296-1.605187]\'',5.2,0.2,Iris-setosa
'\'(1.35-1.45]\'','\'(0.452035-0.913296]\'',5.2,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(0.221405-0.452035]\'',4.7,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(-0.009225-0.221405]\'',4.8,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(0.452035-0.913296]\'',5.4,0.4,Iris-setosa
'\'(1.45-1.55]\'','\'(1.605187-inf)\'',5.2,0.1,Iris-setosa
'\'(1.35-1.45]\'','\'(1.605187-inf)\'',5.5,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(-0.009225-0.221405]\'',4.9,0.1,Iris-setosa
'\'(-inf-1.35]\'','\'(0.221405-0.452035]\'',5,0.2,Iris-setosa
'\'(-inf-1.35]\'','\'(0.913296-1.605187]\'',5.5,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(-0.009225-0.221405]\'',4.9,0.1,Iris-setosa
'\'(-inf-1.35]\'','\'(-0.239856--0.009225]\'',4.4,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(0.452035-0.913296]\'',5.1,0.2,Iris-setosa
'\'(-inf-1.35]\'','\'(0.913296-1.605187]\'',5,0.3,Iris-setosa
'\'(-inf-1.35]\'','\'(-inf--1.162377]\'',4.5,0.3,Iris-setosa
'\'(-inf-1.35]\'','\'(0.221405-0.452035]\'',4.4,0.2,Iris-setosa
'\'(1.55-3.4]\'','\'(0.913296-1.605187]\'',5,0.6,Iris-setosa
'\'(1.55-3.4]\'','\'(1.605187-inf)\'',5.1,0.4,Iris-setosa
'\'(1.35-1.45]\'','\'(-0.239856--0.009225]\'',4.8,0.3,Iris-setosa
'\'(1.55-3.4]\'','\'(1.605187-inf)\'',5.1,0.2,Iris-setosa
'\'(1.35-1.45]\'','\'(0.221405-0.452035]\'',4.6,0.2,Iris-setosa
'\'(1.45-1.55]\'','\'(0.913296-1.605187]\'',5.3,0.2,Iris-setosa
'\'(1.35-1.45]\'','\'(0.452035-0.913296]\'',5,0.2,Iris-setosa
'\'(4.55-4.95]\'','\'(0.221405-0.452035]\'',7,1.4,Iris-versicolor
'\'(4.15-4.55]\'','\'(0.221405-0.452035]\'',6.4,1.5,Iris-versicolor
'\'(4.55-4.95]\'','\'(-0.009225-0.221405]\'',6.9,1.5,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf--1.162377]\'',5.5,1.3,Iris-versicolor
'\'(4.55-4.95]\'','\'(-0.701116--0.470486]\'',6.5,1.5,Iris-versicolor
'\'(4.15-4.55]\'','\'(-0.701116--0.470486]\'',5.7,1.3,Iris-versicolor
'\'(4.55-4.95]\'','\'(0.452035-0.913296]\'',6.3,1.6,Iris-versicolor
'\'(1.55-3.4]\'','\'(-inf--1.162377]\'',4.9,1,Iris-versicolor
'\'(4.55-4.95]\'','\'(-0.470486--0.239856]\'',6.6,1.3,Iris-versicolor
'\'(3.4-4.15]\'','\'(-1.162377--0.701116]\'',5.2,1.4,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf--1.162377]\'',5,1,Iris-versicolor
'\'(4.15-4.55]\'','\'(-0.239856--0.009225]\'',5.9,1.5,Iris-versicolor
'\'(3.4-4.15]\'','\'(-inf--1.162377]\'',6,1,Iris-versicolor
'\'(4.55-4.95]\'','\'(-0.470486--0.239856]\'',6.1,1.4,Iris-versicolor
'\'(3.4-4.15]\'','\'(-0.470486--0.239856]\'',5.6,1.3,Iris-versicolor
'\'(4.15-4.55]\'','\'(-0.009225-0.221405]\'',6.7,1.4,Iris-versicolor
