@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.308593,'\'(3.45-3.75]\'',5.1,1.4,Iris-setosa
-1.308593,'\'(2.95-3.05]\'',4.9,1.4,Iris-setosa
-1.308593,'\'(3.15-3.25]\'',4.7,1.3,Iris-setosa
-1.308593,'\'(3.05-3.15]\'',4.6,1.5,Iris-setosa
-1.308593,'\'(3.45-3.75]\'',5,1.4,Iris-setosa
-1.046525,'\'(3.75-inf)\'',5.4,1.7,Iris-setosa
-1.177559,'\'(3.25-3.45]\'',4.6,1.4,Iris-setosa
-1.308593,'\'(3.25-3.45]\'',5,1.5,Iris-setosa
-1.308593,'\'(2.85-2.95]\'',4.4,1.4,Iris-setosa
-1.439627,'\'(3.05-3.15]\'',4.9,1.5,Iris-setosa
-1.308593,'\'(3.45-3.75]\'',5.4,1.5,Iris-setosa
-1.308593,'\'(3.25-3.45]\'',4.8,1.6,Iris-setosa
-1.439627,'\'(2.95-3.05]\'',4.8,1.4,Iris-setosa
-1.439627,'\'(2.95-3.05]\'',4.3,1.1,Iris-setosa
-1.308593,'\'(3.75-inf)\'',5.8,1.2,Iris-setosa
-1.046525,'\'(3.75-inf)\'',5.7,1.5,Iris-setosa
-1.046525,'\'(3.75-inf)\'',5.4,1.3,Iris-setosa
-1.177559,'\'(3.45-3.75]\'',5.1,1.4,Iris-setosa
-1.177559,'\'(3.75-inf)\'',5.7,1.7,Iris-setosa
-1.177559,'\'(3.75-inf)\'',5.1,1.5,Iris-setosa
-1.308593,'\'(3.25-3.45]\'',5.4,1.7,Iris-setosa
-1.046525,'\'(3.45-3.75]\'',5.1,1.5,Iris-setosa
-1.308593,'\'(3.45-3.75]\'',4.6,1,Iris-setosa
-0.915491,'\'(3.25-3.45]\'',5.1,1.7,Iris-setosa
-1.308593,'\'(3.25-3.45]\'',4.8,1.9,Iris-setosa
-1.308593,'\'(2.95-3.05]\'',5,1.6,Iris-setosa
-1.046525,'\'(3.25-3.45]\'',5,1.6,Iris-setosa
-1.308593,'\'(3.45-3.75]\'',5.2,1.5,Iris-setosa
-1.308593,'\'(3.25-3.45]\'',5.2,1.4,Iris-setosa
-1.308593,'\'(3.15-3.25]\'',4.7,1.6,Iris-setosa
-1.308593,'\'(3.05-3.15]\'',4.8,1.6,Iris-setosa
-1.046525,'\'(3.25-3.45]\'',5.4,1.5,Iris-setosa
-1.439627,'\'(3.75-inf)\'',5.2,1.5,Iris-setosa
-1.308593,'\'(3.75-inf)\'',5.5,1.4,Iris-setosa
-1.439627,'\'(3.05-3.15]\'',4.9,1.5,Iris-setosa
-1.308593,'\'(3.15-3.25]\'',5,1.2,Iris-setosa
-1.308593,'\'(3.45-3.75]\'',5.5,1.3,Iris-setosa
-1.439627,'\'(3.05-3.15]\'',4.9,1.5,Iris-setosa
-1.308593,'\'(2.95-3.05]\'',4.4,1.3,Iris-setosa
-1.308593,'\'(3.25-3.45]\'',5.1,1.5,Iris-setosa
-1.177559,'\'(3.45-3.75]\'',5,1.3,Iris-setosa
-1.177559,'\'(-inf-2.55]\'',4.5,1.3,Iris-setosa
-1.308593,'\'(3.15-3.25]\'',4.4,1.3,Iris-setosa
-0.784457,'\'(3.45-3.75]\'',5,1.6,Iris-setosa
-1.046525,'\'(3.75-inf)\'',5.1,1.9,Iris-setosa
-1.177559,'\'(2.95-3.05]\'',4.8,1.4,Iris-setosa
-1.308593,'\'(3.75-inf)\'',5.1,1.6,Iris-setosa
-1.308593,'\'(3.15-3.25]\'',4.6,1.4,Iris-setosa
-1.308593,'\'(3.45-3.75]\'',5.3,1.5,Iris-setosa
-1.308593,'\'(3.25-3.45]\'',5,1.4,Iris-setosa
0.263815,'\'(3.15-3.25]\'',7,4.7,Iris-versicolor
0.394849,'\'(3.15-3.25]\'',6.4,4.5,Iris-versicolor
0.394849,'\'(3.05-3.15]\'',6.9,4.9,Iris-versicolor
0.132781,'\'(-inf-2.55]\'',5.5,4,Iris-versicolor
0.394849,'\'(2.75-2.85]\'',6.5,4.6,Iris-versicolor
0.132781,'\'(2.75-2.85]\'',5.7,4.5,Iris-versicolor
0.525883,'\'(3.25-3.45]\'',6.3,4.7,Iris-versicolor
-0.260321,'\'(-inf-2.55]\'',4.9,3.3,Iris-versicolor
0.132781,'\'(2.85-2.95]\'',6.6,4.6,Iris-versicolor
0.263815,'\'(2.55-2.75]\'',5.2,3.9,Iris-versicolor
-0.260321,'\'(-inf-2.55]\'',5,3.5,Iris-versicolor
0.394849,'\'(2.95-3.05]\'',5.9,4.2,Iris-versicolor
-0.260321,'\'(-inf-2.55]\'',6,4,Iris-versicolor
0.263815,'\'(2.85-2.95]\'',6.1,4.7,Iris-versicolor
0.132781,'\'(2.85-2.95]\'',5.6,3.6,Iris-versicolor
0.263815,'\'(3.05-3.15]\'',6.7,4.4,Iris-versicolor
0.394849,'\'(2.95-3.05]\'',5.6,4.5,Iris-versicolor
-0.260321,'\'(2.55-2.75]\'',5.8,4.1,Iris-versicolor
0.394849,'\'(-inf-2.55]\'',6.2,4.5,Iris-versicolor
-0.129287,'\'(-inf-2.55]\'',5.6,3.9,Iris-versicolor
0.787951,'\'(3.15-3.25]\'',5.9,4.8,Iris-versicolor
0.132781,'\'(2.75-2.85]\'',6.1,4,Iris-versicolor
0.394849,'\'(-inf-2.55]\'',6.3,4.9,Iris-versicolor
0.001747,'\'(2.75-2.85]\'',6.1,4.7,Iris-versicolor
0.132781,'\'(2.85-2.95]\'',6.4,4.3,Iris-versicolor
0.263815,'\'(2.95-3.05]\'',6.6,4.4,Iris-versicolor
0.263815,'\'(2.75-2.85]\'',6.8,4.8,Iris-versicolor
0.656917,'\'(2.95-3.05]\'',6.7,5,Iris-versicolor
0.394849,'\'(2.85-2.95]\'',6,4.5,Iris-versicolor
-0.260321,'\'(2.55-2.75]\'',5.7,3.5,Iris-versicolor
-0.129287,'\'(-inf-2.55]\'',5.5,3.8,Iris-versicolor
-0.260321,'\'(-inf-2.55]\'',5.5,3.7,Iris-versicolor
0.001747,'\'(2.55-2.75]\'',5.8,3.9,Iris-versicolor
0.525883,'\'(2.55-2.75]\'',6,5.1,Iris-versicolor
0.394849,'\'(2.95-3.05]\'',5.4,4.5,Iris-versicolor
0.525883,'\'(3.25-3.45]\'',6,4.5,Iris-versicolor
0.394849,'\'(3.05-3.15]\'',6.7,4.7,Iris-versicolor
0.132781,'\'(-inf-2.55]\'',6.3,4.4,Iris-versicolor
