@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,'\'(-inf-0.1]\'',5.1,3.5,Iris-setosa
0.041667,'\'(-inf-0.1]\'',4.9,3,Iris-setosa
0.041667,'\'(-inf-0.1]\'',4.7,3.2,Iris-setosa
0.041667,'\'(-inf-0.1]\'',4.6,3.1,Iris-setosa
0.041667,'\'(-inf-0.1]\'',5,3.6,Iris-setosa
0.125,'\'(0.1-0.2]\'',5.4,3.9,Iris-setosa
0.083333,'\'(-inf-0.1]\'',4.6,3.4,Iris-setosa
0.041667,'\'(-inf-0.1]\'',5,3.4,Iris-setosa
0.041667,'\'(-inf-0.1]\'',4.4,2.9,Iris-setosa
0,'\'(-inf-0.1]\'',4.9,3.1,Iris-setosa
0.041667,'\'(-inf-0.1]\'',5.4,3.7,Iris-setosa
0.041667,'\'(0.1-0.2]\'',4.8,3.4,Iris-setosa
0,'\'(-inf-0.1]\'',4.8,3,Iris-setosa
0,'\'(-inf-0.1]\'',4.3,3,Iris-setosa
0.041667,'\'(-inf-0.1]\'',5.8,4,Iris-setosa
0.125,'\'(-inf-0.1]\'',5.7,4.4,Iris-setosa
0.125,'\'(-inf-0.1]\'',5.4,3.9,Iris-setosa
0.083333,'\'(-inf-0.1]\'',5.1,3.5,Iris-setosa
0.083333,'\'(0.1-0.2]\'',5.7,3.8,Iris-setosa
0.083333,'\'(-inf-0.1]\'',5.1,3.8,Iris-setosa
0.041667,'\'(0.1-0.2]\'',5.4,3.4,Iris-setosa
0.125,'\'(-inf-0.1]\'',5.1,3.7,Iris-setosa
0.041667,'\'(-inf-0.1]\'',4.6,3.6,Iris-setosa
0.166667,'\'(0.1-0.2]\'',5.1,3.3,Iris-setosa
0.041667,'\'(0.1-0.2]\'',4.8,3.4,Iris-setosa
0.041667,'\'(0.1-0.2]\'',5,3,Iris-setosa
0.125,'\'(0.1-0.2]\'',5,3.4,Iris-setosa
0.041667,'\'(-inf-0.1]\'',5.2,3.5,Iris-setosa
0.041667,'\'(-inf-0.1]\'',5.2,3.4,Iris-setosa
0.041667,'\'(0.1-0.2]\'',4.7,3.2,Iris-setosa
0.041667,'\'(0.1-0.2]\'',4.8,3.1,Iris-setosa
0.125,'\'(-inf-0.1]\'',5.4,3.4,Iris-setosa
0,'\'(-inf-0.1]\'',5.2,4.1,Iris-setosa
0.041667,'\'(-inf-0.1]\'',5.5,4.2,Iris-setosa
0,'\'(-inf-0.1]\'',4.9,3.1,Iris-setosa
0.041667,'\'(-inf-0.1]\'',5,3.2,Iris-setosa
0.041667,'\'(-inf-0.1]\'',5.5,3.5,Iris-setosa
0,'\'(-inf-0.1]\'',4.9,3.1,Iris-setosa
0.041667,'\'(-inf-0.1]\'',4.4,3,Iris-setosa
0.041667,'\'(-inf-0.1]\'',5.1,3.4,Iris-setosa
0.083333,'\'(-inf-0.1]\'',5,3.5,Iris-setosa
0.083333,'\'(-inf-0.1]\'',4.5,2.3,Iris-setosa
0.041667,'\'(-inf-0.1]\'',4.4,3.2,Iris-setosa
0.208333,'\'(0.1-0.2]\'',5,3.5,Iris-setosa
0.125,'\'(0.1-0.2]\'',5.1,3.8,Iris-setosa
0.083333,'\'(-inf-0.1]\'',4.8,3,Iris-setosa
