@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.308593,'\'(-inf-0.1]\'',5.1,3.5,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',4.9,3,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',4.7,3.2,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',4.6,3.1,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',5,3.6,Iris-setosa
-1.046525,'\'(0.1-0.2]\'',5.4,3.9,Iris-setosa
-1.177559,'\'(-inf-0.1]\'',4.6,3.4,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',5,3.4,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',4.4,2.9,Iris-setosa
-1.439627,'\'(-inf-0.1]\'',4.9,3.1,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',5.4,3.7,Iris-setosa
-1.308593,'\'(0.1-0.2]\'',4.8,3.4,Iris-setosa
-1.439627,'\'(-inf-0.1]\'',4.8,3,Iris-setosa
-1.439627,'\'(-inf-0.1]\'',4.3,3,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',5.8,4,Iris-setosa
-1.046525,'\'(-inf-0.1]\'',5.7,4.4,Iris-setosa
-1.046525,'\'(-inf-0.1]\'',5.4,3.9,Iris-setosa
-1.177559,'\'(-inf-0.1]\'',5.1,3.5,Iris-setosa
-1.177559,'\'(0.1-0.2]\'',5.7,3.8,Iris-setosa
-1.177559,'\'(-inf-0.1]\'',5.1,3.8,Iris-setosa
-1.308593,'\'(0.1-0.2]\'',5.4,3.4,Iris-setosa
-1.046525,'\'(-inf-0.1]\'',5.1,3.7,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',4.6,3.6,Iris-setosa
-0.915491,'\'(0.1-0.2]\'',5.1,3.3,Iris-setosa
-1.308593,'\'(0.1-0.2]\'',4.8,3.4,Iris-setosa
-1.308593,'\'(0.1-0.2]\'',5,3,Iris-setosa
-1.046525,'\'(0.1-0.2]\'',5,3.4,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',5.2,3.5,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',5.2,3.4,Iris-setosa
-1.308593,'\'(0.1-0.2]\'',4.7,3.2,Iris-setosa
-1.308593,'\'(0.1-0.2]\'',4.8,3.1,Iris-setosa
-1.046525,'\'(-inf-0.1]\'',5.4,3.4,Iris-setosa
-1.439627,'\'(-inf-0.1]\'',5.2,4.1,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',5.5,4.2,Iris-setosa
-1.439627,'\'(-inf-0.1]\'',4.9,3.1,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',5,3.2,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',5.5,3.5,Iris-setosa
-1.439627,'\'(-inf-0.1]\'',4.9,3.1,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',4.4,3,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',5.1,3.4,Iris-setosa
-1.177559,'\'(-inf-0.1]\'',5,3.5,Iris-setosa
-1.177559,'\'(-inf-0.1]\'',4.5,2.3,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',4.4,3.2,Iris-setosa
-0.784457,'\'(0.1-0.2]\'',5,3.5,Iris-setosa
-1.046525,'\'(0.1-0.2]\'',5.1,3.8,Iris-setosa
-1.177559,'\'(-inf-0.1]\'',4.8,3,Iris-setosa
-1.308593,'\'(0.1-0.2]\'',5.1,3.8,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',4.6,3.2,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',5.3,3.7,Iris-setosa
-1.308593,'\'(-inf-0.1]\'',5,3.3,Iris-setosa
0.263815,'\'(0.6-0.7]\'',7,3.2,Iris-versicolor
0.394849,'\'(0.5-0.6]\'',6.4,3.2,Iris-versicolor
0.394849,'\'(0.6-0.7]\'',6.9,3.1,Iris-versicolor
0.132781,'\'(0.5-0.6]\'',5.5,2.3,Iris-versicolor
0.394849,'\'(0.6-0.7]\'',6.5,2.8,Iris-versicolor
0.132781,'\'(0.5-0.6]\'',5.7,2.8,Iris-versicolor
0.525883,'\'(0.6-0.7]\'',6.3,3.3,Iris-versicolor
-0.260321,'\'(0.3-0.4]\'',4.9,2.4,Iris-versicolor
0.132781,'\'(0.6-0.7]\'',6.6,2.9,Iris-versicolor
0.263815,'\'(0.4-0.5]\'',5.2,2.7,Iris-versicolor
-0.260321,'\'(0.4-0.5]\'',5,2,Iris-versicolor
0.394849,'\'(0.5-0.6]\'',5.9,3,Iris-versicolor
-0.260321,'\'(0.5-0.6]\'',6,2.2,Iris-versicolor
0.263815,'\'(0.6-0.7]\'',6.1,2.9,Iris-versicolor
0.132781,'\'(0.4-0.5]\'',5.6,2.9,Iris-versicolor
0.263815,'\'(0.5-0.6]\'',6.7,3.1,Iris-versicolor
0.394849,'\'(0.5-0.6]\'',5.6,3,Iris-versicolor
-0.260321,'\'(0.5-0.6]\'',5.8,2.7,Iris-versicolor
0.394849,'\'(0.5-0.6]\'',6.2,2.2,Iris-versicolor
-0.129287,'\'(0.4-0.5]\'',5.6,2.5,Iris-versicolor
0.787951,'\'(0.6-0.7]\'',5.9,3.2,Iris-versicolor
0.132781,'\'(0.5-0.6]\'',6.1,2.8,Iris-versicolor
0.394849,'\'(0.6-0.7]\'',6.3,2.5,Iris-versicolor
0.001747,'\'(0.6-0.7]\'',6.1,2.8,Iris-versicolor
0.132781,'\'(0.5-0.6]\'',6.4,2.9,Iris-versicolor
0.263815,'\'(0.5-0.6]\'',6.6,3,Iris-versicolor
0.263815,'\'(0.6-0.7]\'',6.8,2.8,Iris-versicolor
0.656917,'\'(0.6-0.7]\'',6.7,3,Iris-versicolor
0.394849,'\'(0.5-0.6]\'',6,2.9,Iris-versicolor
-0.260321,'\'(0.4-0.5]\'',5.7,2.6,Iris-versicolor
-0.129287,'\'(0.4-0.5]\'',5.5,2.4,Iris-versicolor
-0.260321,'\'(0.4-0.5]\'',5.5,2.4,Iris-versicolor
0.001747,'\'(0.4-0.5]\'',5.8,2.7,Iris-versicolor
0.525883,'\'(0.6-0.7]\'',6,2.7,Iris-versicolor
0.394849,'\'(0.5-0.6]\'',5.4,3,Iris-versicolor
0.525883,'\'(0.5-0.6]\'',6,3.4,Iris-versicolor
0.394849,'\'(0.6-0.7]\'',6.7,3.1,Iris-versicolor
0.132781,'\'(0.5-0.6]\'',6.3,2.3,Iris-versicolor
0.132781,'\'(0.5-0.6]\'',5.6,3,Iris-versicolor
0.132781,'\'(0.5-0.6]\'',5.5,2.5,Iris-versicolor
0.001747,'\'(0.5-0.6]\'',5.5,2.6,Iris-versicolor
0.263815,'\'(0.6-0.7]\'',6.1,3,Iris-versicolor
0.001747,'\'(0.5-0.6]\'',5.8,2.6,Iris-versicolor
-0.260321,'\'(0.3-0.4]\'',5,2.3,Iris-versicolor
0.132781,'\'(0.5-0.6]\'',5.6,2.7,Iris-versicolor
0.001747,'\'(0.5-0.6]\'',5.7,3,Iris-versicolor
0.132781,'\'(0.5-0.6]\'',5.7,2.9,Iris-versicolor
0.132781,'\'(0.5-0.6]\'',6.2,2.9,Iris-versicolor
-0.129287,'\'(0.3-0.4]\'',5.1,2.5,Iris-versicolor
0.132781,'\'(0.5-0.6]\'',5.7,2.8,Iris-versicolor
1.705189,'\'(0.8-0.9]\'',6.3,3.3,Iris-virginica
0.918985,'\'(0.6-0.7]\'',5.8,2.7,Iris-virginica
1.181053,'\'(0.8-0.9]\'',7.1,3,Iris-virginica
0.787951,'\'(0.7-0.8]\'',6.3,2.9,Iris-virginica
1.312087,'\'(0.8-0.9]\'',6.5,3,Iris-virginica
1.181053,'\'(0.9-inf)\'',7.6,3,Iris-virginica
0.656917,'\'(0.5-0.6]\'',4.9,2.5,Iris-virginica
0.787951,'\'(0.8-0.9]\'',7.3,2.9,Iris-virginica
