@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.625,-1.308593,5.1,1.4,Iris-setosa
0.416667,-1.308593,4.9,1.4,Iris-setosa
0.5,-1.308593,4.7,1.3,Iris-setosa
0.458333,-1.308593,4.6,1.5,Iris-setosa
0.666667,-1.308593,5,1.4,Iris-setosa
0.791667,-1.046525,5.4,1.7,Iris-setosa
0.583333,-1.177559,4.6,1.4,Iris-setosa
0.583333,-1.308593,5,1.5,Iris-setosa
0.375,-1.308593,4.4,1.4,Iris-setosa
0.458333,-1.439627,4.9,1.5,Iris-setosa
0.708333,-1.308593,5.4,1.5,Iris-setosa
0.583333,-1.308593,4.8,1.6,Iris-setosa
0.416667,-1.439627,4.8,1.4,Iris-setosa
0.416667,-1.439627,4.3,1.1,Iris-setosa
0.833333,-1.308593,5.8,1.2,Iris-setosa
1,-1.046525,5.7,1.5,Iris-setosa
0.791667,-1.046525,5.4,1.3,Iris-setosa
0.625,-1.177559,5.1,1.4,Iris-setosa
0.75,-1.177559,5.7,1.7,Iris-setosa
0.75,-1.177559,5.1,1.5,Iris-setosa
0.583333,-1.308593,5.4,1.7,Iris-setosa
0.708333,-1.046525,5.1,1.5,Iris-setosa
0.666667,-1.308593,4.6,1,Iris-setosa
0.541667,-0.915491,5.1,1.7,Iris-setosa
0.583333,-1.308593,4.8,1.9,Iris-setosa
0.416667,-1.308593,5,1.6,Iris-setosa
0.583333,-1.046525,5,1.6,Iris-setosa
0.625,-1.308593,5.2,1.5,Iris-setosa
0.583333,-1.308593,5.2,1.4,Iris-setosa
0.5,-1.308593,4.7,1.6,Iris-setosa
0.458333,-1.308593,4.8,1.6,Iris-setosa
0.583333,-1.046525,5.4,1.5,Iris-setosa
0.875,-1.439627,5.2,1.5,Iris-setosa
0.916667,-1.308593,5.5,1.4,Iris-setosa
0.458333,-1.439627,4.9,1.5,Iris-setosa
0.5,-1.308593,5,1.2,Iris-setosa
0.625,-1.308593,5.5,1.3,Iris-setosa
0.458333,-1.439627,4.9,1.5,Iris-setosa
0.416667,-1.308593,4.4,1.3,Iris-setosa
0.583333,-1.308593,5.1,1.5,Iris-setosa
0.625,-1.177559,5,1.3,Iris-setosa
0.125,-1.177559,4.5,1.3,Iris-setosa
0.5,-1.308593,4.4,1.3,Iris-setosa
0.625,-0.784457,5,1.6,Iris-setosa
0.75,-1.046525,5.1,1.9,Iris-setosa
0.416667,-1.177559,4.8,1.4,Iris-setosa
0.75,-1.308593,5.1,1.6,Iris-setosa
0.5,-1.308593,4.6,1.4,Iris-setosa
0.708333,-1.308593,5.3,1.5,Iris-setosa
0.541667,-1.308593,5,1.4,Iris-setosa
0.5,0.263815,7,4.7,Iris-versicolor
0.5,0.394849,6.4,4.5,Iris-versicolor
0.458333,0.394849,6.9,4.9,Iris-versicolor
0.125,0.132781,5.5,4,Iris-versicolor
0.333333,0.394849,6.5,4.6,Iris-versicolor
0.333333,0.132781,5.7,4.5,Iris-versicolor
0.541667,0.525883,6.3,4.7,Iris-versicolor
0.166667,-0.260321,4.9,3.3,Iris-versicolor
0.375,0.132781,6.6,4.6,Iris-versicolor
0.291667,0.263815,5.2,3.9,Iris-versicolor
0,-0.260321,5,3.5,Iris-versicolor
0.416667,0.394849,5.9,4.2,Iris-versicolor
0.083333,-0.260321,6,4,Iris-versicolor
0.375,0.263815,6.1,4.7,Iris-versicolor
0.375,0.132781,5.6,3.6,Iris-versicolor
0.458333,0.263815,6.7,4.4,Iris-versicolor
0.416667,0.394849,5.6,4.5,Iris-versicolor
0.291667,-0.260321,5.8,4.1,Iris-versicolor
0.083333,0.394849,6.2,4.5,Iris-versicolor
