@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf--1.365132]\'','\'(-1.365132--1.308456]\'','\'(-1.308456--1.25178]\'','\'(-1.25178--0.203277]\'','\'(-0.203277-0.221791]\'','\'(0.221791-0.448495]\'','\'(0.448495-0.675198]\'','\'(0.675198-0.901901]\'','\'(0.901901-1.128605]\'','\'(1.128605-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.308593,'\'(-1.365132--1.308456]\'',5.1,3.5,Iris-setosa
-1.308593,'\'(-1.365132--1.308456]\'',4.9,3,Iris-setosa
-1.308593,'\'(-inf--1.365132]\'',4.7,3.2,Iris-setosa
-1.308593,'\'(-1.308456--1.25178]\'',4.6,3.1,Iris-setosa
-1.308593,'\'(-1.365132--1.308456]\'',5,3.6,Iris-setosa
-1.046525,'\'(-1.25178--0.203277]\'',5.4,3.9,Iris-setosa
-1.177559,'\'(-1.365132--1.308456]\'',4.6,3.4,Iris-setosa
-1.308593,'\'(-1.308456--1.25178]\'',5,3.4,Iris-setosa
-1.308593,'\'(-1.365132--1.308456]\'',4.4,2.9,Iris-setosa
-1.439627,'\'(-1.308456--1.25178]\'',4.9,3.1,Iris-setosa
-1.308593,'\'(-1.308456--1.25178]\'',5.4,3.7,Iris-setosa
-1.308593,'\'(-1.25178--0.203277]\'',4.8,3.4,Iris-setosa
-1.439627,'\'(-1.365132--1.308456]\'',4.8,3,Iris-setosa
-1.439627,'\'(-inf--1.365132]\'',4.3,3,Iris-setosa
-1.308593,'\'(-inf--1.365132]\'',5.8,4,Iris-setosa
-1.046525,'\'(-1.308456--1.25178]\'',5.7,4.4,Iris-setosa
-1.046525,'\'(-inf--1.365132]\'',5.4,3.9,Iris-setosa
-1.177559,'\'(-1.365132--1.308456]\'',5.1,3.5,Iris-setosa
-1.177559,'\'(-1.25178--0.203277]\'',5.7,3.8,Iris-setosa
-1.177559,'\'(-1.308456--1.25178]\'',5.1,3.8,Iris-setosa
-1.308593,'\'(-1.25178--0.203277]\'',5.4,3.4,Iris-setosa
-1.046525,'\'(-1.308456--1.25178]\'',5.1,3.7,Iris-setosa
-1.308593,'\'(-inf--1.365132]\'',4.6,3.6,Iris-setosa
-0.915491,'\'(-1.25178--0.203277]\'',5.1,3.3,Iris-setosa
-1.308593,'\'(-1.25178--0.203277]\'',4.8,3.4,Iris-setosa
-1.308593,'\'(-1.25178--0.203277]\'',5,3,Iris-setosa
-1.046525,'\'(-1.25178--0.203277]\'',5,3.4,Iris-setosa
-1.308593,'\'(-1.308456--1.25178]\'',5.2,3.5,Iris-setosa
-1.308593,'\'(-1.365132--1.308456]\'',5.2,3.4,Iris-setosa
-1.308593,'\'(-1.25178--0.203277]\'',4.7,3.2,Iris-setosa
-1.308593,'\'(-1.25178--0.203277]\'',4.8,3.1,Iris-setosa
-1.046525,'\'(-1.308456--1.25178]\'',5.4,3.4,Iris-setosa
-1.439627,'\'(-1.308456--1.25178]\'',5.2,4.1,Iris-setosa
-1.308593,'\'(-1.365132--1.308456]\'',5.5,4.2,Iris-setosa
-1.439627,'\'(-1.308456--1.25178]\'',4.9,3.1,Iris-setosa
-1.308593,'\'(-inf--1.365132]\'',5,3.2,Iris-setosa
-1.308593,'\'(-inf--1.365132]\'',5.5,3.5,Iris-setosa
-1.439627,'\'(-1.308456--1.25178]\'',4.9,3.1,Iris-setosa
-1.308593,'\'(-inf--1.365132]\'',4.4,3,Iris-setosa
-1.308593,'\'(-1.308456--1.25178]\'',5.1,3.4,Iris-setosa
-1.177559,'\'(-inf--1.365132]\'',5,3.5,Iris-setosa
-1.177559,'\'(-inf--1.365132]\'',4.5,2.3,Iris-setosa
-1.308593,'\'(-inf--1.365132]\'',4.4,3.2,Iris-setosa
-0.784457,'\'(-1.25178--0.203277]\'',5,3.5,Iris-setosa
-1.046525,'\'(-1.25178--0.203277]\'',5.1,3.8,Iris-setosa
-1.177559,'\'(-1.365132--1.308456]\'',4.8,3,Iris-setosa
-1.308593,'\'(-1.25178--0.203277]\'',5.1,3.8,Iris-setosa
-1.308593,'\'(-1.365132--1.308456]\'',4.6,3.2,Iris-setosa
-1.308593,'\'(-1.308456--1.25178]\'',5.3,3.7,Iris-setosa
-1.308593,'\'(-1.365132--1.308456]\'',5,3.3,Iris-setosa
0.263815,'\'(0.448495-0.675198]\'',7,3.2,Iris-versicolor
0.394849,'\'(0.221791-0.448495]\'',6.4,3.2,Iris-versicolor
0.394849,'\'(0.448495-0.675198]\'',6.9,3.1,Iris-versicolor
0.132781,'\'(-0.203277-0.221791]\'',5.5,2.3,Iris-versicolor
0.394849,'\'(0.448495-0.675198]\'',6.5,2.8,Iris-versicolor
0.132781,'\'(0.221791-0.448495]\'',5.7,2.8,Iris-versicolor
0.525883,'\'(0.448495-0.675198]\'',6.3,3.3,Iris-versicolor
-0.260321,'\'(-1.25178--0.203277]\'',4.9,2.4,Iris-versicolor
0.132781,'\'(0.448495-0.675198]\'',6.6,2.9,Iris-versicolor
0.263815,'\'(-0.203277-0.221791]\'',5.2,2.7,Iris-versicolor
-0.260321,'\'(-0.203277-0.221791]\'',5,2,Iris-versicolor
0.394849,'\'(0.221791-0.448495]\'',5.9,3,Iris-versicolor
-0.260321,'\'(-0.203277-0.221791]\'',6,2.2,Iris-versicolor
0.263815,'\'(0.448495-0.675198]\'',6.1,2.9,Iris-versicolor
0.132781,'\'(-0.203277-0.221791]\'',5.6,2.9,Iris-versicolor
0.263815,'\'(0.221791-0.448495]\'',6.7,3.1,Iris-versicolor
0.394849,'\'(0.221791-0.448495]\'',5.6,3,Iris-versicolor
-0.260321,'\'(-0.203277-0.221791]\'',5.8,2.7,Iris-versicolor
0.394849,'\'(0.221791-0.448495]\'',6.2,2.2,Iris-versicolor
-0.129287,'\'(-0.203277-0.221791]\'',5.6,2.5,Iris-versicolor
