@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-petal length in cm' {'\'(-inf-0.059322]\'','\'(0.059322-0.076271]\'','\'(0.076271-0.09322]\'','\'(0.09322-0.40678]\'','\'(0.40678-0.533898]\'','\'(0.533898-0.601695]\'','\'(0.601695-0.669492]\'','\'(0.669492-0.737288]\'','\'(0.737288-0.805085]\'','\'(0.805085-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.059322-0.076271]\'',5.1,3.5,0.2,Iris-setosa
'\'(0.059322-0.076271]\'',4.9,3,0.2,Iris-setosa
'\'(-inf-0.059322]\'',4.7,3.2,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',4.6,3.1,0.2,Iris-setosa
'\'(0.059322-0.076271]\'',5,3.6,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',5.4,3.9,0.4,Iris-setosa
'\'(0.059322-0.076271]\'',4.6,3.4,0.3,Iris-setosa
'\'(0.076271-0.09322]\'',5,3.4,0.2,Iris-setosa
'\'(0.059322-0.076271]\'',4.4,2.9,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',4.9,3.1,0.1,Iris-setosa
'\'(0.076271-0.09322]\'',5.4,3.7,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',4.8,3.4,0.2,Iris-setosa
'\'(0.059322-0.076271]\'',4.8,3,0.1,Iris-setosa
'\'(-inf-0.059322]\'',4.3,3,0.1,Iris-setosa
'\'(-inf-0.059322]\'',5.8,4,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',5.7,4.4,0.4,Iris-setosa
'\'(-inf-0.059322]\'',5.4,3.9,0.4,Iris-setosa
'\'(0.059322-0.076271]\'',5.1,3.5,0.3,Iris-setosa
'\'(0.09322-0.40678]\'',5.7,3.8,0.3,Iris-setosa
'\'(0.076271-0.09322]\'',5.1,3.8,0.3,Iris-setosa
'\'(0.09322-0.40678]\'',5.4,3.4,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',5.1,3.7,0.4,Iris-setosa
'\'(-inf-0.059322]\'',4.6,3.6,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',5.1,3.3,0.5,Iris-setosa
'\'(0.09322-0.40678]\'',4.8,3.4,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',5,3,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',5,3.4,0.4,Iris-setosa
'\'(0.076271-0.09322]\'',5.2,3.5,0.2,Iris-setosa
'\'(0.059322-0.076271]\'',5.2,3.4,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',4.7,3.2,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',4.8,3.1,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',5.4,3.4,0.4,Iris-setosa
'\'(0.076271-0.09322]\'',5.2,4.1,0.1,Iris-setosa
'\'(0.059322-0.076271]\'',5.5,4.2,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',4.9,3.1,0.1,Iris-setosa
'\'(-inf-0.059322]\'',5,3.2,0.2,Iris-setosa
'\'(-inf-0.059322]\'',5.5,3.5,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',4.9,3.1,0.1,Iris-setosa
'\'(-inf-0.059322]\'',4.4,3,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',5.1,3.4,0.2,Iris-setosa
'\'(-inf-0.059322]\'',5,3.5,0.3,Iris-setosa
'\'(-inf-0.059322]\'',4.5,2.3,0.3,Iris-setosa
'\'(-inf-0.059322]\'',4.4,3.2,0.2,Iris-setosa
