@relation iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3

@attribute 'filtered-0-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
1.028611,-1.308593,5.1,1.4,Iris-setosa
-0.12454,-1.308593,4.9,1.4,Iris-setosa
0.33672,-1.308593,4.7,1.3,Iris-setosa
0.10609,-1.308593,4.6,1.5,Iris-setosa
1.259242,-1.308593,5,1.4,Iris-setosa
1.951133,-1.046525,5.4,1.7,Iris-setosa
0.797981,-1.177559,4.6,1.4,Iris-setosa
0.797981,-1.308593,5,1.5,Iris-setosa
-0.355171,-1.308593,4.4,1.4,Iris-setosa
0.10609,-1.439627,4.9,1.5,Iris-setosa
1.489872,-1.308593,5.4,1.5,Iris-setosa
0.797981,-1.308593,4.8,1.6,Iris-setosa
-0.12454,-1.439627,4.8,1.4,Iris-setosa
-0.12454,-1.439627,4.3,1.1,Iris-setosa
2.181763,-1.308593,5.8,1.2,Iris-setosa
3.104284,-1.046525,5.7,1.5,Iris-setosa
1.951133,-1.046525,5.4,1.3,Iris-setosa
1.028611,-1.177559,5.1,1.4,Iris-setosa
1.720502,-1.177559,5.7,1.7,Iris-setosa
1.720502,-1.177559,5.1,1.5,Iris-setosa
0.797981,-1.308593,5.4,1.7,Iris-setosa
1.489872,-1.046525,5.1,1.5,Iris-setosa
1.259242,-1.308593,4.6,1,Iris-setosa
0.567351,-0.915491,5.1,1.7,Iris-setosa
0.797981,-1.308593,4.8,1.9,Iris-setosa
-0.12454,-1.308593,5,1.6,Iris-setosa
0.797981,-1.046525,5,1.6,Iris-setosa
1.028611,-1.308593,5.2,1.5,Iris-setosa
0.797981,-1.308593,5.2,1.4,Iris-setosa
0.33672,-1.308593,4.7,1.6,Iris-setosa
0.10609,-1.308593,4.8,1.6,Iris-setosa
0.797981,-1.046525,5.4,1.5,Iris-setosa
