@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-petal width in cm' {'\'(-inf--1.125145]\'','\'(-1.125145--0.810664]\'','\'(-0.810664--0.496182]\'','\'(-0.496182--0.1817]\'','\'(-0.1817-0.132781]\'','\'(0.132781-0.447263]\'','\'(0.447263-0.761744]\'','\'(0.761744-1.076226]\'','\'(1.076226-1.390707]\'','\'(1.390707-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(3.45-3.75]\'','\'(-inf--1.125145]\'',5.1,1.4,Iris-setosa
'\'(2.95-3.05]\'','\'(-inf--1.125145]\'',4.9,1.4,Iris-setosa
'\'(3.15-3.25]\'','\'(-inf--1.125145]\'',4.7,1.3,Iris-setosa
'\'(3.05-3.15]\'','\'(-inf--1.125145]\'',4.6,1.5,Iris-setosa
'\'(3.45-3.75]\'','\'(-inf--1.125145]\'',5,1.4,Iris-setosa
'\'(3.75-inf)\'','\'(-1.125145--0.810664]\'',5.4,1.7,Iris-setosa
'\'(3.25-3.45]\'','\'(-inf--1.125145]\'',4.6,1.4,Iris-setosa
'\'(3.25-3.45]\'','\'(-inf--1.125145]\'',5,1.5,Iris-setosa
'\'(2.85-2.95]\'','\'(-inf--1.125145]\'',4.4,1.4,Iris-setosa
'\'(3.05-3.15]\'','\'(-inf--1.125145]\'',4.9,1.5,Iris-setosa
'\'(3.45-3.75]\'','\'(-inf--1.125145]\'',5.4,1.5,Iris-setosa
'\'(3.25-3.45]\'','\'(-inf--1.125145]\'',4.8,1.6,Iris-setosa
'\'(2.95-3.05]\'','\'(-inf--1.125145]\'',4.8,1.4,Iris-setosa
'\'(2.95-3.05]\'','\'(-inf--1.125145]\'',4.3,1.1,Iris-setosa
'\'(3.75-inf)\'','\'(-inf--1.125145]\'',5.8,1.2,Iris-setosa
'\'(3.75-inf)\'','\'(-1.125145--0.810664]\'',5.7,1.5,Iris-setosa
'\'(3.75-inf)\'','\'(-1.125145--0.810664]\'',5.4,1.3,Iris-setosa
'\'(3.45-3.75]\'','\'(-inf--1.125145]\'',5.1,1.4,Iris-setosa
'\'(3.75-inf)\'','\'(-inf--1.125145]\'',5.7,1.7,Iris-setosa
'\'(3.75-inf)\'','\'(-inf--1.125145]\'',5.1,1.5,Iris-setosa
'\'(3.25-3.45]\'','\'(-inf--1.125145]\'',5.4,1.7,Iris-setosa
'\'(3.45-3.75]\'','\'(-1.125145--0.810664]\'',5.1,1.5,Iris-setosa
'\'(3.45-3.75]\'','\'(-inf--1.125145]\'',4.6,1,Iris-setosa
'\'(3.25-3.45]\'','\'(-1.125145--0.810664]\'',5.1,1.7,Iris-setosa
'\'(3.25-3.45]\'','\'(-inf--1.125145]\'',4.8,1.9,Iris-setosa
'\'(2.95-3.05]\'','\'(-inf--1.125145]\'',5,1.6,Iris-setosa
'\'(3.25-3.45]\'','\'(-1.125145--0.810664]\'',5,1.6,Iris-setosa
'\'(3.45-3.75]\'','\'(-inf--1.125145]\'',5.2,1.5,Iris-setosa
'\'(3.25-3.45]\'','\'(-inf--1.125145]\'',5.2,1.4,Iris-setosa
'\'(3.15-3.25]\'','\'(-inf--1.125145]\'',4.7,1.6,Iris-setosa
'\'(3.05-3.15]\'','\'(-inf--1.125145]\'',4.8,1.6,Iris-setosa
'\'(3.25-3.45]\'','\'(-1.125145--0.810664]\'',5.4,1.5,Iris-setosa
'\'(3.75-inf)\'','\'(-inf--1.125145]\'',5.2,1.5,Iris-setosa
'\'(3.75-inf)\'','\'(-inf--1.125145]\'',5.5,1.4,Iris-setosa
'\'(3.05-3.15]\'','\'(-inf--1.125145]\'',4.9,1.5,Iris-setosa
'\'(3.15-3.25]\'','\'(-inf--1.125145]\'',5,1.2,Iris-setosa
'\'(3.45-3.75]\'','\'(-inf--1.125145]\'',5.5,1.3,Iris-setosa
'\'(3.05-3.15]\'','\'(-inf--1.125145]\'',4.9,1.5,Iris-setosa
'\'(2.95-3.05]\'','\'(-inf--1.125145]\'',4.4,1.3,Iris-setosa
'\'(3.25-3.45]\'','\'(-inf--1.125145]\'',5.1,1.5,Iris-setosa
'\'(3.45-3.75]\'','\'(-inf--1.125145]\'',5,1.3,Iris-setosa
'\'(-inf-2.55]\'','\'(-inf--1.125145]\'',4.5,1.3,Iris-setosa
