@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-petal width in cm' {'\'(-inf--1.37411]\'','\'(-1.37411--1.243076]\'','\'(-1.243076--0.849974]\'','\'(-0.849974-0.067264]\'','\'(0.067264-0.198298]\'','\'(0.198298-0.460366]\'','\'(0.460366-0.853468]\'','\'(0.853468-1.115536]\'','\'(1.115536-1.377604]\'','\'(1.377604-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(3.44-3.68]\'','\'(-1.37411--1.243076]\'',5.1,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(-1.37411--1.243076]\'',4.9,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(-1.37411--1.243076]\'',4.7,1.3,Iris-setosa
'\'(2.96-3.2]\'','\'(-1.37411--1.243076]\'',4.6,1.5,Iris-setosa
'\'(3.44-3.68]\'','\'(-1.37411--1.243076]\'',5,1.4,Iris-setosa
'\'(3.68-3.92]\'','\'(-1.243076--0.849974]\'',5.4,1.7,Iris-setosa
'\'(3.2-3.44]\'','\'(-1.243076--0.849974]\'',4.6,1.4,Iris-setosa
'\'(3.2-3.44]\'','\'(-1.37411--1.243076]\'',5,1.5,Iris-setosa
'\'(2.72-2.96]\'','\'(-1.37411--1.243076]\'',4.4,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf--1.37411]\'',4.9,1.5,Iris-setosa
'\'(3.68-3.92]\'','\'(-1.37411--1.243076]\'',5.4,1.5,Iris-setosa
'\'(3.2-3.44]\'','\'(-1.37411--1.243076]\'',4.8,1.6,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf--1.37411]\'',4.8,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf--1.37411]\'',4.3,1.1,Iris-setosa
'\'(3.92-4.16]\'','\'(-1.37411--1.243076]\'',5.8,1.2,Iris-setosa
'\'(4.16-inf)\'','\'(-1.243076--0.849974]\'',5.7,1.5,Iris-setosa
'\'(3.68-3.92]\'','\'(-1.243076--0.849974]\'',5.4,1.3,Iris-setosa
'\'(3.44-3.68]\'','\'(-1.243076--0.849974]\'',5.1,1.4,Iris-setosa
'\'(3.68-3.92]\'','\'(-1.243076--0.849974]\'',5.7,1.7,Iris-setosa
'\'(3.68-3.92]\'','\'(-1.243076--0.849974]\'',5.1,1.5,Iris-setosa
'\'(3.2-3.44]\'','\'(-1.37411--1.243076]\'',5.4,1.7,Iris-setosa
'\'(3.68-3.92]\'','\'(-1.243076--0.849974]\'',5.1,1.5,Iris-setosa
'\'(3.44-3.68]\'','\'(-1.37411--1.243076]\'',4.6,1,Iris-setosa
'\'(3.2-3.44]\'','\'(-1.243076--0.849974]\'',5.1,1.7,Iris-setosa
'\'(3.2-3.44]\'','\'(-1.37411--1.243076]\'',4.8,1.9,Iris-setosa
'\'(2.96-3.2]\'','\'(-1.37411--1.243076]\'',5,1.6,Iris-setosa
'\'(3.2-3.44]\'','\'(-1.243076--0.849974]\'',5,1.6,Iris-setosa
'\'(3.44-3.68]\'','\'(-1.37411--1.243076]\'',5.2,1.5,Iris-setosa
'\'(3.2-3.44]\'','\'(-1.37411--1.243076]\'',5.2,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(-1.37411--1.243076]\'',4.7,1.6,Iris-setosa
'\'(2.96-3.2]\'','\'(-1.37411--1.243076]\'',4.8,1.6,Iris-setosa
'\'(3.2-3.44]\'','\'(-1.243076--0.849974]\'',5.4,1.5,Iris-setosa
'\'(3.92-4.16]\'','\'(-inf--1.37411]\'',5.2,1.5,Iris-setosa
'\'(4.16-inf)\'','\'(-1.37411--1.243076]\'',5.5,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf--1.37411]\'',4.9,1.5,Iris-setosa
'\'(2.96-3.2]\'','\'(-1.37411--1.243076]\'',5,1.2,Iris-setosa
'\'(3.44-3.68]\'','\'(-1.37411--1.243076]\'',5.5,1.3,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf--1.37411]\'',4.9,1.5,Iris-setosa
'\'(2.96-3.2]\'','\'(-1.37411--1.243076]\'',4.4,1.3,Iris-setosa
'\'(3.2-3.44]\'','\'(-1.37411--1.243076]\'',5.1,1.5,Iris-setosa
'\'(3.44-3.68]\'','\'(-1.243076--0.849974]\'',5,1.3,Iris-setosa
'\'(2.24-2.48]\'','\'(-1.243076--0.849974]\'',4.5,1.3,Iris-setosa
'\'(2.96-3.2]\'','\'(-1.37411--1.243076]\'',4.4,1.3,Iris-setosa
'\'(3.44-3.68]\'','\'(-0.849974-0.067264]\'',5,1.6,Iris-setosa
'\'(3.68-3.92]\'','\'(-1.243076--0.849974]\'',5.1,1.9,Iris-setosa
'\'(2.96-3.2]\'','\'(-1.243076--0.849974]\'',4.8,1.4,Iris-setosa
'\'(3.68-3.92]\'','\'(-1.37411--1.243076]\'',5.1,1.6,Iris-setosa
'\'(2.96-3.2]\'','\'(-1.37411--1.243076]\'',4.6,1.4,Iris-setosa
'\'(3.68-3.92]\'','\'(-1.37411--1.243076]\'',5.3,1.5,Iris-setosa
'\'(3.2-3.44]\'','\'(-1.37411--1.243076]\'',5,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(0.198298-0.460366]\'',7,4.7,Iris-versicolor
'\'(2.96-3.2]\'','\'(0.198298-0.460366]\'',6.4,4.5,Iris-versicolor
'\'(2.96-3.2]\'','\'(0.198298-0.460366]\'',6.9,4.9,Iris-versicolor
'\'(2.24-2.48]\'','\'(0.067264-0.198298]\'',5.5,4,Iris-versicolor
'\'(2.72-2.96]\'','\'(0.198298-0.460366]\'',6.5,4.6,Iris-versicolor
'\'(2.72-2.96]\'','\'(0.067264-0.198298]\'',5.7,4.5,Iris-versicolor
'\'(3.2-3.44]\'','\'(0.460366-0.853468]\'',6.3,4.7,Iris-versicolor
'\'(2.24-2.48]\'','\'(-0.849974-0.067264]\'',4.9,3.3,Iris-versicolor
'\'(2.72-2.96]\'','\'(0.067264-0.198298]\'',6.6,4.6,Iris-versicolor
'\'(2.48-2.72]\'','\'(0.198298-0.460366]\'',5.2,3.9,Iris-versicolor
'\'(-inf-2.24]\'','\'(-0.849974-0.067264]\'',5,3.5,Iris-versicolor
'\'(2.96-3.2]\'','\'(0.198298-0.460366]\'',5.9,4.2,Iris-versicolor
'\'(-inf-2.24]\'','\'(-0.849974-0.067264]\'',6,4,Iris-versicolor
'\'(2.72-2.96]\'','\'(0.198298-0.460366]\'',6.1,4.7,Iris-versicolor
'\'(2.72-2.96]\'','\'(0.067264-0.198298]\'',5.6,3.6,Iris-versicolor
'\'(2.96-3.2]\'','\'(0.198298-0.460366]\'',6.7,4.4,Iris-versicolor
'\'(2.96-3.2]\'','\'(0.198298-0.460366]\'',5.6,4.5,Iris-versicolor
'\'(2.48-2.72]\'','\'(-0.849974-0.067264]\'',5.8,4.1,Iris-versicolor
'\'(-inf-2.24]\'','\'(0.198298-0.460366]\'',6.2,4.5,Iris-versicolor
'\'(2.48-2.72]\'','\'(-0.849974-0.067264]\'',5.6,3.9,Iris-versicolor
'\'(2.96-3.2]\'','\'(0.460366-0.853468]\'',5.9,4.8,Iris-versicolor
'\'(2.72-2.96]\'','\'(0.067264-0.198298]\'',6.1,4,Iris-versicolor
'\'(2.48-2.72]\'','\'(0.198298-0.460366]\'',6.3,4.9,Iris-versicolor
'\'(2.72-2.96]\'','\'(-0.849974-0.067264]\'',6.1,4.7,Iris-versicolor
'\'(2.72-2.96]\'','\'(0.067264-0.198298]\'',6.4,4.3,Iris-versicolor
'\'(2.96-3.2]\'','\'(0.198298-0.460366]\'',6.6,4.4,Iris-versicolor
'\'(2.72-2.96]\'','\'(0.198298-0.460366]\'',6.8,4.8,Iris-versicolor
'\'(2.96-3.2]\'','\'(0.460366-0.853468]\'',6.7,5,Iris-versicolor
'\'(2.72-2.96]\'','\'(0.198298-0.460366]\'',6,4.5,Iris-versicolor
'\'(2.48-2.72]\'','\'(-0.849974-0.067264]\'',5.7,3.5,Iris-versicolor
'\'(2.24-2.48]\'','\'(-0.849974-0.067264]\'',5.5,3.8,Iris-versicolor
'\'(2.24-2.48]\'','\'(-0.849974-0.067264]\'',5.5,3.7,Iris-versicolor
'\'(2.48-2.72]\'','\'(-0.849974-0.067264]\'',5.8,3.9,Iris-versicolor
