@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(3.44-3.68]\'','\'(-inf-0.34]\'',5.1,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf-0.34]\'',4.9,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf-0.34]\'',4.7,1.3,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf-0.34]\'',4.6,1.5,Iris-setosa
'\'(3.44-3.68]\'','\'(-inf-0.34]\'',5,1.4,Iris-setosa
'\'(3.68-3.92]\'','\'(0.34-0.58]\'',5.4,1.7,Iris-setosa
'\'(3.2-3.44]\'','\'(-inf-0.34]\'',4.6,1.4,Iris-setosa
'\'(3.2-3.44]\'','\'(-inf-0.34]\'',5,1.5,Iris-setosa
'\'(2.72-2.96]\'','\'(-inf-0.34]\'',4.4,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf-0.34]\'',4.9,1.5,Iris-setosa
'\'(3.68-3.92]\'','\'(-inf-0.34]\'',5.4,1.5,Iris-setosa
'\'(3.2-3.44]\'','\'(-inf-0.34]\'',4.8,1.6,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf-0.34]\'',4.8,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf-0.34]\'',4.3,1.1,Iris-setosa
'\'(3.92-4.16]\'','\'(-inf-0.34]\'',5.8,1.2,Iris-setosa
'\'(4.16-inf)\'','\'(0.34-0.58]\'',5.7,1.5,Iris-setosa
'\'(3.68-3.92]\'','\'(0.34-0.58]\'',5.4,1.3,Iris-setosa
'\'(3.44-3.68]\'','\'(-inf-0.34]\'',5.1,1.4,Iris-setosa
'\'(3.68-3.92]\'','\'(-inf-0.34]\'',5.7,1.7,Iris-setosa
'\'(3.68-3.92]\'','\'(-inf-0.34]\'',5.1,1.5,Iris-setosa
