@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.625,'\'(0.15-0.25]\'',5.1,1.4,Iris-setosa
0.416667,'\'(0.15-0.25]\'',4.9,1.4,Iris-setosa
0.5,'\'(0.15-0.25]\'',4.7,1.3,Iris-setosa
0.458333,'\'(0.15-0.25]\'',4.6,1.5,Iris-setosa
0.666667,'\'(0.15-0.25]\'',5,1.4,Iris-setosa
0.791667,'\'(0.25-0.55]\'',5.4,1.7,Iris-setosa
0.583333,'\'(0.25-0.55]\'',4.6,1.4,Iris-setosa
0.583333,'\'(0.15-0.25]\'',5,1.5,Iris-setosa
0.375,'\'(0.15-0.25]\'',4.4,1.4,Iris-setosa
0.458333,'\'(-inf-0.15]\'',4.9,1.5,Iris-setosa
0.708333,'\'(0.15-0.25]\'',5.4,1.5,Iris-setosa
0.583333,'\'(0.15-0.25]\'',4.8,1.6,Iris-setosa
0.416667,'\'(-inf-0.15]\'',4.8,1.4,Iris-setosa
0.416667,'\'(-inf-0.15]\'',4.3,1.1,Iris-setosa
0.833333,'\'(0.15-0.25]\'',5.8,1.2,Iris-setosa
1,'\'(0.25-0.55]\'',5.7,1.5,Iris-setosa
0.791667,'\'(0.25-0.55]\'',5.4,1.3,Iris-setosa
0.625,'\'(0.25-0.55]\'',5.1,1.4,Iris-setosa
0.75,'\'(0.25-0.55]\'',5.7,1.7,Iris-setosa
0.75,'\'(0.25-0.55]\'',5.1,1.5,Iris-setosa
0.583333,'\'(0.15-0.25]\'',5.4,1.7,Iris-setosa
0.708333,'\'(0.25-0.55]\'',5.1,1.5,Iris-setosa
0.666667,'\'(0.15-0.25]\'',4.6,1,Iris-setosa
0.541667,'\'(0.25-0.55]\'',5.1,1.7,Iris-setosa
0.583333,'\'(0.15-0.25]\'',4.8,1.9,Iris-setosa
0.416667,'\'(0.15-0.25]\'',5,1.6,Iris-setosa
0.583333,'\'(0.25-0.55]\'',5,1.6,Iris-setosa
0.625,'\'(0.15-0.25]\'',5.2,1.5,Iris-setosa
0.583333,'\'(0.15-0.25]\'',5.2,1.4,Iris-setosa
0.5,'\'(0.15-0.25]\'',4.7,1.6,Iris-setosa
0.458333,'\'(0.15-0.25]\'',4.8,1.6,Iris-setosa
0.583333,'\'(0.25-0.55]\'',5.4,1.5,Iris-setosa
0.875,'\'(-inf-0.15]\'',5.2,1.5,Iris-setosa
0.916667,'\'(0.15-0.25]\'',5.5,1.4,Iris-setosa
0.458333,'\'(-inf-0.15]\'',4.9,1.5,Iris-setosa
0.5,'\'(0.15-0.25]\'',5,1.2,Iris-setosa
0.625,'\'(0.15-0.25]\'',5.5,1.3,Iris-setosa
0.458333,'\'(-inf-0.15]\'',4.9,1.5,Iris-setosa
0.416667,'\'(0.15-0.25]\'',4.4,1.3,Iris-setosa
0.583333,'\'(0.15-0.25]\'',5.1,1.5,Iris-setosa
0.625,'\'(0.25-0.55]\'',5,1.3,Iris-setosa
0.125,'\'(0.25-0.55]\'',4.5,1.3,Iris-setosa
0.5,'\'(0.15-0.25]\'',4.4,1.3,Iris-setosa
0.625,'\'(0.55-1.25]\'',5,1.6,Iris-setosa
0.75,'\'(0.25-0.55]\'',5.1,1.9,Iris-setosa
0.416667,'\'(0.25-0.55]\'',4.8,1.4,Iris-setosa
0.75,'\'(0.15-0.25]\'',5.1,1.6,Iris-setosa
0.5,'\'(0.15-0.25]\'',4.6,1.4,Iris-setosa
0.708333,'\'(0.15-0.25]\'',5.3,1.5,Iris-setosa
0.541667,'\'(0.15-0.25]\'',5,1.4,Iris-setosa
0.5,'\'(1.35-1.55]\'',7,4.7,Iris-versicolor
0.5,'\'(1.35-1.55]\'',6.4,4.5,Iris-versicolor
0.458333,'\'(1.35-1.55]\'',6.9,4.9,Iris-versicolor
0.125,'\'(1.25-1.35]\'',5.5,4,Iris-versicolor
0.333333,'\'(1.35-1.55]\'',6.5,4.6,Iris-versicolor
0.333333,'\'(1.25-1.35]\'',5.7,4.5,Iris-versicolor
0.541667,'\'(1.55-1.85]\'',6.3,4.7,Iris-versicolor
0.166667,'\'(0.55-1.25]\'',4.9,3.3,Iris-versicolor
0.375,'\'(1.25-1.35]\'',6.6,4.6,Iris-versicolor
0.291667,'\'(1.35-1.55]\'',5.2,3.9,Iris-versicolor
0,'\'(0.55-1.25]\'',5,3.5,Iris-versicolor
0.416667,'\'(1.35-1.55]\'',5.9,4.2,Iris-versicolor
0.083333,'\'(0.55-1.25]\'',6,4,Iris-versicolor
