@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
1.028611,'\'(0.15-0.25]\'',5.1,1.4,Iris-setosa
-0.12454,'\'(0.15-0.25]\'',4.9,1.4,Iris-setosa
0.33672,'\'(0.15-0.25]\'',4.7,1.3,Iris-setosa
0.10609,'\'(0.15-0.25]\'',4.6,1.5,Iris-setosa
1.259242,'\'(0.15-0.25]\'',5,1.4,Iris-setosa
1.951133,'\'(0.25-0.55]\'',5.4,1.7,Iris-setosa
0.797981,'\'(0.25-0.55]\'',4.6,1.4,Iris-setosa
0.797981,'\'(0.15-0.25]\'',5,1.5,Iris-setosa
-0.355171,'\'(0.15-0.25]\'',4.4,1.4,Iris-setosa
0.10609,'\'(-inf-0.15]\'',4.9,1.5,Iris-setosa
1.489872,'\'(0.15-0.25]\'',5.4,1.5,Iris-setosa
0.797981,'\'(0.15-0.25]\'',4.8,1.6,Iris-setosa
-0.12454,'\'(-inf-0.15]\'',4.8,1.4,Iris-setosa
-0.12454,'\'(-inf-0.15]\'',4.3,1.1,Iris-setosa
2.181763,'\'(0.15-0.25]\'',5.8,1.2,Iris-setosa
3.104284,'\'(0.25-0.55]\'',5.7,1.5,Iris-setosa
1.951133,'\'(0.25-0.55]\'',5.4,1.3,Iris-setosa
1.028611,'\'(0.25-0.55]\'',5.1,1.4,Iris-setosa
1.720502,'\'(0.25-0.55]\'',5.7,1.7,Iris-setosa
1.720502,'\'(0.25-0.55]\'',5.1,1.5,Iris-setosa
0.797981,'\'(0.15-0.25]\'',5.4,1.7,Iris-setosa
1.489872,'\'(0.25-0.55]\'',5.1,1.5,Iris-setosa
1.259242,'\'(0.15-0.25]\'',4.6,1,Iris-setosa
0.567351,'\'(0.25-0.55]\'',5.1,1.7,Iris-setosa
0.797981,'\'(0.15-0.25]\'',4.8,1.9,Iris-setosa
-0.12454,'\'(0.15-0.25]\'',5,1.6,Iris-setosa
0.797981,'\'(0.25-0.55]\'',5,1.6,Iris-setosa
1.028611,'\'(0.15-0.25]\'',5.2,1.5,Iris-setosa
0.797981,'\'(0.15-0.25]\'',5.2,1.4,Iris-setosa
0.33672,'\'(0.15-0.25]\'',4.7,1.6,Iris-setosa
0.10609,'\'(0.15-0.25]\'',4.8,1.6,Iris-setosa
0.797981,'\'(0.25-0.55]\'',5.4,1.5,Iris-setosa
2.412393,'\'(-inf-0.15]\'',5.2,1.5,Iris-setosa
2.643024,'\'(0.15-0.25]\'',5.5,1.4,Iris-setosa
0.10609,'\'(-inf-0.15]\'',4.9,1.5,Iris-setosa
0.33672,'\'(0.15-0.25]\'',5,1.2,Iris-setosa
1.028611,'\'(0.15-0.25]\'',5.5,1.3,Iris-setosa
0.10609,'\'(-inf-0.15]\'',4.9,1.5,Iris-setosa
-0.12454,'\'(0.15-0.25]\'',4.4,1.3,Iris-setosa
0.797981,'\'(0.15-0.25]\'',5.1,1.5,Iris-setosa
1.028611,'\'(0.25-0.55]\'',5,1.3,Iris-setosa
-1.738953,'\'(0.25-0.55]\'',4.5,1.3,Iris-setosa
0.33672,'\'(0.15-0.25]\'',4.4,1.3,Iris-setosa
1.028611,'\'(0.55-1.25]\'',5,1.6,Iris-setosa
1.720502,'\'(0.25-0.55]\'',5.1,1.9,Iris-setosa
-0.12454,'\'(0.25-0.55]\'',4.8,1.4,Iris-setosa
1.720502,'\'(0.15-0.25]\'',5.1,1.6,Iris-setosa
0.33672,'\'(0.15-0.25]\'',4.6,1.4,Iris-setosa
1.489872,'\'(0.15-0.25]\'',5.3,1.5,Iris-setosa
0.567351,'\'(0.15-0.25]\'',5,1.4,Iris-setosa
0.33672,'\'(1.35-1.55]\'',7,4.7,Iris-versicolor
0.33672,'\'(1.35-1.55]\'',6.4,4.5,Iris-versicolor
0.10609,'\'(1.35-1.55]\'',6.9,4.9,Iris-versicolor
-1.738953,'\'(1.25-1.35]\'',5.5,4,Iris-versicolor
-0.585801,'\'(1.35-1.55]\'',6.5,4.6,Iris-versicolor
-0.585801,'\'(1.25-1.35]\'',5.7,4.5,Iris-versicolor
0.567351,'\'(1.55-1.85]\'',6.3,4.7,Iris-versicolor
-1.508322,'\'(0.55-1.25]\'',4.9,3.3,Iris-versicolor
-0.355171,'\'(1.25-1.35]\'',6.6,4.6,Iris-versicolor
-0.816431,'\'(1.35-1.55]\'',5.2,3.9,Iris-versicolor
-2.430844,'\'(0.55-1.25]\'',5,3.5,Iris-versicolor
-0.12454,'\'(1.35-1.55]\'',5.9,4.2,Iris-versicolor
-1.969583,'\'(0.55-1.25]\'',6,4,Iris-versicolor
-0.355171,'\'(1.35-1.55]\'',6.1,4.7,Iris-versicolor
-0.355171,'\'(1.25-1.35]\'',5.6,3.6,Iris-versicolor
0.10609,'\'(1.35-1.55]\'',6.7,4.4,Iris-versicolor
-0.12454,'\'(1.35-1.55]\'',5.6,4.5,Iris-versicolor
-0.816431,'\'(0.55-1.25]\'',5.8,4.1,Iris-versicolor
-1.969583,'\'(1.35-1.55]\'',6.2,4.5,Iris-versicolor
-1.277692,'\'(0.55-1.25]\'',5.6,3.9,Iris-versicolor
0.33672,'\'(1.55-1.85]\'',5.9,4.8,Iris-versicolor
-0.585801,'\'(1.25-1.35]\'',6.1,4,Iris-versicolor
-1.277692,'\'(1.35-1.55]\'',6.3,4.9,Iris-versicolor
-0.585801,'\'(0.55-1.25]\'',6.1,4.7,Iris-versicolor
-0.355171,'\'(1.25-1.35]\'',6.4,4.3,Iris-versicolor
-0.12454,'\'(1.35-1.55]\'',6.6,4.4,Iris-versicolor
-0.585801,'\'(1.35-1.55]\'',6.8,4.8,Iris-versicolor
-0.12454,'\'(1.55-1.85]\'',6.7,5,Iris-versicolor
-0.355171,'\'(1.35-1.55]\'',6,4.5,Iris-versicolor
-1.047062,'\'(0.55-1.25]\'',5.7,3.5,Iris-versicolor
-1.508322,'\'(0.55-1.25]\'',5.5,3.8,Iris-versicolor
-1.508322,'\'(0.55-1.25]\'',5.5,3.7,Iris-versicolor
-0.816431,'\'(0.55-1.25]\'',5.8,3.9,Iris-versicolor
-0.816431,'\'(1.55-1.85]\'',6,5.1,Iris-versicolor
-0.12454,'\'(1.35-1.55]\'',5.4,4.5,Iris-versicolor
0.797981,'\'(1.55-1.85]\'',6,4.5,Iris-versicolor
0.10609,'\'(1.35-1.55]\'',6.7,4.7,Iris-versicolor
-1.738953,'\'(1.25-1.35]\'',6.3,4.4,Iris-versicolor
-0.12454,'\'(1.25-1.35]\'',5.6,4.1,Iris-versicolor
-1.277692,'\'(1.25-1.35]\'',5.5,4,Iris-versicolor
-1.047062,'\'(0.55-1.25]\'',5.5,4.4,Iris-versicolor
-0.12454,'\'(1.35-1.55]\'',6.1,4.6,Iris-versicolor
-1.047062,'\'(0.55-1.25]\'',5.8,4,Iris-versicolor
-1.738953,'\'(0.55-1.25]\'',5,3.3,Iris-versicolor
-0.816431,'\'(1.25-1.35]\'',5.6,4.2,Iris-versicolor
-0.12454,'\'(0.55-1.25]\'',5.7,4.2,Iris-versicolor
-0.355171,'\'(1.25-1.35]\'',5.7,4.2,Iris-versicolor
-0.355171,'\'(1.25-1.35]\'',6.2,4.3,Iris-versicolor
-1.277692,'\'(0.55-1.25]\'',5.1,3,Iris-versicolor
-0.585801,'\'(1.25-1.35]\'',5.7,4.1,Iris-versicolor
0.567351,'\'(2.25-inf)\'',6.3,6,Iris-virginica
-0.816431,'\'(1.85-2.05]\'',5.8,5.1,Iris-virginica
-0.12454,'\'(2.05-2.25]\'',7.1,5.9,Iris-virginica
-0.355171,'\'(1.55-1.85]\'',6.3,5.6,Iris-virginica
-0.12454,'\'(2.05-2.25]\'',6.5,5.8,Iris-virginica
-0.12454,'\'(2.05-2.25]\'',7.6,6.6,Iris-virginica
-1.277692,'\'(1.55-1.85]\'',4.9,4.5,Iris-virginica
-0.355171,'\'(1.55-1.85]\'',7.3,6.3,Iris-virginica
-1.277692,'\'(1.55-1.85]\'',6.7,5.8,Iris-virginica
1.259242,'\'(2.25-inf)\'',7.2,6.1,Iris-virginica
0.33672,'\'(1.85-2.05]\'',6.5,5.1,Iris-virginica
-0.816431,'\'(1.85-2.05]\'',6.4,5.3,Iris-virginica
-0.12454,'\'(2.05-2.25]\'',6.8,5.5,Iris-virginica
-1.277692,'\'(1.85-2.05]\'',5.7,5,Iris-virginica
-0.585801,'\'(2.25-inf)\'',5.8,5.1,Iris-virginica
0.33672,'\'(2.25-inf)\'',6.4,5.3,Iris-virginica
-0.12454,'\'(1.55-1.85]\'',6.5,5.5,Iris-virginica
1.720502,'\'(2.05-2.25]\'',7.7,6.7,Iris-virginica
-1.047062,'\'(2.25-inf)\'',7.7,6.9,Iris-virginica
-1.969583,'\'(1.35-1.55]\'',6,5,Iris-virginica
0.33672,'\'(2.25-inf)\'',6.9,5.7,Iris-virginica
-0.585801,'\'(1.85-2.05]\'',5.6,4.9,Iris-virginica
