@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.020833]\'','\'(0.020833-0.0625]\'','\'(0.0625-0.1875]\'','\'(0.1875-0.479167]\'','\'(0.479167-0.520833]\'','\'(0.520833-0.604167]\'','\'(0.604167-0.729167]\'','\'(0.729167-0.8125]\'','\'(0.8125-0.895833]\'','\'(0.895833-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.02-5.38]\'','\'(0.020833-0.0625]\'',0.625,1.4,Iris-setosa
'\'(4.66-5.02]\'','\'(0.020833-0.0625]\'',0.416667,1.4,Iris-setosa
'\'(4.66-5.02]\'','\'(0.020833-0.0625]\'',0.5,1.3,Iris-setosa
'\'(-inf-4.66]\'','\'(0.020833-0.0625]\'',0.458333,1.5,Iris-setosa
'\'(4.66-5.02]\'','\'(0.020833-0.0625]\'',0.666667,1.4,Iris-setosa
'\'(5.38-5.74]\'','\'(0.0625-0.1875]\'',0.791667,1.7,Iris-setosa
'\'(-inf-4.66]\'','\'(0.0625-0.1875]\'',0.583333,1.4,Iris-setosa
'\'(4.66-5.02]\'','\'(0.020833-0.0625]\'',0.583333,1.5,Iris-setosa
'\'(-inf-4.66]\'','\'(0.020833-0.0625]\'',0.375,1.4,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf-0.020833]\'',0.458333,1.5,Iris-setosa
'\'(5.38-5.74]\'','\'(0.020833-0.0625]\'',0.708333,1.5,Iris-setosa
'\'(4.66-5.02]\'','\'(0.020833-0.0625]\'',0.583333,1.6,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf-0.020833]\'',0.416667,1.4,Iris-setosa
'\'(-inf-4.66]\'','\'(-inf-0.020833]\'',0.416667,1.1,Iris-setosa
'\'(5.74-6.1]\'','\'(0.020833-0.0625]\'',0.833333,1.2,Iris-setosa
'\'(5.38-5.74]\'','\'(0.0625-0.1875]\'',1,1.5,Iris-setosa
'\'(5.38-5.74]\'','\'(0.0625-0.1875]\'',0.791667,1.3,Iris-setosa
'\'(5.02-5.38]\'','\'(0.0625-0.1875]\'',0.625,1.4,Iris-setosa
'\'(5.38-5.74]\'','\'(0.0625-0.1875]\'',0.75,1.7,Iris-setosa
'\'(5.02-5.38]\'','\'(0.0625-0.1875]\'',0.75,1.5,Iris-setosa
'\'(5.38-5.74]\'','\'(0.020833-0.0625]\'',0.583333,1.7,Iris-setosa
'\'(5.02-5.38]\'','\'(0.0625-0.1875]\'',0.708333,1.5,Iris-setosa
