@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,0.067797,1.028611,5.1,Iris-setosa
0.041667,0.067797,-0.12454,4.9,Iris-setosa
0.041667,0.050847,0.33672,4.7,Iris-setosa
0.041667,0.084746,0.10609,4.6,Iris-setosa
0.041667,0.067797,1.259242,5,Iris-setosa
0.125,0.118644,1.951133,5.4,Iris-setosa
0.083333,0.067797,0.797981,4.6,Iris-setosa
0.041667,0.084746,0.797981,5,Iris-setosa
0.041667,0.067797,-0.355171,4.4,Iris-setosa
0,0.084746,0.10609,4.9,Iris-setosa
0.041667,0.084746,1.489872,5.4,Iris-setosa
0.041667,0.101695,0.797981,4.8,Iris-setosa
0,0.067797,-0.12454,4.8,Iris-setosa
0,0.016949,-0.12454,4.3,Iris-setosa
0.041667,0.033898,2.181763,5.8,Iris-setosa
0.125,0.084746,3.104284,5.7,Iris-setosa
0.125,0.050847,1.951133,5.4,Iris-setosa
0.083333,0.067797,1.028611,5.1,Iris-setosa
0.083333,0.118644,1.720502,5.7,Iris-setosa
0.083333,0.084746,1.720502,5.1,Iris-setosa
0.041667,0.118644,0.797981,5.4,Iris-setosa
0.125,0.084746,1.489872,5.1,Iris-setosa
0.041667,0,1.259242,4.6,Iris-setosa
0.166667,0.118644,0.567351,5.1,Iris-setosa
0.041667,0.152542,0.797981,4.8,Iris-setosa
